阅读词表
来源文件：chapter_20/chapter_20_clean.txt
检出条目数：38

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	翦商	jiǎn shāng	concept	周人剪灭商朝的政治行动。	15	第二十章翦商与《易经》的世界观
2	易经	yì jīng	text	文王卦爻辞体系，书中用以讨论翦商谋略。	32	第二十章翦商与《易经》的世界观
3	周昌	zhōu chāng	person	周文王姬昌，书中常称周昌。	12	《易经》记载的猎俘和人祭完全超出了后人的想象， 那么， 周昌为什么记录这些？
4	卦爻辞	guà yáo cí	concept	《易经》中卦辞和爻辞的合称。	15	...？难道他就是想要写一本日记或者回忆录？卦爻辞纷繁杂乱的现象背后， 其实是周昌对世界...
5	爻辞	yáo cí	concept	解释每一爻吉凶和意义的文字。	30	...难道他就是想要写一本日记或者回忆录？卦爻辞纷繁杂乱的现象背后， 其实是周昌对世界运...
6	卦象	guà xiàng	concept	由阴阳爻组成的卦形图象。	24	...背后， 其实是周昌对世界运行规律的探索， 通过卦象排列组合的变化， 他发现， 现有的世界秩序...
7	卦辞	guà cí	concept	解释一卦吉凶和意义的文字。	12	在讲述这些之前， 我们先要讲一讲《易经》最基本的原理：阴阳、卦象、卦辞和爻辞。
8	筮	shì	rare_word	用蓍草或草棍占算。	2	用草棍预测， 则称为“筮”。
9	八卦	bā guà	concept	由三爻组成的八种基本卦象。	24	...:1]]据说， 半人半神的伏羲最先画出“八卦”， 然后， 由周昌在被商纣囚禁羑里期间把...
10	羑里	yǒu lǐ	place	文王被商纣囚禁之地。	6	...最先画出“八卦”， 然后， 由周昌在被商纣囚禁羑里期间把八卦推演成了六十四卦。所谓：“其...
11	六十四卦	liù shí sì guà	concept	由上下两个八卦重叠形成的六十四种六爻卦象。	29	...， 由周昌在被商纣囚禁羑里期间把八卦推演成了六十四卦。所谓：“其囚羑里， 盖益《易》之八...
12	乾	qián	text	八卦和六十四卦卦名。	36	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
13	坤	kūn	text	八卦和六十四卦卦名。	34	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
14	坎	kǎn	text	八卦之一。	13	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
15	离	lí	text	八卦之一。	13	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
16	震	zhèn	text	八卦之一。	9	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
17	艮	gèn	text	八卦之一。	8	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
18	巽	xùn	text	八卦之一。	5	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
19	兑	duì	text	八卦之一。	5	有四对卦， 分别是乾和坤， 坎和离， 震和艮， 巽和兑；
20	阳爻	yáng yáo	concept	八卦、六十四卦中的阳性爻。	7	...， 由三根表示阴阳的“爻”组成， 一根直线代表阳爻， 两段半截的线代表阴爻。乾☰坤☷...
21	阴爻	yīn yáo	concept	八卦、六十四卦中的阴性爻。	6	...”组成， 一根直线代表阳爻， 两段半截的线代表阴爻。乾☰坤☷坎☵离☲震☳...
22	屯	tún	text	《易经》卦名，震下坎上。	3	...加， 就需要起新的卦名了， 比如， 震下坎上， 叫屯卦， 卦象是☵/☳；坎下艮上， 叫蒙卦， 卦象...
23	蒙	méng	text	《易经》卦名，坎下艮上。	3	坎下艮上， 叫蒙卦， 卦象是☶/☵。
24	蹇	jiǎn	text	《易经》卦名，文中以数字卦举例。	1	比如，“六七八九六八”对应“阴阳阴阳阴阴”， 这便是《易经》中的蹇卦。
25	周文王	zhōu wén wáng	person	周族领袖姬昌。	8	所以， 也许的确是周文王命名的， 至少目前还没有反面的证据。
26	孔颖达	kǒng yǐng dá	person	唐代经学家，《周易正义》编纂者之一。	6	唐代给《周易》做注的孔颖达说， 最早是伏羲画出了八卦，
27	顾颉刚	gù jié gāng	person	现代史学家，曾研究《周易》爻辞中的故事。	3	最早从《易经》的卦爻辞中探寻历史的学者， 是顾颉刚。
28	牝马	pìn mǎ	rare_word	母马；见《易经》坤卦卦辞。	7	...爻辞里经常出现“贞”字， 比如坤卦的卦辞“利牝马之贞”， 后世学者都不知道这个字什么意思...
29	高亨	gāo hēng	person	现代《周易》研究学者。	5	...。而用甲骨文和商代考古知识研究《易经》的， 高亨先生可谓开先河者， 他的著作《周易古经今...
30	同人	tóng rén	text	《易经》卦名，文中解释为集结盟军。	18	先来看第十三个卦， 同人卦：
31	无妄	wú wàng	text	《易经》卦名，文中用于说明卦象成对原则。	4	比如， 无妄和大畜这一对卦：
32	大畜	dà xù	text	《易经》卦名，文中与无妄成对举例。	4	比如， 无妄和大畜这一对卦：
33	颐	yí	text	《易经》卦名，文中列为自身对称的卦。	2	坎离颐大过中孚小过〔札记：|卦名|Glyph|卦序|上卦／下卦|通称|
34	大过	dà guò	text	《易经》卦名，文中列为自身对称的卦。	2	坎离颐大过中孚小过〔札记：|卦名|Glyph|卦序|上卦／下卦|通称|
35	中孚	zhōng fú	text	《易经》卦名，文中列为自身对称的卦。	2	坎离颐大过中孚小过〔札记：|卦名|Glyph|卦序|上卦／下卦|通称|
36	小过	xiǎo guò	text	《易经》卦名，文中列为自身对称的卦。	2	坎离颐大过中孚小过〔札记：|卦名|Glyph|卦序|上卦／下卦|通称|
37	戡	kān	rare_word	用武力平定；文中“戡商”即翦灭商朝。	2	...， 历来没有合理的解释。高亨认为，“含”为“戡”之借字，“章”为“商”之借字，“含章”...
38	杞	qǐ	rare_word	木名；此处见垢卦“以杞包瓜”。	3	以杞包瓜， 含章， 有陨自天。
