term,pinyin,type,annotation
牧野,mù yě,place,周武王伐纣决战地。
牧野之战,mù yě zhī zhàn,concept,周武王灭商的决战。
周武王,zhōu wǔ wáng,person,周发，灭商之君。
武王,wǔ wáng,person,周武王。
周公,zhōu gōng,person,周公旦，武王之弟。
周公旦,zhōu gōng dàn,person,周初政治家。
纣王,zhòu wáng,person,商朝末代王帝辛。
殷都,yīn dū,place,商朝后期都城区域。
甲子日,jiǎ zǐ rì,concept,干支纪日中的甲子日。
人祭,rén jì,concept,杀人用于祭祀。
人牲,rén shēng,concept,被杀用于祭祀的人。
燎祭,liáo jì,concept,焚烧祭品的祭祀方式。
逸周书,yì zhōu shū,text,保存周初传说和文献材料的古书。
世俘,shì fú,text,《逸周书》篇名，记周初俘获和献俘。
太公,tài gōng,person,姜太公吕尚。
盟津,méng jīn,place,黄河渡口，周武王伐纣相关地名。
镐京,hào jīng,place,西周都城。
殷商,yīn shāng,site_or_culture,商朝后期文化和政权。
刳,kū,rare_word,剖开并挖空；文中见“刳剔孕妇”。
旄,máo,artifact,古代旗帜，旗杆顶端饰牦牛尾。
麾,huī,rare_word,古代指挥军队的旗帜；也指挥动旗帜发令。
髳,máo,place_or_group,参与牧野之战的古代西南部族。
宄,guǐ,rare_word,坏人；文中见“奸宄”。
貔,pí,rare_word,古书所见猛兽名。
罴,pí,rare_word,棕熊一类的猛兽。
愆,qiān,rare_word,过失；亦指超过或耽误。
勖,xù,rare_word,劝勉、鼓励。
召公奭,zhào gōng shì,person,周初重臣，召国始封君。
氂,máo,rare_word,牦牛的古字或异体。
麈,zhǔ,rare_word,古书所载的一种鹿类大兽；本章《逸周书·世俘解》猎获清单中作“麈十有六”。
俟,sì,rare_word,等待。
慝,tè,rare_word,邪恶、恶念。
嘏,gǔ,rare_word,福；文中见“顺嘏”。
