阅读词表
来源文件：chapter_25/chapter_25_clean.txt
检出条目数：31

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	牧野	mù yě	place	周武王伐纣决战地。	13	第二十五章牧野鹰扬
2	武王	wǔ wáng	person	周武王。	168	继位后短短数年， 武王周发就攻灭了殷商王朝。
3	殷商	yīn shāng	site_or_culture	商朝后期文化和政权。	10	继位后短短数年， 武王周发就攻灭了殷商王朝。
4	牧野之战	mù yě zhī zhàn	concept	周武王灭商的决战。	1	而决定这次王朝更替的“牧野之战”， 闻名千古。
5	殷都	yīn dū	place	商朝后期都城区域。	35	...患有严重的焦虑和精神障碍， 也许是青年时代的殷都之行和兄长的死对他造成的刺激太过强烈（...
6	周公	zhōu gōng	person	周公旦，武王之弟。	46	周公解梦
7	周公旦	zhōu gōng dàn	person	周初政治家。	13	其次是弟弟周公旦， 武王的主要助手。
8	逸周书	yì zhōu shū	text	保存周初传说和文献材料的古书。	14	...》的《周书》， 而那些没有入选的则被汇总成《逸周书》， 顾名思义， 是这些“散落的周代文献...
9	周武王	zhōu wǔ wáng	person	周发，灭商之君。	6	...毫无悬念。但《逸周书》不同， 在它的叙事中， 周武王充满着对翦商事业的恐惧， 经常向弟弟周...
10	纣王	zhòu wáng	person	商朝末代王帝辛。	49	...武解》）武王三年， 他有次得到情报， 说是纣王已经下决心讨伐周邦， 信息来源很可靠， 又...
11	盟津	méng jīn	place	黄河渡口，周武王伐纣相关地名。	6	军队沿着豫西古道而下， 抵达洛阳北黄河边的盟津（孟津）。
12	刳	kū	rare_word	剖开并挖空；文中见“刳剔孕妇”。	2	焚炙忠良， 刳剔孕妇。
13	人祭	rén jì	concept	杀人用于祭祀。	9	...中商的小双桥遗址， 再到后期的殷墟， 一直是商人祭祀的常态， 西土各族人也早已见识过， 但为...
14	人牲	rén shēng	concept	被杀用于祭祀的人。	4	...剖胸取心和熏烧献祭发生在中间阶段， 最后才把人牲剁成肉酱。伯邑考当年也经历了这样一个完...
15	甲子日	jiǎ zǐ rì	concept	干支纪日中的甲子日。	2	牧野甲子日
16	旄	máo	artifact	古代旗帜，旗杆顶端饰牦牛尾。	3	...是左手执黄（铜）钺， 右手挥动白色牦牛尾（白旄， 统帅的号令旗）， 说：“西土之人， 远来辛...
17	麾	huī	rare_word	古代指挥军队的旗帜；也指挥动旗帜发令。	3	王左杖黄钺， 右秉白旄以麾， 曰：“逖矣， 西土之人！
18	髳	máo	place_or_group	参与牧野之战的古代西南部族。	1	...亚旅、师氏， 千夫长、百夫长， 及庸， 蜀、羌、髳、微、卢、彭、濮人。称尔戈， 比尔干， 立尔...
19	宄	guǐ	rare_word	坏人；文中见“奸宄”。	1	俾暴虐于百姓， 以奸宄于商邑。
20	貔	pí	rare_word	古书所见猛兽名。	2	要凶猛， 像虎、貔、熊和罴一样战斗！
21	罴	pí	rare_word	棕熊一类的猛兽。	3	要凶猛， 像虎、貔、熊和罴一样战斗！
22	愆	qiān	rare_word	过失；亦指超过或耽误。	2	今日之事， 不愆于六步、七步， 乃止齐焉。
23	勖	xù	rare_word	劝勉、鼓励。	4	勖哉夫子！
24	太公	tài gōng	person	姜太公吕尚。	1	...野间的纵横尸骸， 近六百年的商王朝已经终结。太公则在那个黎明变成一只鹰盘旋在牧野上空，...
25	世俘	shì fú	text	《逸周书》篇名，记周初俘获和献俘。	5	（《逸周书•世俘解》）
26	召公奭	zhào gōng shì	person	周初重臣，召国始封君。	3	...贵族皆被释放， 其中最显赫的是箕子——武王命召公奭去监牢释放和安顿箕子。商朝全境尚未平...
27	氂	máo	rare_word	牦牛的古字或异体。	1	...十有二， 猫二， 糜五千二百三十五， 犀十有二， 氂七百二十有一， 熊百五十有一， 罴百一十有八...
28	麈	zhǔ	rare_word	古书所载的一种鹿类大兽；本章《逸周书·世俘解》猎获清单中作“麈十有六”。	1	...， 罴百一十有八， 豕三百五十有二， 貉十有八， 麈十有六， 麝五十， 糜三十， 鹿三千五百有八。...
29	燎祭	liáo jì	concept	焚烧祭品的祭祀方式。	1	四月二十二日庚戌， 清晨， 武王在殷都周庙举行盛大的燎祭。
30	镐京	hào jīng	place	西周都城。	1	返回镐京的路上， 武王身体已经难以支持， 整晚整晚地睡不着。
31	俟	sì	rare_word	等待。	1	...自焚原理相似， 但他并没有当场自杀， 而是“归俟尔命”， 等待诸神接走自己。这简直是对诸神...
