阅读词表
来源文件：chapter_23/chapter_23_clean.txt
检出条目数：31

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	姜太公	jiāng tài gōng	person	吕尚，周初重要政治军事人物。	6	第二十三章姜太公与周方伯
2	周方伯	zhōu fāng bó	concept	商王册封周族首领为方伯的身份。	14	第二十三章姜太公与周方伯
3	方伯	fāng bó	concept	商周时期受命统领一方的首领。	15	第二十三章姜太公与周方伯
4	周昌	zhōu chāng	person	周文王姬昌。	60	...章姜太公与周方伯美里囚禁结束之后， 文王周昌一度靠易卦预测技能受到纣王的赏识， 他在...
5	纣王	zhòu wáng	person	商朝末代王帝辛。	49	...禁结束之后， 文王周昌一度靠易卦预测技能受到纣王的赏识， 他在殷都的儿子们应该也颇为显赫...
6	殷都	yīn dū	place	商朝后期都城区域。	23	...周昌一度靠易卦预测技能受到纣王的赏识， 他在殷都的儿子们应该也颇为显赫。甚至， 他可能就...
7	吕尚	lǚ shàng	person	姜太公名尚。	34	甚至， 他可能就是在这里结识他的事业合伙人吕尚， 也就是后世所谓的“姜太公”的。
8	伯邑考	bó yì kǎo	person	文王长子。	27	但是， 随后发生的伯邑考被杀祭事件， 成为商周关系的重要转折点。
9	周文王	zhōu wén wáng	person	周族领袖姬昌。	5	...氏（氏族、部族）， 氏才是称呼男人用的， 比如周文王家族， 周就是他们的氏。《史记•齐...
10	盍	hé	rare_word	文言副词，何不。	4	吕尚曰：“吾闻西伯贤， 又善养老， 盍往焉。
11	氒	jué	rare_word	古文字，通“厥”；本章见青铜器铭文。	1	...公世家》）近年出土的一件春秋时期的“丰启作氒（jue2）祖甲齐公尊彝”， 乃齐侯“丰”...
12	人牲	rén shēng	concept	被杀用于祭祀的人。	15	...羌人吕氏部落的首领之子， 年轻时被俘获而作为人牲献给商朝（或许是青年周昌的战果）。但被...
13	商王	shāng wáng	person	商朝王。	18	...花园庄南的H27是规模最大的， 而且， 它距离商王宫殿区很近， 很可能是商代后期祭祀牛牲的...
14	人祭	rén jì	concept	杀人用于祭祀。	3	...牲则多数不会被吃掉， 所以会形成王陵区的大量人祭坑。另一种可能是， 献祭人牲和家畜的...
15	膰	fán	rare_word	古代祭祀所用的熟肉。	1	...桓子卒受齐女乐， 三日不听政”且“郊， 又不致膰（fan2）俎（祭肉）于大夫”愤而辞职。...
16	易经	yì jīng	text	文王卦爻辞体系。	9	...折扣。但看来周昌不是一个固执的人， 对《易经》的钻研也让他明白， 世界有多种可能性，...
17	卦爻辞	guà yáo cí	concept	《易经》中卦辞和爻辞的合称。	3	...成婚。去吧， 遇到下雨会吉利。根据睽卦的卦爻辞， 周昌应当是驾车去的屠宰场， 还把马车...
18	谮	zèn	rare_word	说坏话诬陷别人。	1	曰：“谮西伯者， 崇侯虎也。
19	彊	jiàng	rare_word	同“强”；本章“彊谏”读 jiàng，意为态度强硬不屈。	1	”乃彊（jiang4）谏纣。
20	枼	yè	rare_word	“叶”的古字；本章用来描述周原甲骨字形。	1	贞：王其（甲骨文， 形似枼（ye4））侑大甲，（册口）周方伯，〔待核：盍；
21	菹	zū	rare_word	古代酷刑或肉酱制作中的肢解处理；本章见“菹醢”。	1	当时的“菹（zu1）醢”， 要先肢解， 再把一些肉质较好的部位剁成肉酱。
22	脢	méi	rare_word	背脊肉；本章见《周易》“咸其脢”。	1	...脚趾）、咸其腓（肠）、咸其股（大腿）、咸其脢（mei2）（脊肉）、咸其辅、咸其颊、咸...
23	憧憧	chōng chōng	rare_word	形容往复不定或心神不宁。	1	憧憧（chong1chong1）往来， 朋从尔思。
24	戉	yuè	rare_word	“钺”的古字，古代斧形兵器或礼器。	1	高亨先生认为，“咸”字通“戉（yue4）"咸卦即为用铜钺斩割人牲献祭的记录。
25	鬯	chàng	rare_word	古代祭祀所用的香酒。	2	震惊百里， 不丧匕鬯（chang4；
26	矍矍	jué jué	rare_word	惊视的样子。	1	上六：震索索， 视矍矍（jue2jue2）， 凶。
27	诅咒	zǔ zhòu	concept	以宗教方式祈求灾祸降临敌方。	1	文王诅咒殷商
28	烝	zhēng	rare_word	文言词，众、多。	1	天生烝（zheng1）民， 其命匪堪。
29	掊	póu	rare_word	聚敛、搜刮；本章见《诗经·大雅·荡》。	1	曾是强御， 曾是掊（pou2）克。
30	炰烋	páo xiāo	rare_word	气势嚣张、暴怒咆哮的样子。	1	女炰烋（pao2xiao1；
31	奰	bì	rare_word	盛怒；本章见《诗经·大雅·荡》。	1	内奰（bi4）于中国， 覃及鬼方。
