term,pinyin,type,annotation
姜太公,jiāng tài gōng,person,吕尚，周初重要政治军事人物。
吕尚,lǚ shàng,person,姜太公名尚。
周方伯,zhōu fāng bó,concept,商王册封周族首领为方伯的身份。
周昌,zhōu chāng,person,周文王姬昌。
周文王,zhōu wén wáng,person,周族领袖姬昌。
伯邑考,bó yì kǎo,person,文王长子。
商王,shāng wáng,person,商朝王。
纣王,zhòu wáng,person,商朝末代王帝辛。
羑里,yǒu lǐ,place,文王被囚之地。
殷都,yīn dū,place,商朝后期都城区域。
人祭,rén jì,concept,杀人用于祭祀。
人牲,rén shēng,concept,被杀用于祭祀的人。
方伯,fāng bó,concept,商周时期受命统领一方的首领。
太姒,tài sì,person,周文王夫人。
诅咒,zǔ zhòu,concept,以宗教方式祈求灾祸降临敌方。
逸周书,yì zhōu shū,text,保存周初传说和文献材料的古书。
易经,yì jīng,text,文王卦爻辞体系。
卦爻辞,guà yáo cí,concept,《易经》中卦辞和爻辞的合称。
盍,hé,rare_word,文言副词，何不。
彊,jiàng,rare_word,同“强”；本章“彊谏”读 jiàng，意为态度强硬不屈。
谮,zèn,rare_word,说坏话诬陷别人。
憧憧,chōng chōng,rare_word,形容往复不定或心神不宁。
矍矍,jué jué,rare_word,惊视的样子。
烝,zhēng,rare_word,文言词，众、多。
氒,jué,rare_word,古文字，通“厥”；本章见青铜器铭文。
膰,fán,rare_word,古代祭祀所用的熟肉。
菹,zū,rare_word,古代酷刑或肉酱制作中的肢解处理；本章见“菹醢”。
脢,méi,rare_word,背脊肉；本章见《周易》“咸其脢”。
戉,yuè,rare_word,“钺”的古字，古代斧形兵器或礼器。
鬯,chàng,rare_word,古代祭祀所用的香酒。
掊,póu,rare_word,聚敛、搜刮；本章见《诗经·大雅·荡》。
炰烋,páo xiāo,rare_word,气势嚣张、暴怒咆哮的样子。
奰,bì,rare_word,盛怒；本章见《诗经·大雅·荡》。
枼,yè,rare_word,“叶”的古字；本章用来描述周原甲骨字形。
