term,pinyin,type,annotation
鲧,gǔn,rare_word,传说中禹的父亲，曾奉命治水。
姒,sì,rare_word,夏朝王室族姓。
偃师,yǎn shī,place,今河南洛阳附近地名，二里头遗址所在地。
顾颉刚,gù jié gāng,person,现代历史学家，“古史辨”学派代表人物。
箭镶,jiàn xiāng,rare_word,文中指箭头一类器物；此处保留原文写法。
蚌镰,bàng lián,rare_word,用蚌壳制作的收割工具。
杂糅,zá róu,rare_word,混杂融合在一起。
浚川,jùn chuān,rare_word,疏通河道。
碳化,tàn huà,rare_word,有机物受热或长期埋藏后变成含碳状态。
浮选法,fú xuǎn fǎ,rare_word,考古中利用水筛选炭化植物遗存的方法。
构拟,gòu nǐ,rare_word,根据材料推想、重建原貌。
贡赋,gòng fù,rare_word,向统治者进贡或缴纳的赋税。
营窟,yíng kū,rare_word,建造洞穴居所。
蜷曲,quán qū,rare_word,弯曲、卷曲。
绿松石,lǜ sōng shí,rare_word,一种蓝绿色矿石，常用于装饰。
蔚为大观,wèi wéi dà guān,idiom,发展成盛大壮观的景象。
