term,pinyin,type,annotation
姜嫄,jiāng yuán,manual,周人始祖母，传说为有邰氏之女、后稷之母。
禋,yīn,manual,古代祭天的一种礼仪；诗中“克禋克祀”指虔诚祭祀求子。
履帝武敏歆,lǚ dì wǔ mǐn xīn,manual,踩到上帝足迹的大拇趾处而心有所感；“武”指足迹，“敏”释作拇趾，“歆”指欣喜感应。
攸介攸止,yōu jiè yōu zhǐ,manual,于是受到福佑而安居；“介”在此指佑助。
载震载夙,zài zhèn zài sù,manual,于是怀孕并保持肃敬；“震”通娠，指怀孕。
坼,chè,manual,裂开；“不坼不副”形容分娩顺利。
副,pì,manual,破裂；在“不坼不副”中不读常见的fù。
菑,zāi,manual,灾害，通“灾”。
寘,zhì,manual,放置；诗中指把婴儿遗弃在不同地点。
腓,féi,manual,庇护；“牛羊腓字之”指牛羊保护并养育婴儿。
字,zì,manual,养育，抚育；此处不是文字之“字”。
呱,gū,manual,婴儿啼哭声；“后稷呱矣”。
覃,tán,manual,长，绵延；诗中形容哭声悠长。
訏,xū,manual,大而洪亮；诗中形容后稷哭声响亮。
岐嶷,qí yí,manual,幼年聪慧、卓异；“嶷”在此读yí。
蓺,yì,manual,种植，后作“艺”。
荏菽,rěn shū,manual,大豆；“菽”是豆类作物的古称。
旆旆,pèi pèi,manual,生长茂盛的样子。
穟穟,suì suì,manual,禾穗成熟下垂、茂盛的样子。
幪幪,méng méng,manual,茂盛繁密的样子，诗中形容麻麦。
瓜瓞,guā dié,manual,大瓜和小瓜，泛指瓜类果实。
唪唪,běng běng,manual,果实累累、丰盛的样子。
穑,sè,manual,收获庄稼，亦泛指农业劳动。
茀,fú,manual,除去；“茀厥丰草”指清除茂草。
褎,yòu,manual,诗中指禾苗渐长、茂盛；为《生民》的古义读法。
邰,tái,manual,古国名和地名；有邰氏为姜嫄所属部族。
秬秠,jù pī,manual,两种黑黍；秠特指一壳含二米的黑黍。
穈芑,mén qǐ,manual,两种粟类嘉种；穈为赤苗谷类，芑为白苗谷类。
羝,dī,manual,公羊；诗中作为祭品。
軷,bá,manual,出行前祭祀道路之神；“取羝以軷”指以公羊行軷祭。
燔,fán,manual,焚烧或烤炙祭品。
卬,áng,manual,古代第一人称代词，相当于“我”。
歆,xīn,manual,神灵享用祭品香气。
臭,xiù,manual,气味；“胡臭亶时”中的“臭”读xiù。
亶,dǎn,manual,诚然，确实。
揄,yóu,manual,舂取谷物；诗中指舂米加工的一道工序。
蹂,róu,manual,搓揉谷物以帮助脱壳。
叟叟,sǒu sǒu,manual,淘米时发出的声音。
烝,zhēng,manual,蒸煮，后作“蒸”。
浮浮,fú fú,manual,蒸气上腾、香气充盈的样子。
豆,dòu,manual,古代盛放食物或祭品的高足器皿。
登,dēng,manual,古代盛放祭品的礼器。
厥,jué,manual,其、他的；《生民》中的常用古代代词。
嫄,yuán,manual,人名用字，见周人始祖母姜嫄。
武敏,wǔ mǐn,manual,上帝足迹的大拇趾处；“武”指足迹，“敏”释作拇趾。
攸,yōu,manual,于是、所；诗中多用作古代虚词。
介,jiè,manual,佑助、赐福；见“攸介攸止”。
震,zhèn,manual,通“娠”，怀孕；见“载震载夙”。
夙,sù,manual,肃敬、谨慎；见“载震载夙”。
稷,jì,manual,古代重要谷物；后稷之名意为谷物首领。
诞,dàn,manual,发语词，于是、就；《生民》后六章多以此字起句。
弥,mí,manual,满、终；“诞弥厥月”指怀胎月份已满。
达,dá,manual,通达顺利；“先生如达”形容头胎分娩顺利。
赫,hè,manual,显明、显著；“以赫厥灵”指显出神异灵验。
相,xiàng,manual,观察并助成庄稼生长的方法；见“有相之道”。
苞,bāo,manual,庄稼抽芽、形成苞芽；见“实方实苞”。
颖,yǐng,manual,谷穗的芒端，诗中指禾穗长成。
栗,lì,manual,坚实饱满；“实颖实栗”形容谷粒成熟。
恒,héng,manual,遍、普遍；“恒之秬秠”指广泛种植。
肇,zhào,manual,开始；“肇祀”指开始举行祭祀。
舂,chōng,manual,用杵臼捣谷去皮。
簸,bǒ,manual,用簸箕扬去谷物糠秕。
萧,xiāo,manual,香蒿，古代祭祀时用于助燃生香。
嗣岁,sì suì,manual,来年；“以兴嗣岁”指祈求下一年丰收。
庶,shù,manual,庶几、但愿；“庶无罪悔”表示祈愿。
迄,qì,manual,到、至；“以迄于今”即一直延续到如今。
台西,tái xī,site_or_culture,河北藁城商代遗址，文中作为商朝北方军事聚落。
藁城,gǎo chéng,place,今河北石家庄藁城区，台西遗址所在地。
麋鹿,mí lù,rare_word,生活于湿地的鹿科动物。
芦苇荡,lú wěi dàng,rare_word,大片芦苇生长的水边湿地。
草莽,cǎo mǎng,rare_word,荒草丛生之地，也可指边远荒野。
半地穴式,bàn dì xué shì,concept,部分低于地面的房屋形式。
窖穴,jiào xué,concept,地下储藏坑穴。
陶鬲,táo lì,artifact,三足陶炊器。
盘庚,pán gēng,person,商王名，以迁都殷地著称。
北土,běi tǔ,place,文中指商朝北方边地。
基槽,jī cáo,concept,建筑墙基开挖的沟槽。
夯筑,hāng zhù,concept,用夯打方式筑成墙体或台基。
土坯,tǔ pī,artifact,未经烧制或低温处理的泥土砖块。
椽子,chuán zi,artifact,屋顶承托瓦草等材料的木构件。
奠基,diàn jī,concept,建筑开始时的基础工程或相关仪式。
人奠基,rén diàn jī,concept,建筑奠基时以人作为牺牲的行为。
祭祀坑,jì sì kēng,concept,用于祭祀或埋藏祭品的坑穴。
人祭,rén jì,concept,以人作为祭品的祭祀行为。
人殉,rén xùn,concept,以人随葬或陪葬的行为。
敞厦,chǎng shà,artifact,一面或多面敞开的房屋空间。
门楼,mén lóu,artifact,门上或门前的楼式建筑结构。
殉人,xùn rén,concept,陪葬或随葬的人。
腰坑殉狗,yāo kēng xùn gǒu,concept,墓穴腰部小坑中埋狗的商人葬俗。
二层台,èr céng tái,concept,墓室内用于放置随葬品或殉人的台阶状结构。
铜戟,tóng jǐ,bronze_item,青铜戟，戈与矛结合的兵器。
铜钺,tóng yuè,bronze_item,青铜钺，常象征军事权力。
铜戈,tóng gē,bronze_item,青铜戈，商周常见兵器。
石钺,shí yuè,artifact,石制钺，文中多作象征性随葬品。
卜骨,bǔ gǔ,artifact,用于占卜的兽骨。
肩胛骨,jiān jiǎ gǔ,concept,动物或人的肩部骨骼，常被加工为卜骨。
巫医,wū yī,concept,兼具巫术占卜和治疗职能的人。
石砭镰,shí biān lián,artifact,石制砭镰，文中推测为医用手术刀。
獠牙,liáo yá,rare_word,外露的长牙，文中形容铜钺纹饰。
刖,yuè,rare_word,古代砍足或断小腿的刑罚。
刖刑,yuè xíng,concept,砍足或断小腿的刑罚。
殷墟,yīn xū,site_or_culture,晚商都邑遗址，甲骨卜辞的重要出土地。
妇好,fù hǎo,person,商王武丁配偶，甲骨文中著名女性军事人物。
皱纹绢,zhòu wén juàn,artifact,带皱纹效果的丝织品。
铜爵,tóng jué,bronze_item,青铜酒器爵。
铜觚,tóng gū,bronze_item,青铜觚，古代饮酒器。
铜斝,tóng jiǎ,bronze_item,青铜斝，古代三足酒器。
铜镞,tóng zú,bronze_item,青铜箭头。
箭镞,jiàn zú,artifact,箭头，文中有青铜、石骨材质。
羽箭,yǔ jiàn,artifact,带尾羽的箭。
公共伙房,gōng gòng huǒ fáng,concept,供集体烹饪或酿酒的房屋。
草木樨,cǎo mù xī,rare_word,豆科植物，文中作为植物遗存。
水牛,shuǐ niú,concept,商人畜牧和祭祀中涉及的家畜。
三牲,sān shēng,concept,猪、牛、羊等祭祀牲畜组合。
陨铁,yǔn tiě,concept,来自陨石的铁。
熟铁,shú tiě,concept,含碳量较低、可锻造的铁。
铜瓿,tóng bù,bronze_item,青铜瓿，古代盛酒、水或酱料的器皿。
冶铁,yě tiě,concept,从铁矿石中冶炼铁的技术。
锻铁,duàn tiě,concept,锻打铁料或铁器的技术。
胫骨,jìng gǔ,concept,小腿内侧长骨。
族邑,zú yì,concept,以部族为单位聚居形成的城邑或聚落。
张营,zhāng yíng,site_or_culture,北京昌平商代遗址，文中涉及食人遗存。
瘪裆,biě dāng,rare_word,陶鬲等器物裆部低瘪的形态描述。
铸铜范,zhù tóng fàn,artifact,铸造铜器所用的范模。
石锛,shí bēn,artifact,石制锛，常见新石器和青铜时代木工工具。
铜锡合金,tóng xī hé jīn,concept,铜和锡组成的青铜合金。
骨锥,gǔ zhuī,artifact,用骨头制成的尖锥形工具。
敲骨吸髓,qiāo gǔ xī suǐ,concept,敲碎骨头吸食骨髓的行为。
灰坑,huī kēng,concept,遗址中含灰土、废弃物或祭祀遗存的坑穴。
商式陶器,shāng shì táo qì,artifact,具有商文化风格的陶器。
公刘,gōng liú,person,周族先公；《公刘》叙述其率族人迁居豳地并开创基业。
笃,dǔ,manual,忠厚、厚道；《公刘》章首用作对公刘的赞词。
埸,yì,manual,田界；“乃埸乃疆”指划定田界和疆界。
餱粮,hóu liáng,manual,供旅途食用的干粮。
橐,tuó,manual,无底而两端可束的袋子；诗中与“囊”并举。
辑,jí,manual,和睦、团结；“思辑用光”指谋求和睦以光大事业。
戚扬,qī yáng,manual,戚和扬，皆为斧钺一类的武器。
爰,yuán,manual,于是、就；《公刘》中多次作为古代虚词使用。
胥,xū,manual,察看；“于胥斯原”指察看这片原野。
陟,zhì,manual,登高、登上。
巘,yǎn,manual,山峰、山顶；“陟则在巘”指登上高处察看。
舟之,zhōu zhī,manual,佩带在身；“何以舟之”古注训释存在分歧。
鞞琫,bǐng běng,manual,刀鞘上的玉饰。
溥,pǔ,manual,广大、广阔；诗中形容原野和疆域。
觏,gòu,manual,看见、到达；“乃觏于京”指来到并看到京地。
跄跄济济,qiāng qiāng jǐ jǐ,manual,行列整齐、仪态庄重的样子。
俾,bǐ,manual,使、让。
筵,yán,manual,铺设的竹席；“俾筵”指安排宴席。
曹,cáo,manual,群众、同伴；“乃造其曹”指来到众人中间。
豕,shǐ,manual,猪；诗中指宴饮时宰杀的猪。
匏,páo,manual,葫芦制成的饮器。
景,yǐng,manual,测量日影，通“影”；“既景乃冈”不是景色之景。
三单,sān dān,manual,军队分成三组轮番服役。
隰原,xí yuán,manual,低湿地和平原。
彻田,chè tián,manual,划分、治理田地。
允荒,yǔn huāng,manual,确实广大；“允”意为确实。
乱,luàn,manual,横渡水流；“涉渭为乱”指横渡渭水。
厉,lì,manual,磨刀石；诗中与锻造用具并举。
皇涧,huáng jiàn,place,豳地涧水名。
过涧,guō jiàn,place,豳地涧水名；“过”作水名读guō。
芮鞫,ruì jū,manual,水湾内外或河流两岸，泛指水边可居之地。
即,jí,manual,接近、来到；“芮鞫之即”指前往水边居住。
姞,jí,manual,古姓氏用字；姞姓与姬姓通婚。
蕃,fán,manual,繁盛、繁衍；“其子孙必蕃”中的读音不是吐蕃之bō。
不窋,bù zhú,person,后稷之子；“窋”在此读zhú。
豳,bīn,place,周族先民迁居之地，古地名。
喾,kù,person,帝喾，传说中的上古帝王。
台玺,tái xǐ,person,《山海经》所载后稷之弟；“台”与“邰”相关。
