阅读词表
来源文件：chapter_15/chapter_15_clean.txt
检出条目数：100

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	相	xiàng	manual	观察并助成庄稼生长的方法；见“有相之道”。	15	...量要多得多。可以说， 从一开始， 周族的来源就相对清晰可靠， 不仅后世考古有发现周族开国三...
2	字	zì	manual	养育，抚育；此处不是文字之“字”。	28	...述周族的起源也有很大的困难。周族本来没有文字， 只有口头的传说， 是灭商之后才开始用商人...
3	乱	luàn	manual	横渡水流；“涉渭为乱”指横渡渭水。	5	...嫁接和混淆了很多周族早期传说， 造成了很多混乱。所以， 我们需要剔除那些西周以后附会...
4	厥	jué	manual	其、他的；《生民》中的常用古代代词。	5	厥初生民， 时维姜嫄。
5	姜嫄	jiāng yuán	manual	周人始祖母，传说为有邰氏之女、后稷之母。	16	厥初生民， 时维姜嫄。
6	嫄	yuán	manual	人名用字，见周人始祖母姜嫄。	16	厥初生民， 时维姜嫄。
7	禋	yīn	manual	古代祭天的一种礼仪；诗中“克禋克祀”指虔诚祭祀求子。	2	克禋克祀， 以弗无子。
8	武敏	wǔ mǐn	manual	上帝足迹的大拇趾处；“武”指足迹，“敏”释作拇趾。	1	履帝武敏、歆， 攸介攸止， 载震载夙。
9	歆	xīn	manual	神灵享用祭品香气。	2	履帝武敏、歆， 攸介攸止， 载震载夙。
10	攸介攸止	yōu jiè yōu zhǐ	manual	于是受到福佑而安居；“介”在此指佑助。	1	履帝武敏、歆， 攸介攸止， 载震载夙。
11	攸	yōu	manual	于是、所；诗中多用作古代虚词。	2	履帝武敏、歆， 攸介攸止， 载震载夙。
12	介	jiè	manual	佑助、赐福；见“攸介攸止”。	1	履帝武敏、歆， 攸介攸止， 载震载夙。
13	载震载夙	zài zhèn zài sù	manual	于是怀孕并保持肃敬；“震”通娠，指怀孕。	1	履帝武敏、歆， 攸介攸止， 载震载夙。
14	震	zhèn	manual	通“娠”，怀孕；见“载震载夙”。	1	履帝武敏、歆， 攸介攸止， 载震载夙。
15	夙	sù	manual	肃敬、谨慎；见“载震载夙”。	1	履帝武敏、歆， 攸介攸止， 载震载夙。
16	稷	jì	manual	古代重要谷物；后稷之名意为谷物首领。	62	载生载育， 时维后稷。
17	诞	dàn	manual	发语词，于是、就；《生民》后六章多以此字起句。	11	诞弥厥月， 先生如达。
18	弥	mí	manual	满、终；“诞弥厥月”指怀胎月份已满。	1	诞弥厥月， 先生如达。
19	达	dá	manual	通达顺利；“先生如达”形容头胎分娩顺利。	7	诞弥厥月， 先生如达。
20	坼	chè	manual	裂开；“不坼不副”形容分娩顺利。	1	不坼不副， 无菑无害， 以赫厥灵。
21	副	pì	manual	破裂；在“不坼不副”中不读常见的fù。	1	不坼不副， 无菑无害， 以赫厥灵。
22	菑	zāi	manual	灾害，通“灾”。	1	不坼不副， 无菑无害， 以赫厥灵。
23	赫	hè	manual	显明、显著；“以赫厥灵”指显出神异灵验。	3	不坼不副， 无菑无害， 以赫厥灵。
24	寘	zhì	manual	放置；诗中指把婴儿遗弃在不同地点。	3	诞寘之隘巷， 牛羊腓字之。
25	腓	féi	manual	庇护；“牛羊腓字之”指牛羊保护并养育婴儿。	1	诞寘之隘巷， 牛羊腓字之。
26	呱	gū	manual	婴儿啼哭声；“后稷呱矣”。	1	鸟乃去矣， 后稷呱矣。
27	覃	tán	manual	长，绵延；诗中形容哭声悠长。	1	实覃实訏， 厥声载路。
28	訏	xū	manual	大而洪亮；诗中形容后稷哭声响亮。	1	实覃实訏， 厥声载路。
29	蓺	yì	manual	种植，后作“艺”。	1	蓺之荏菽， 荏菽旆旆。
30	荏菽	rěn shū	manual	大豆；“菽”是豆类作物的古称。	2	蓺之荏菽， 荏菽旆旆。
31	旆旆	pèi pèi	manual	生长茂盛的样子。	1	蓺之荏菽， 荏菽旆旆。
32	穟穟	suì suì	manual	禾穗成熟下垂、茂盛的样子。	1	禾役穟穟， 麻麦幪幪， 瓜瓞唪唪。
33	幪幪	méng méng	manual	茂盛繁密的样子，诗中形容麻麦。	1	禾役穟穟， 麻麦幪幪， 瓜瓞唪唪。
34	瓜瓞	guā dié	manual	大瓜和小瓜，泛指瓜类果实。	1	禾役穟穟， 麻麦幪幪， 瓜瓞唪唪。
35	唪唪	běng běng	manual	果实累累、丰盛的样子。	1	禾役穟穟， 麻麦幪幪， 瓜瓞唪唪。
36	穑	sè	manual	收获庄稼，亦泛指农业劳动。	1	诞后稷之穑， 有相之道。
37	茀	fú	manual	除去；“茀厥丰草”指清除茂草。	1	茀厥丰草， 种之黄茂。
38	苞	bāo	manual	庄稼抽芽、形成苞芽；见“实方实苞”。	1	实方实苞， 实种实褎。
39	褎	yòu	manual	诗中指禾苗渐长、茂盛；为《生民》的古义读法。	1	实方实苞， 实种实褎。
40	颖	yǐng	manual	谷穗的芒端，诗中指禾穗长成。	1	实颖实栗， 即有邰家室。
41	栗	lì	manual	坚实饱满；“实颖实栗”形容谷粒成熟。	1	实颖实栗， 即有邰家室。
42	即	jí	manual	接近、来到；“芮鞫之即”指前往水边居住。	3	实颖实栗， 即有邰家室。
43	邰	tái	manual	古国名和地名；有邰氏为姜嫄所属部族。	9	实颖实栗， 即有邰家室。
44	恒	héng	manual	遍、普遍；“恒之秬秠”指广泛种植。	2	恒之秬秠， 是获是亩。
