order	source_key	term	annotation
1	b1	单襄公	名朝，也称单子，周定王的卿士。
2	b2	火	古星名，又叫商。觌(dí)：见。
3	b3	茀	荒芜。
4	b4	候	候人，主管迎送来往的小官。
5	b5	司空	古代中央政府中掌管工程的长官
6	b6	庾	露天的谷堆。
7	b7	场功	指收割庄稼。
8	b8	蓺	茅芽。
9	b9	饩	粮食或草料。
10	b10	司里	主管房屋的官员。
11	b11	夏氏	指陈国大夫夏征舒家。
12	b5x1	涂	通“途”
13	b12	辰角	即角宿，寒露节的早晨出现。
14	b13	天根	氐宿的别名，寒露节后五日出现。
15	b14	驷	房宿。
16	b15	偫	备办。畚(běn)挶(jū)：盛土和抬土的器具。
17	b16	营室	室宿，夏历十月黄昏时，出现在正南方。
18	b17	薮	洼地
19	b18	耜	古代农具名。
20	b17x1	圃草	茂盛的草
21	b19	关尹	古代把守关门的官员。
22	b20	宗祝	主管祭祀等礼仪的官员。
23	b21	司徒	掌管土地、人口等事务的官员。
24	b22	司寇	掌管刑狱、纠察的官员。
25	b23	虞人	主管山泽的官员。
26	b24	甸人	主管柴薪的官员。
27	b25	水师	管水的官员。
28	b26	廪人	古代管理粮仓的官员。
29	b27	司马	主管养马的官吏。刍(chú)：喂牲畜的饲料。
30	b28	匪彝	违背常规。
31	b29	慆	怠惰。
32	b30	休	吉祥，吉庆。
33	b31	胤续	继嗣。
34	b32	大姬	周武王的女儿。
35	b33	衮冕	古代帝王与上公的礼服和礼冠。
36	b34	陨越	喻败绩、失职。
38	il_陂	陂	山坡
39	il_垦	垦	翻土，开垦
40	il_涸	涸	失去水而干枯
41	il_儆	儆	警戒，戒备
42	il_畚	畚	用蒲草或竹篾编织的盛物器具
43	il_挶	挶	执，
44	il_囿	囿	古代帝王养禽兽的园林
45	il_蔑	蔑	眼睛红肿看不清
46	il_飧	飧	晚上的饭食
47	il_饩	饩	赠送人的谷物
48	il_刍	刍	割
49	il_莅	莅	走到近处察看
50	il_伉	伉	匹敌，相当
51	il_俪	俪	配偶
