term,pinyin,annotation,type
单襄公,shàn xiāng gōng,名朝，也称单子，周定王的卿士。,source_note
火,huǒ,古星名，又叫商。觌(dí)：见。,source_note
茀,fú,荒芜。,source_note
候,hòu,候人，主管迎送来往的小官。,source_note
司空,sī kōng,古代中央政府中掌管工程的长官,source_note
庾,yǔ,露天的谷堆。,source_note
场功,chǎng gōng,指收割庄稼。,source_note
蓺,yì,茅芽。,source_note
饩,xì,粮食或草料。,source_note
司里,sī lǐ,主管房屋的官员。,source_note
夏氏,xià shì,指陈国大夫夏征舒家。,source_note
涂,tú,通“途”,source_note
辰角,chén jiǎo,即角宿，寒露节的早晨出现。,source_note
天根,tiān gēn,氐宿的别名，寒露节后五日出现。,source_note
驷,sì,房宿。,source_note
偫,zhì,备办。畚(běn)挶(jū)：盛土和抬土的器具。,source_note
营室,yíng shì,室宿，夏历十月黄昏时，出现在正南方。,source_note
薮,sǒu,洼地,source_note
耜,sì,古代农具名。,source_note
圃草,pǔ cǎo,茂盛的草,source_note
关尹,guān yǐn,古代把守关门的官员。,source_note
宗祝,zōng zhù,主管祭祀等礼仪的官员。,source_note
司徒,sī tú,掌管土地、人口等事务的官员。,source_note
司寇,sī kòu,掌管刑狱、纠察的官员。,source_note
虞人,yú rén,主管山泽的官员。,source_note
甸人,diān rén,主管柴薪的官员。,source_note
水师,shuǐ shī,管水的官员。,source_note
廪人,lǐn rén,古代管理粮仓的官员。,source_note
司马,sī mǎ,主管养马的官吏。刍(chú)：喂牲畜的饲料。,source_note
匪彝,fěi yí,违背常规。,source_note
慆,tāo,怠惰。,source_note
休,xiū,吉祥，吉庆。,source_note
胤续,yìn xù,继嗣。,source_note
大姬,dà jī,周武王的女儿。,source_note
衮冕,gǔn miǎn,古代帝王与上公的礼服和礼冠。,source_note
陨越,yǔn yuè,喻败绩、失职。,source_note
陂,bēi,山坡,source_note
垦,kěn,翻土，开垦,source_note
涸,hé,失去水而干枯,source_note
儆,jǐng,警戒，戒备,source_note
畚,běn,用蒲草或竹篾编织的盛物器具,source_note
挶,jū,执，,source_note
囿,yòu,古代帝王养禽兽的园林,source_note
蔑,miè,眼睛红肿看不清,source_note
飧,sūn,晚上的饭食,source_note
饩,xì,赠送人的谷物,source_note
刍,chú,割,source_note
莅,lì,走到近处察看,source_note
伉,kàng,匹敌，相当,source_note
俪,lì,配偶,source_note
