term,pinyin,annotation,type
公父文伯,gōng fù wén bó,即公父(chù)，敬姜之子，鲁国大夫。,source_note
季孙,jì sūn,季康子，鲁国大夫。,source_note
大采,dà cǎi,五彩礼服,source_note
三公,sān gōng,周朝中枢的最高长官，即太师、太傅、太保,source_note
少采夕月,shào cǎi xī yuè,穿着三彩的礼服祭祀月神。,source_note
九御,jiǔ yù,九嫔。,source_note
粢盛,zī shèng,古代盛在祭器内以供祭祀的谷物。,source_note
慆淫,tāo yín,怠惰、放荡。,source_note
庀,pǐ,治理。,source_note
贯,guàn,复习。,source_note
朝日,zhāo rì,朝拜日神,source_note
九卿,jiǔ qīng,周朝中枢分管各部门的最高行政长官，即冢宰、司徒、宗伯、司马、司寇、司空、少师、少傅、少保,source_note
纮,hóng,系于颌下的帽带。(yán)：覆在冠冕上的布。,source_note
社,shè,古时祭祀土地神的活动，在立春后第五个戊日举行。,source_note
烝,zhēng,古代特指冬天的祭祀。,source_note
愆,qiān,过失。,source_note
歜,chù,歜chù,source_note
儆,jǐng,警戒，戒备,source_note
憾,hàn,遗憾，不快，不满,source_note
冀,jì,冀州,source_note
