term,pinyin,type,annotation
纣王,zhòu wáng,person,商朝末代王帝辛。
帝辛,dì xīn,person,商纣王的王名。
东南夷,dōng nán yí,concept,商朝东南方向诸夷族群。
夷方,yí fāng,concept,商末东南方族群或方国。
人方伯,rén fāng bó,person,卜辞中夷方首领称号。
攸侯,yōu hóu,person,攸国君长。
攸国,yōu guó,place,淮河附近商代侯国。
淮河,huái hé,place,中国东部重要河流。
卜辞,bǔ cí,text,甲骨上记录占卜的文字。
甲骨卜辞,jiǎ gǔ bǔ cí,text,刻写在甲骨上的占卜记录。
甲骨拓片,jiǎ gǔ tà piàn,artifact,甲骨文字拓印图。
铭文,míng wén,text,铸刻在青铜器等器物上的文字。
青铜卣,qīng tóng yǒu,bronze_item,青铜盛酒器卣。
犀尊,xī zūn,bronze_item,犀牛形青铜尊。
作册般,zuò cè bān,person,晚商作册官名。
甗女,yǎn nǚ,person,刘家庄北墓葬中被殉的女性，因头骨置于铜甗中而得名。
龋,qǔ,reading,龋齿的“龋”。
人牲,rén shēng,concept,被杀用于祭祀的人。
战俘,zhàn fú,concept,战争中捕获的人。
梅伯,méi bó,person,传说中被纣王杀害者，文中与夷方伯联系。
箕子,jī zǐ,person,商末贵族，后世文献中重要人物。
夙,sù,rare_word,本章族名用字；夙兴夜寐的“夙”。
甾,zāi,rare_word,本章甲骨释文“多侯甾伐人方伯”中的用字。
艅,yú,rare_word,本章“小臣艅犀尊”人名用字。
肜,róng,rare_word,商代祭名，正祭次日再次举行的祭祀。
敄,wù,rare_word,本章夷人首领“无敄”名中的用字。
