阅读词表
来源文件：chapter_22/chapter_22_clean.txt
检出条目数：25

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	纣王	zhòu wáng	person	商朝末代王帝辛。	22	第二十二章纣王的东南战争
2	夙	sù	rare_word	本章族名用字；夙兴夜寐的“夙”。	3	...墓主是一名商朝高级武官， 统治着一个叫“夙”的部族， 随葬有各种铜礼器33件， 铜戈和...
3	甗女	yǎn nǚ	person	刘家庄北墓葬中被殉的女性，因头骨置于铜甗中而得名。	4	...是一位十四五岁的少女的， 这里我们姑且叫她“甗女A”。而对甗女A牙齿的同位素鉴定发现，...
4	淮河	huái hé	place	中国东部重要河流。	7	...地区并不是安阳殷都， 而是在更东南方， 可能是淮河流域；她的牙齿也没有龋齿现象， 说明在生...
5	甲骨卜辞	jiǎ gǔ bǔ cí	text	刻写在甲骨上的占卜记录。	6	...王朝终结之前的一场宏大的征服运动， 留下众多甲骨卜辞和铜器铭文。《易经》中也多次提及周...
6	卜辞	bǔ cí	text	甲骨上记录占卜的文字。	11	...终结之前的一场宏大的征服运动， 留下众多甲骨卜辞和铜器铭文。《易经》中也多次提及周昌为...
7	铭文	míng wén	text	铸刻在青铜器等器物上的文字。	10	...一场宏大的征服运动， 留下众多甲骨卜辞和铜器铭文。《易经》中也多次提及周昌为纣王占算作...
8	夷方	yí fāng	concept	商末东南方族群或方国。	6	...王亲征南方， 得到了重要人物的首级。商朝俘获夷方酋长后， 一般会保存头骨， 在上面刻字记功...
9	帝辛	dì xīn	person	商纣王的王名。	2	...， 按照帝乙改革过的“周祭”纪年方式， 称为“帝辛十祀”。攸侯“喜”， 一个淮河边的小侯国...
10	攸侯	yōu hóu	person	攸国君长。	1	...革过的“周祭”纪年方式， 称为“帝辛十祀”。攸侯“喜”， 一个淮河边的小侯国（名“攸”）...
11	人方伯	rén fāng bó	person	卜辞中夷方首领称号。	7	...商王报告说， 淮南“夷（人）方”的某个首领（人方伯）叫梅的部落， 最近颇不恭顺， 屡次侵犯...
12	攸国	yōu guó	place	淮河附近商代侯国。	2	...人方伯）叫梅的部落， 最近颇不恭顺， 屡次侵犯攸国， 于是， 纣王在龟甲占卜后， 策划了这次对...
13	甾	zāi	rare_word	本章甲骨释文“多侯甾伐人方伯”中的用字。	2	...沈之瑜将其释读为：“……人方伯梅率……多侯甾伐人方伯……”[5] 这块甲骨...
14	青铜卣	qīng tóng yǒu	bronze_item	青铜盛酒器卣。	1	...过侦察——有个商朝小臣为此制作了纪念战功的青铜卣， 铭文云“……才（在）十月……隹子曰...
15	甲骨拓片	jiǎ gǔ tà piàn	artifact	甲骨文字拓印图。	1	人方伯梅率……多侯甾伐人方伯……”甲骨拓片及摹本[6] （图）
16	梅伯	méi bó	person	传说中被纣王杀害者，文中与夷方伯联系。	4	屈原的楚辞《天问》曰：“梅伯受醢， 箕子详狂。
17	箕子	jī zǐ	person	商末贵族，后世文献中重要人物。	1	屈原的楚辞《天问》曰：“梅伯受醢， 箕子详狂。
18	人牲	rén shēng	concept	被杀用于祭祀的人。	3	这次南征俘获的大量土著， 自然会被带回殷都充当人牲。
19	战俘	zhàn fú	concept	战争中捕获的人。	1	此时， 商人内部的各族邑也都已经发展壮大， 其所捕猎的战俘也会留部分给自己支配。
20	艅	yú	rare_word	本章“小臣艅犀尊”人名用字。	3	"小臣艅犀尊”铭文拓片，《集成》5990"作册般甗”铭文拓片，《集成》944（图）
21	犀尊	xī zūn	bronze_item	犀牛形青铜尊。	2	"小臣艅犀尊”铭文拓片，《集成》5990"作册般甗”铭文拓片，《集成》944（图）
22	作册般	zuò cè bān	person	晚商作册官名。	3	"小臣艅犀尊”铭文拓片，《集成》5990"作册般甗”铭文拓片，《集成》944（图）
23	肜	róng	rare_word	商代祭名，正祭次日再次举行的祭祀。	1	唯王十祀又五， 肜日。
24	敄	wù	rare_word	本章夷人首领“无敄”名中的用字。	2	”意思是说， 一位叫“无敄”的夷人首领成了商朝俘虏， 被纣王“宜”和“咸”。
25	东南夷	dōng nán yí	concept	商朝东南方向诸夷族群。	1	...人部族， 他们的族长有“史”的职权， 可以统筹东南夷人地区， 也就是整个鲁南、苏北和皖北地...
