sequence,year,date_original,battle_title,battle_title_zh,state,cwsac,outcome,notes,category,source_url,source_url_zh
128,1863,"January 1, 1863",Battle of Galveston (Second Battle of Galveston),,Texas,B,Confederate,"John B. Magruder expels occupying Union troops from Galveston, Texas .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Galveston,
129,1863,"January 8, 1863",Second Battle of Springfield,,Missouri,D,Union,"Confederates enter town, but are unable to take nearby fort.",CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Springfield,
130,1863,"January 9, 1863",Battle of Arkansas Post (Battle of Fort Hindman),,Arkansas,C,Union,"Part of Vicksburg Campaign, fight for control of mouth of Arkansas River.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Arkansas_Post_(1863),
131,1863,"January 9 –11, 1863",Battle of Hartville,,Missouri,D,Confederate,"Confederates are victorious, but unable to continue raid.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hartville,
132,1863,"January 29, 1863",Bear River Massacre,,Idaho ( Washington Territory at the time),C,Union,American Indian Wars: Shoshone forces massacred by Union troops.,CWSAC-rated,https://en.wikipedia.org/wiki/Bear_River_Massacre,
133,1863,"February 3, 1863",Battle of Dover,,Tennessee,D,Union,Failed Confederate attack on town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Dover_(1863),
134,1863,"March 5, 1863",Battle of Fort McAllister (1863),,Georgia,C,Confederate,Confederate forces held off Union Naval sieges,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_McAllister_(1863),
135,1863,"March 5, 1863",Battle of Thompson's Station,,Tennessee,C,Confederate,Earl Van Dorn defeats John Coburn,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Thompson's_Station,
136,1863,"March 13 –15, 1863",Battle of Fort Anderson,,North Carolina,D,Union,Daniel H. Hill leads unsuccessful Confederate attack on New Bern.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Anderson,
137,1863,"March 17, 1863",Battle of Kelly's Ford,,Virginia,C,Confederate,Indecisive cavalry battle during Civil War.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Kelly's_Ford,
138,1863,"March 20, 1863",Battle of Vaught's Hill,,Tennessee,D,Union,Union forces withstand attack by John Hunt Morgan 's Confederates.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Vaught's_Hill,
139,1863,"March 25, 1863",Battle of Brentwood,,Tennessee,D,Confederate,Union force surrenders.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Brentwood,
140,1863,"March 30 – April 20, 1863","Battle of Washington , NC",,North Carolina,D,Inconclusive,Hill unable to take North Carolina town from Union forces.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Washington,
141,1863,"April 7, 1863",First Battle of Charleston Harbor,,South Carolina,C,Confederate,Charleston fails to fall to the Union; Fort Sumter holds; USS Keokuk is sunk.,CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Charleston_Harbor,
142,1863,"April 10, 1863",Battle of Franklin (1863),,Tennessee,D,Union,Confederates withdraw after rearguard defeat.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Franklin_(1863),
143,1863,"April 11 – May 4, 1863",Battle of Suffolk (Hill's Point) (Battle of Fort Huger),,Virginia,C,Inconclusive,Confederate forces captured from a rear attack.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Suffolk_(Hill's_Point),
144,1863,"April 11 – May 4, 1863",Battle of Suffolk (Norfleet House) ; Siege of Suffolk,,Virginia,C,Inconclusive,Twin battles fought over Suffolk.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Suffolk_(Norfleet_House),
145,1863,"April 12 –13, 1863",Battle of Fort Bisland,,Louisiana,D,Union,Confederate forces retreat from Fort Bisland .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Bisland,
146,1863,"April 14, 1863",Battle of Irish Bend,,Louisiana,C,Union,Richard Taylor retreats from Fort Bisland.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Irish_Bend,
147,1863,"April 17, 1863",Battle of Vermilion Bayou,,Louisiana,D,Union,"Richard Taylor, being vastly outnumbered, retreats after an artillery skirmish.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Vermilion_Bayou,
148,1863,"April 26, 1863",Battle of Cape Girardeau,,Missouri,D,Union,Confederate attack fails.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cape_Girardeau,
149,1863,"April 29, 1863",Battle of Grand Gulf,,Mississippi,C,Confederate,Unsuccessful naval attack by Grant's forces.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Grand_Gulf,
150,1863,"April 29 – May 1, 1863",Battle of Snyder's Bluff,,Mississippi,D,Confederate,Union feint during Vicksburg Campaign .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Snyder's_Bluff,
151,1863,"April 30, 1863",Battle of Day's Gap,,Alabama,C,Union,Union victory during a raid in Alabama.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Day's_Gap,
152,1863,"April 30 – May 6, 1863",Battle of Chancellorsville,,Virginia,A,Confederate,"Lee defeats Hooker's Army of Potomac, Jackson mortally wounded.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chancellorsville,
153,1863,"May 1, 1863",Battle of Port Gibson,,Mississippi,B,Union,"in Vicksburg campaign, Grant defeats Confederates",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Port_Gibson,
154,1863,"May 1 –2, 1863",Battle of Chalk Bluff,,Arkansas,D,Confederate,Confederates win but can't continue raid.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chalk_Bluff,
155,1863,"May 3, 1863",Second Battle of Fredericksburg,,Virginia,B,Union,Union forces under John Sedgwick defeat Confederate forces left to guard the town by Lee.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Fredericksburg,
156,1863,"May 3 –4, 1863",Battle of Salem Church,,Virginia,B,Confederate,Lee defeats Sedgwick.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Salem_Church,
157,1863,"May 12, 1863",Battle of Raymond,,Mississippi,B,Union,Failed Confederate attempt to protect Vicksburg from approaching Federals.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Raymond,
158,1863,"May 14, 1863","Battle of Jackson, Mississippi",,Mississippi,B,Union,"Sherman, McPherson defeat Johnston",CWSAC-rated,"https://en.wikipedia.org/wiki/Battle_of_Jackson,_Mississippi",
159,1863,"May 16, 1863",Battle of Champion Hill,,Mississippi,A,Union,Grant defeats Pemberton .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Champion_Hill,
160,1863,"May 17, 1863",Battle of Big Black River Bridge,,Mississippi,B,Union,Confederate forces trapped in Vicksburg.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Big_Black_River_Bridge,
161,1863,"May 18 – July 4, 1863",Siege of Vicksburg,,Mississippi,A,Union,the siege ends; Grant accepts surrender of second Confederate army under Pemberton.,CWSAC-rated,https://en.wikipedia.org/wiki/Siege_of_Vicksburg,
162,1863,"May 21, 1863",Battle of Plains Store,,Louisiana,C,Union,Union victory near Baton Rouge.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Plains_Store,
163,1863,"May 21 – July 9, 1863",Siege of Port Hudson,,Louisiana,A,Union,last Confederate stronghold on Mississippi surrenders; Gardner surrenders to Banks.,CWSAC-rated,https://en.wikipedia.org/wiki/Siege_of_Port_Hudson,
164,1863,"June 7, 1863",Battle of Milliken's Bend,,Louisiana,C,Union,"In the largest battle fought between Confederate and Black troops, after nearly two days of close combat, the Confederates were defeated in their attempt to raise the siege of Vicksburg.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Milliken's_Bend,
165,1863,"June 9, 1863",Battle of Brandy Station,,Virginia,B,Inconclusive,Pleasonton surprises J.E.B. Stuart's cavalrymen in their camps near Brandy Station.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Brandy_Station,
166,1863,"June 9, 1863",Battle of Lake Providence,,Louisiana,D,Union,"Confederates withdraw to Floyd, Louisiana .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Lake_Providence,
167,1863,"June 13 –15, 1863",Second Battle of Winchester,,Virginia,B,Confederate,Confederate victory paves way for Lee's invasion of the North.,CWSAC-rated,https://en.wikipedia.org/wiki/Second_Battle_of_Winchester,
