term,pinyin,annotation,type
《大集经》,dà jí jīng,全称《大方等大集经》，本则所载，见《大集经》卷第八《海慧菩萨品》。《大集经》所列，共五十三种，不足六十四之数，本则所列为五十二种，且与经文有出入,source_note
粗语,cū yǔ,粗恶之言语，或指粗浅之教说。,source_note
软语,ruǎn yǔ,经文作“浊语”。,source_note
非时,fēi shí,佛教戒律，自晨至正午为“时”，正午以后为“非时”。,source_note
妄语,wàng yǔ,又作故妄语、虚妄语、虞诳语、妄舌。特指以欺人为目的而作的虚妄语，为五戒、十戒、十恶之一。,source_note
漏,lòu,流注漏泄之意，烦恼的异称。,source_note
破语,pò yǔ,用以破斥他人主张之言语。,source_note
散,sǎn,心意散乱。,source_note
畏,wèi,怖畏，恐惧害怕。,source_note
诤,zhèng,因意见冲突而互以言论决胜负。,source_note
谄,chǎn,为欺瞒他人而故作娇态，曲顺人情。,source_note
诳语,kuáng yǔ,以种种手段迷惑他人之言语。经文于“诳语”之前有“调语”。,source_note
邪语,xié yǔ,由贪、瞋、痴所生之不正之言语。,source_note
哑语,yǎ yǔ,表示佛法真理时难以言语表达时的用语。,source_note
地语、狱语,dì yǔ yù yǔ,经文作“地狱语”。,source_note
慢,màn,恃己而凌他。,source_note
利害语,lì hài yǔ,经文作“利恶语”。,source_note
两舌语,liǎng shé yǔ,在两者之间搬弄是非，挑拨离间，破坏彼此之和合。,source_note
无义语,wú yì yǔ,无益的话。,source_note
喜,xǐ,心中适悦之相。,source_note
害,hài,对于他人为恶意损害之精神作用。,source_note
系,xì,系缚使之不得自由之意。,source_note
闲语,xián yǔ,经文作“闭语”。,source_note
缚,fù,烦恼。烦恼能系缚人，使其不得自在，故名。,source_note
说三宝语,shuō sān bǎo yǔ,经文作“谤三宝语”。三宝，佛、法、僧。,source_note
业,yè,佛学术语,source_note
恶口,è kǒu,言辞粗鄙，故视为恶，其恶从口而生，故称为恶口。,source_note
