阅读词表
来源文件：chapter_26/chapter_26_clean.txt
检出条目数：55

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	周公	zhōu gōng	person	周公旦，周初政治家。	155	第二十六章周公新时代
2	武王	wǔ wáng	person	周武王。	50	第二十六章周公新时代武王周发去世后， 周公旦随即宣布年幼的侄子周颂为继承人（成王）...
3	周公旦	zhōu gōng dàn	person	周初政治家。	6	第二十六章周公新时代武王周发去世后， 周公旦随即宣布年幼的侄子周颂为继承人（成王）...
4	成王	chéng wáng	person	周成王，武王之子。	38	...后， 周公旦随即宣布年幼的侄子周颂为继承人（成王）， 但真正坐上王位的是周公。在成王亲政...
5	分封	fēn fēng	concept	周初封邦建国制度。	35	...措来巩固新生的周王朝， 比如， 拆解商人社会， 分封周人诸侯， 等等。其中， 有一项非常重要但...
6	人祭	rén jì	concept	杀人用于祭祀。	31	其中， 有一项非常重要但后世已经完全忘却的举措， 就是废止商朝的人祭文化。
7	召公奭	shào gōng shì	person	周初重臣，燕国始封祖。	8	太保召公奭理解这个方案， 他是周公最重要的支持者。
8	镐京	hào jīng	place	西周都城。	12	“三监”和关中有密切联系， 他们的宣传鼓动传入了镐京。
9	殷都	yīn dū	place	商朝后期都城区域。	32	而武王临终前谈话的内容可能也有所泄露， 比如准备毁灭殷都和屠杀商人的计划等。
10	奄	yǎn	place_or_group	商周之际东方部族及古国名。	3	”此外， 山东和苏北淮河流域的夷人部落， 嬴姓的徐、奄等部族， 也加入了反周公同盟。
11	敉	mǐ	classical_term	安定、安抚；文中见“敉宁武图功”。	1	今蠢（春）今翼日， 民献有十夫予翼， 以于敉宁武图功， 我有大事， 休？
12	矧	shěn	classical_term	况且、何况。	3	今天其相民， 矧亦惟卜用！
13	厎	zhǐ	classical_term	奠定、达到；古文中通“砥”。	1	王曰：“若考作室， 既厎法， 厥子乃弗肯堂， 矧肯构？
14	菑	zī	classical_term	初耕的田地；文中见“厥父菑”。	1	厥父菑， 厥子乃弗肯播， 矧肯穫？
15	斨	qiāng	classical_term	古代方孔斧。	1	既破我斧， 又缺我斨。
16	史墙盘	shǐ qiáng pán	bronze_item	西周青铜盘，铭文记述家族史。	2	...为“微史”的商人家族的青铜器窖藏， 著名的“史墙盘”即出土于此， 其铭文中讲述：武王刚灭...
17	三监之乱	sān jiān zhī luàn	concept	周初管叔、蔡叔等联合殷遗民叛乱。	5	...世代担任周朝史官， 主管文书和档案。平定三监之乱后， 周公对商族人的搬迁力度更大：从...
18	殉葬	xùn zàng	concept	以人或物随葬。	4	...联系太多， 不仅众多的商王陵和族墓埋葬着无数殉葬人与人牲， 还有无数的甲骨卜辞记载着商人...
19	人牲	rén shēng	concept	被杀用于祭祀的人。	4	...， 不仅众多的商王陵和族墓埋葬着无数殉葬人与人牲， 还有无数的甲骨卜辞记载着商人的血腥文...
20	洛邑	luò yì	place	周初在洛阳营建的新都。	24	辅政第七年， 周公开始营建武王设想的新城， 但名字换成了平庸的“洛邑”。
21	宋国	sòng guó	place	周初分封商王族后裔之国。	8	...有部分殷民跟随微子启到了南方的商丘， 建立了宋国；周公新分封的几个诸侯国也掺入了一定比...
22	殷顽民	yīn wán mín	concept	周初对殷商遗民中难以驯服者的称呼。	5	最后搬迁的， 是对周朝最为抵制和最不恭顺的， 被称为“殷顽民”。
23	畀	bì	classical_term	给予、交付。	3	惟天不畀， 允罔固乱。
24	敦促	dūn cù	common_word	催促；督促。	1	周公这番讲话的目的是要敦促殷人必须全部、尽快地搬迁， 不要有侥幸拖延的想法；
25	殷墟	yīn xū	site_or_culture	商代晚期都城遗址。	10	...穴上面的大型破坏坑平面图[8]：殷墟王陵区所有的大墓， 商王、王后、高级贵族...
26	后母戊鼎	hòu mǔ wù dǐng	bronze_item	商代大型青铜鼎。	2	...出土零星的劫余物品， 其中就有近一吨重的“商后母戊鼎”， 由此推理， 王陵中应该有更加巨大...
27	刘家庄北	liú jiā zhuāng běi	site_or_culture	殷墟南部商人聚落和制陶区。	8	在通往殷墟王宫的大路边， 是擅长制陶的刘家庄北商人族邑。
28	铅锭	qiān dìng	artifact	铅质块状原料。	9	...， 经考古队抢救性发掘， 发现这是一座掩埋大量铅锭的窖藏坑， 编号H25。[[fn:12]...
29	揆	kuí	classical_term	揣度、衡量。	1	何亲揆发， 周之命以咨嗟？
30	瀍	chán	place	瀍水，洛阳地区河流。	2	...征着它是殷都居民的新家园。“新大邑”分布在瀍水的东西两侧， 两地相距数公里：东侧主要是...
31	成周	chéng zhōu	place	西周东都。	6	到下半年， 新洛邑基本完成， 官方名称为“成周”。
32	骍	xīng	classical_term	赤色、红色，多用于形容祭祀所用的牛马；“騂”的简体字。	1	到年底， 成王在洛邑举行迎接新年的祭祀， 奉献给文王和武王各一头红色的牛（骍牛）。
33	无逸	wú yì	text	《尚书》篇名。	1	...商人和周人从来没有任何区别。在《尚书•无逸》中， 周公还把君王的在位时间和他们的德...
34	何尊	hé zūn	bronze_item	西周青铜尊，铭文有“宅兹中国”。	2	...这就是因“宅兹中国”的铭文而著称于后世的“何尊”。这也是目前发现的“中国”一词的最早...
35	多方	duō fāng	text	《尚书》篇名，周公告诫多方诸侯。	2	...对殷周贵族们发布了一个讲话， 这便是《尚书•多方》。即使周公叔侄刻意控制了情绪， 其中包...
36	劓	yì	classical_term	古代割鼻之刑。	3	...罚， 诸如“不肯戚言于民， 乃大淫昏”“日钦劓割夏邑”“乃胥惟虐于民”“殄戮多罪”...
37	畋	tián	classical_term	耕种或田猎；文中见“畋尔田”。	1	今尔尚宅尔宅、畋尔田， 尔曷不惠王熙天之命？
38	忱	chén	classical_term	诚信、真诚。	1	图忱于正。
39	卫国	wèi guó	place	周初分封诸侯国。	10	新生的卫国将统治旧商朝核心区， 都城设在废殷都以南约60公里的朝歌。
40	宄	guǐ	classical_term	作乱、犯法的人或行为。	1	寇攘奸宄， 杀越人于货， 暋不畏死， 罔弗憝。
41	暋	mǐn	classical_term	强横、悍急。	1	寇攘奸宄， 杀越人于货， 暋不畏死， 罔弗憝。
42	憝	duì	classical_term	怨恶、憎恨；这里为惩治之意。	1	寇攘奸宄， 杀越人于货， 暋不畏死， 罔弗憝。
43	锜	qí	classical_term	古代釜一类器物；此处为殷民氏族名。	1	...氏（陶工）、施氏（旗工）、繁氏（马缨工）、锜氏（锉刀工或釜工）、樊氏（篱笆工）、饥氏...
44	郕	chéng	place	西周诸侯国名。	2	...的兄弟们）建立的封国多达十六个：“管、蔡、郕、霍、鲁、卫、毛、聃、郜、雍、曹、滕、毕...
45	郜	gào	place	西周诸侯国名。	2	...十六个：“管、蔡、郕、霍、鲁、卫、毛、聃、郜、雍、曹、滕、毕、原、酆、郇， 文之昭也。...
46	郇	xún	place	西周诸侯国名；此处读 xún。	1	...、卫、毛、聃、郜、雍、曹、滕、毕、原、酆、郇， 文之昭也。”其中当然也包括周公自己的鲁...
47	邗	hán	place	西周诸侯国名。	1	之后， 武王的儿子建立的封国有四个：“邗、晋、应、韩， 武之穆也”；
48	胙	zuò	place	西周诸侯国名；字本义亦指祭肉。	2	周公的儿子建立的封国有六个（鲁国之外）：“凡、蒋、邢、茅、胙、祭， 周公之胤也。
49	胤	yìn	classical_term	后代、子孙。	1	周公的儿子建立的封国有六个（鲁国之外）：“凡、蒋、邢、茅、胙、祭， 周公之胤也。
50	姞	jí	classical_term	上古姓氏；文中指南燕国的姞姓。	2	...国和许国。另一个和周族有联姻关系的西土部族姞姓戎人， 也被分封到了河南地区， 建立了姞姓...
51	邘	yú	place	西周诸侯国名。	1	二， 在太行山南麓， 东行折而向北， 有原、邘、雍、凡、共、卫、邢和燕。
52	郐	kuài	place	西周诸侯国名。	1	...；三， 在黄河东南侧和洛阳以东， 有东虢、郐、胙、杞、宋、戴、曹、郜、毛， 并一直延伸...
53	妘	yún	classical_term	上古姓氏。	1	...还有些异姓的土著族邦， 属于嬴、曹、任、风、妘等姓， 但经历过西周初年的几次平叛战争后，...
54	辐辏	fú còu	classical_term	人或事物从四方聚集。	1	...庶和安全， 这里有掌控巨大资源的朝廷以及显贵辐辏的社交场， 远胜边地侯的生活。西周王...
