term,pinyin,type,annotation
周公,zhōu gōng,person,周公旦，周初政治家。
周公旦,zhōu gōng dàn,person,周初政治家。
召公奭,shào gōng shì,person,周初重臣，燕国始封祖。
成王,chéng wáng,person,周成王，武王之子。
武王,wǔ wáng,person,周武王。
殷顽民,yīn wán mín,concept,周初对殷商遗民中难以驯服者的称呼。
三监之乱,sān jiān zhī luàn,concept,周初管叔、蔡叔等联合殷遗民叛乱。
洛邑,luò yì,place,周初在洛阳营建的新都。
成周,chéng zhōu,place,西周东都。
镐京,hào jīng,place,西周都城。
史墙盘,shǐ qiáng pán,bronze_item,西周青铜盘，铭文记述家族史。
何尊,hé zūn,bronze_item,西周青铜尊，铭文有“宅兹中国”。
后母戊鼎,hòu mǔ wù dǐng,bronze_item,商代大型青铜鼎。
人祭,rén jì,concept,杀人用于祭祀。
人牲,rén shēng,concept,被杀用于祭祀的人。
殉葬,xùn zàng,concept,以人或物随葬。
殷都,yīn dū,place,商朝后期都城区域。
殷墟,yīn xū,site_or_culture,商代晚期都城遗址。
刘家庄北,liú jiā zhuāng běi,site_or_culture,殷墟南部商人聚落和制陶区。
铅锭,qiān dìng,artifact,铅质块状原料。
敦促,dūn cù,common_word,催促；督促。
骍,xīng,classical_term,赤色、红色，多用于形容祭祀所用的牛马；“騂”的简体字。
劓,yì,classical_term,古代割鼻之刑。
宄,guǐ,classical_term,作乱、犯法的人或行为。
暋,mǐn,classical_term,强横、悍急。
憝,duì,classical_term,怨恶、憎恨；这里为惩治之意。
分封,fēn fēng,concept,周初封邦建国制度。
卫国,wèi guó,place,周初分封诸侯国。
宋国,sòng guó,place,周初分封商王族后裔之国。
多方,duō fāng,text,《尚书》篇名，周公告诫多方诸侯。
无逸,wú yì,text,《尚书》篇名。
敉,mǐ,classical_term,安定、安抚；文中见“敉宁武图功”。
矧,shěn,classical_term,况且、何况。
厎,zhǐ,classical_term,奠定、达到；古文中通“砥”。
菑,zī,classical_term,初耕的田地；文中见“厥父菑”。
斨,qiāng,classical_term,古代方孔斧。
畀,bì,classical_term,给予、交付。
揆,kuí,classical_term,揣度、衡量。
瀍,chán,place,瀍水，洛阳地区河流。
畋,tián,classical_term,耕种或田猎；文中见“畋尔田”。
忱,chén,classical_term,诚信、真诚。
锜,qí,classical_term,古代釜一类器物；此处为殷民氏族名。
郕,chéng,place,西周诸侯国名。
郜,gào,place,西周诸侯国名。
郇,xún,place,西周诸侯国名；此处读 xún。
邗,hán,place,西周诸侯国名。
胙,zuò,place,西周诸侯国名；字本义亦指祭肉。
胤,yìn,classical_term,后代、子孙。
姞,jí,classical_term,上古姓氏；文中指南燕国的姞姓。
邘,yú,place,西周诸侯国名。
郐,kuài,place,西周诸侯国名。
妘,yún,classical_term,上古姓氏。
辐辏,fú còu,classical_term,人或事物从四方聚集。
崧,sōng,classical_term,同“嵩”，高山；《崧高》为《诗经》篇名。
雒,luò,classical_term,古“洛”字；文中见《作雒解》。
奄,yǎn,place_or_group,商周之际东方部族及古国名。
