sequence,year,date_original,battle_title,battle_title_zh,state,cwsac,outcome,notes,category,source_url,source_url_zh
36,1862,"January 3, 1862",Battle of Cockpit Point,,Virginia,C,Inconclusive,Inconclusive Civil War battle in Virginia.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cockpit_Point,
37,1862,"January 5 –6, 1862",Battle of Hancock,,Maryland,D,Inconclusive,Unsuccessful Confederate attack on Maryland town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hancock,
38,1862,"January 8, 1862",Battle of Roan's Tan Yard,,Missouri,D,Union,Confederates routed.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Roan's_Tan_Yard,
39,1862,"January 10, 1862",Battle of Middle Creek,,Kentucky,C,Union,Union forces under James A. Garfield defeat Confederates under Humphrey Marshall .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Middle_Creek,
40,1862,"January 19, 1862",Battle of Mill Springs,,Kentucky,B,Union,Felix Zollicoffer killed.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Mill_Springs,
41,1862,"February 6, 1862",Battle of Fort Henry,,Tennessee,B,Union,Grant and Foote 's gunboats gain control of Tennessee River by defeating Lloyd Tilghman,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Henry,
42,1862,"February 7 –8, 1862",Battle of Roanoke Island,,North Carolina,B,Union,Union forces under Ambrose E. Burnside capture island from Henry A. Wise,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Roanoke_Island,
43,1862,"February 11 –16, 1862",Battle of Fort Donelson,,Tennessee,A,Union,"Confederate army under Simon Bolivar Buckner surrenders to Grant , Union gains control of Cumberland River",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Donelson,
44,1862,"February 20 –21, 1862",Battle of Valverde,,New Mexico ( New Mexico Territory at the time),B,Confederate,Union forces routed in New Mexico Territory .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Valverde,
45,1862,"February 28 – April 8, 1862",Battle of Island Number Ten (Battle of New Madrid),,Missouri,A,Union,Union victory by Pope over John P. McCown .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Island_Number_Ten,
46,1862,"March 6 –8, 1862",Battle of Pea Ridge or Elkhorn Tavern,,Arkansas,A,Union,Union victory by Samuel Ryan Curtis over Earl Van Dorn ensured continued Union control of Missouri.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Pea_Ridge,
47,1862,"March 8 –9, 1862",Battle of Hampton Roads,,Virginia,B,Inconclusive,"USS Monitor battles CSS Virginia , battle ends in a draw.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Hampton_Roads,
48,1862,"March 14, 1862",Battle of New Bern,,North Carolina,B,Union,Union troops disembark from ships and capture the town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_New_Bern_(1862),
49,1862,"March 23, 1862",First Battle of Kernstown,,Virginia,B,Union,"Union forces defeat Confederates under ""Stonewall"" Jackson.",CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Kernstown,
50,1862,"March 23 – April 26, 1862",Battle of Fort Macon,,North Carolina,C,Union,Confederate fort surrenders after Union artillery bombardment.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Macon,
51,1862,"March 26 –28, 1862",Battle of Glorieta Pass,,New Mexico ( New Mexico Territory at the time),A,Union,"Tactical draw. Union strategic victory. Dubbed the ""Gettysburg of the West"".",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Glorieta_Pass,
52,1862,"April 5 – May 4, 1862",Siege of Yorktown (1862) (Battle of Yorktown),,Virginia,B,Inconclusive,Confederate army slips away after four week siege near site of decisive Revolutionary War battle.,CWSAC-rated,https://en.wikipedia.org/wiki/Siege_of_Yorktown_(1862),
53,1862,"April 6 –7, 1862",Battle of Shiloh or Pittsburg Landing,,Tennessee,A,Union,Grant and reinforcements under Buell repulse Albert Sidney Johnston and P. G. T. Beauregard . A.S. Johnston is killed.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Shiloh,
54,1862,"April 10 –11, 1862",Battle of Fort Pulaski,,Georgia,B,Union,"Union blockade closes Savannah, Georgia. Parrott rifle makes masonry forts obsolete.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Pulaski,
55,1862,"April 18 –28, 1862",Battle of Forts Jackson and St. Philip,,Louisiana,A,Union,Decisive battle for possession of New Orleans.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Forts_Jackson_and_St._Philip,
56,1862,"April 19, 1862",Battle of South Mills,,North Carolina,D,Inconclusive,Confederates thwart attempt to destroy a canal.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_South_Mills,
57,1862,"April 25 – May 1, 1862",Capture of New Orleans,,Louisiana,B,Union,Union forces capture city.,CWSAC-rated,https://en.wikipedia.org/wiki/Capture_of_New_Orleans,
58,1862,"April 29 – May 30, 1862",Siege of Corinth,,Mississippi,A,Union,"Union forces capture town, Beauregard tricks Union in order to escape to Tupelo .",CWSAC-rated,https://en.wikipedia.org/wiki/Siege_of_Corinth,
59,1862,"May 5, 1862",Battle of Williamsburg,,Virginia,B,Inconclusive,McClellan and Longstreet fight inconclusive battle.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Williamsburg,
60,1862,"May 7, 1862",Battle of Eltham's Landing,,Virginia,D,Inconclusive,Inconclusive Civil War battle in Virginia.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Eltham's_Landing,
