term,pinyin,annotation,type
徐陵,,东海郯（今山东郯城）人。南朝梁时任东宫学士，入陈，官至太子少傅。诗文与庾信齐名，并称“徐庾”。,source_note
山鸡,,今名锦鸡。据说自爱其羽毛，常照水而舞。,source_note
孤鸾,,失偶的鸾鸟。,source_note
凫,fú,"野鸭。凫 fú （鳬）
①名 野鸭。
②同 “浮”。现在一般写作“浮”。
用法说明 上边是“鸟”省末笔一横。由“”构成的字还有“岛” “枭” “袅”等。",source_note
黔,,战国末秦国有黔中郡，唐有黔中道。今为贵州省简称。,source_note
白乐天,,即白居易（772—846），字乐天，晚号香山居士。中唐大诗人，早年与元稹并称“元白”，晚年与刘禹锡并称“刘白”。,source_note
行简,,即白行简（776—816），白居易弟。进士出身，历官左拾遗、员外郎、郎中等职。,source_note
东川,,剑南东川节度使，唐肃宗时置，治所梓州（今四川三台）。白行简当时在剑南东川节度使幕府任职。,source_note
翦,,裁剪。,source_note
晏,yàn,"晚。晏 yàn
〈文〉
①形 晚；迟。
晏起 | 晏驾（帝王死去的委婉说法）。
②形 平静；安逸。
河清海晏 | 海内晏如 | 晏然自得
③名 姓。
用法说明 跟“宴”形、义都不同。",source_note
闭关,,这里是蛰伏的意思。,source_note
黄鲁直,,即黄庭坚（1045—1105），字鲁直，洪州分宁（今江西修水）人。北宋大诗人，书法家，“苏门四学士”之一。,source_note
