term,pinyin,type,annotation
夏桀,xià jié,person,传说中的夏朝末代君主。
商汤,shāng tāng,person,商朝开国君主，传统记载中灭夏。
扑朔迷离,pū shuò mí lí,idiom,形容事情错综复杂，难以辨清。
疆域,jiāng yù,concept,国家或政权控制、影响的地域范围。
都邑,dū yì,concept,作为政治中心的大型聚落或城市。
政体,zhèng tǐ,concept,政权组织和统治形态。
陶礼器,táo lǐ qì,artifact,陶制礼仪器物，多与酒礼和身份等级有关。
酋长,qiú zhǎng,concept,部落或地方共同体的首领。
朝贡,cháo gòng,concept,向中心政权进献贡物并承认关系的制度。
东下冯,dōng xià féng,site_or_culture,晋南地区与二里头时期相关的考古文化类型。
西吴壁,xī wú bì,site_or_culture,山西绛县遗址，文中讨论为冶铜地点。
冶炼,yě liàn,rare_word,用高温从矿石中提炼金属。
大师姑,dà shī gū,site_or_culture,郑州附近夏商时期古城遗址。
望京楼,wàng jīng lóu,site_or_culture,新郑附近夏商时期古城遗址。
岳石文化,yuè shí wén huà,site_or_culture,山东地区龙山以后、商代以前的考古文化。
下七垣文化,xià qī yuán wén huà,site_or_culture,豫北冀南一带商代早期前后的考古文化。
二里岗文化,èr lǐ gāng wén huà,site_or_culture,早商时期以郑州商城等为代表的考古文化。
沦丧,lún sàng,rare_word,丧失、沦陷。
灰坑,huī kēng,concept,考古遗迹中常见的垃圾坑或废弃坑。
鹊巢鸠占,què cháo jiū zhàn,idiom,比喻强占别人的居处或位置。
陶窑,táo yáo,artifact,烧制陶器的窑炉。
夷为平地,yí wéi píng dì,idiom,被彻底毁坏并铲平。
偃师商城,yǎn shī shāng chéng,site_or_culture,商代早期城址，位于二里头以东。
郑州商城,zhèng zhōu shāng chéng,site_or_culture,商代早期大型城址。
麋鹿,mí lù,rare_word,大型鹿科动物，古代遗址中常见动物遗存。
蜷曲,quán qū,rare_word,弯曲、卷曲。
朱砂,zhū shā,rare_word,红色矿物，古代葬俗中常用于铺垫或涂抹。
葬俗,zàng sú,concept,丧葬习惯和仪式传统。
第五纵队,dì wǔ zòng duì,concept,内部配合外来敌对势力的人群。
苟延残喘,gǒu yán cán chuǎn,idiom,勉强维持生存。
南巢,nán cháo,place,古书中夏桀被放逐之地，文中联系到巢湖地区。
仲虺之诰,zhòng huǐ zhī gào,text,《尚书》篇名，传统上与商汤灭夏有关。
括地志,kuò dì zhì,text,唐代地理著作，常被古书注释引用。
巢湖,cháo hú,place,安徽湖泊，文中与“南巢”传说相关。
肥西,féi xī,place,安徽地名，出土过二里头风格青铜器。
三官庙,sān guān miào,site_or_culture,安徽肥西遗址，出土二里头时期遗存。
碳十四,tàn shí sì,concept,利用放射性碳测定年代的方法。
舟筏,zhōu fá,rare_word,船和筏一类水上交通工具。
殷商甲骨卜辞,yīn shāng jiǎ gǔ bǔ cí,text,商代刻写在甲骨上的占卜文字材料。
汤誓,tāng shì,text,《尚书》篇名，传统上为商汤灭夏誓词。
商颂,shāng sòng,text,《诗经》中保存商族祭祀与祖先记忆的一组诗。
长发,cháng fā,text,《诗经・商颂》篇名，歌颂商族祖先和商汤功业。
正考父,zhèng kǎo fǔ,person,春秋时期宋国贵族，传统记载中得到商颂。
夏墟,xià xū,concept,周人称夏朝故地的说法。
逸周书,yì zhōu shū,text,传世古书，保存若干周代相关材料。
菹,zū,rare_word,水草丛生的沼泽地。
汭,ruì,rare_word,河流汇合的地方或河流弯曲的地方。
