order	source_key	term	annotation
1	g0_p1	函秦	泛指关中地区
2	g0_p2	齐	齐国，其地在今山东泰山以北
3	g0_p3	赵	赵国，在今河北南部、山西北部一带
4	g0_p4	晋表里河山	晋国在今山西大部、河北西南，地跨黄河两岸，外有大河，内有高山（太行），故云表里河山。
5	g0_p5	蜀	先秦时期古国名，后为秦所灭，置蜀郡，其地在今四川盆地
6	g0_p6	楚国方城以为城，汉水以为池	语出《左传·僖公四年》。楚国，在今湖北一带。方城，春秋时期楚国北方的长城，起于方城（今属河南），故名。汉水，汉江。长江最大支流。
7	g0_p7	吴	在今淮、泗以南至太湖以东地区，后被越国所灭。
8	g0_p8	五湖	古今说法不一。先秦时期专指太湖。
9	g0_p9	宋	在今河南东部及鲁、苏、皖三省之间
10	g0_p10	袁绍	汝南汝阳（今河南商水）人。东汉末年北方割据军阀，官渡之战败于曹操，病死
11	g0_p11	韩遂	凉州金城（今甘肃兰州）人。东汉末年割据军阀。马腾（？—212）：扶风茂陵（今陕西兴平）人。东汉末年割据军阀。关中：关中地区。东至函谷关，南至武关，西至散关，北至萧关，故名“关中”，陕西渭河流域一带
12	g0_p12	刘璋	江夏竟陵（今湖北天门）人。东汉末年益州牧，后降于刘备。
13	g0_p13	刘表	汉宗室。东汉末为镇南将军、荆州牧，据地千里，称雄一方。
14	g0_p14	吕布	九原（今内蒙古包头）人。东汉末年群雄之一，以勇武知名，后败于曹操，被处死
15	g0_p15	袁术	汝南汝阳（今河南商水）人。袁绍弟，东汉末年割据军阀。建安二年
16	g0_p16	孙策	吴郡富春（今浙江杭州）人。孙权之兄，三国东吴政权奠基者
17	g0_p17	曹操	沛国谯（今安徽亳州）人。汉末政治家、军事家、杰出诗人。建安元年
18	g0_p18	祚	皇位。
19	g0_p2x1	海	大海
20	g0_p2x2	岱	泰山
21	g0_p3x1	魏	魏国，在今河南北部、陕西东部、山西西南及河北南部一带
22	g0_p5x1	剑门	在今四川剑阁北，大剑山峭壁中断，两崖相嵌，其形似门，故名，蜀汉诸葛亮在此置关
23	g0_p5x2	瞿唐	长江三峡之首，今作瞿塘，又名广溪峡、夔峡
24	g0_p9x1	卫	在今河南、河北、山东交界一带
25	g0_p10x1	幽	幽州
26	g0_p10x2	并	并州，古九州之一（据《周礼》）
27	g0_p11x1	马腾	扶风茂陵（今陕西兴平）人
28	g0_p11x2	关中	关中地区
29	g0_p14x1	盗徐	建安元年
30	g0_p16x1	江东	长江下游芜湖至南京一段为西南—东北流向，此段以东的长江南岸地区古称江东，又称江南或江左（古时叙地理坐北朝南，故以东为左，以西为右）
