term,pinyin,annotation,type
函秦,,泛指关中地区,source_note
齐,,齐国，其地在今山东泰山以北,source_note
赵,,赵国，在今河北南部、山西北部一带,source_note
晋表里河山,,晋国在今山西大部、河北西南，地跨黄河两岸，外有大河，内有高山（太行），故云表里河山。,source_note
蜀,,先秦时期古国名，后为秦所灭，置蜀郡，其地在今四川盆地,source_note
楚国方城以为城，汉水以为池,,语出《左传·僖公四年》。楚国，在今湖北一带。方城，春秋时期楚国北方的长城，起于方城（今属河南），故名。汉水，汉江。长江最大支流。,source_note
吴,,在今淮、泗以南至太湖以东地区，后被越国所灭。,source_note
五湖,,古今说法不一。先秦时期专指太湖。,source_note
宋,,在今河南东部及鲁、苏、皖三省之间,source_note
袁绍,,汝南汝阳（今河南商水）人。东汉末年北方割据军阀，官渡之战败于曹操，病死,source_note
韩遂,,凉州金城（今甘肃兰州）人。东汉末年割据军阀。马腾（？—212）：扶风茂陵（今陕西兴平）人。东汉末年割据军阀。关中：关中地区。东至函谷关，南至武关，西至散关，北至萧关，故名“关中”，陕西渭河流域一带,source_note
刘璋,,江夏竟陵（今湖北天门）人。东汉末年益州牧，后降于刘备。,source_note
刘表,,汉宗室。东汉末为镇南将军、荆州牧，据地千里，称雄一方。,source_note
吕布,,九原（今内蒙古包头）人。东汉末年群雄之一，以勇武知名，后败于曹操，被处死,source_note
袁术,,汝南汝阳（今河南商水）人。袁绍弟，东汉末年割据军阀。建安二年,source_note
孙策,,吴郡富春（今浙江杭州）人。孙权之兄，三国东吴政权奠基者,source_note
曹操,,沛国谯（今安徽亳州）人。汉末政治家、军事家、杰出诗人。建安元年,source_note
祚,,皇位。,source_note
海,,大海,source_note
岱,,泰山,source_note
魏,,魏国，在今河南北部、陕西东部、山西西南及河北南部一带,source_note
剑门,,在今四川剑阁北，大剑山峭壁中断，两崖相嵌，其形似门，故名，蜀汉诸葛亮在此置关,source_note
瞿唐,,长江三峡之首，今作瞿塘，又名广溪峡、夔峡,source_note
卫,,在今河南、河北、山东交界一带,source_note
幽,,幽州,source_note
并,,并州，古九州之一（据《周礼》）,source_note
马腾,,扶风茂陵（今陕西兴平）人,source_note
关中,,关中地区,source_note
盗徐,,建安元年,source_note
江东,,长江下游芜湖至南京一段为西南—东北流向，此段以东的长江南岸地区古称江东，又称江南或江左（古时叙地理坐北朝南，故以东为左，以西为右）,source_note
