阅读词表
来源文件：chapter_24/chapter_24_clean.txt
检出条目数：25

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	西土	xī tǔ	place	周族所在的西方地区。	11	第二十四章西土之人
2	周原	zhōu yuán	site_or_culture	周族核心区域。	19	...父子返回周邦， 继续在西土为商朝效力。而返回周原后， 周昌很快宣布“受命”（接受了上帝的...
3	周昌	zhōu chāng	person	周文王姬昌。	30	...周邦， 继续在西土为商朝效力。而返回周原后， 周昌很快宣布“受命”（接受了上帝的命令），...
4	上帝	shàng dì	concept	商周宗教中的最高神。	54	...而返回周原后， 周昌很快宣布“受命”（接受了上帝的命令）， 这意味着他成为上帝授权的人间...
5	周文王	zhōu wén wáng	person	周族领袖姬昌。	3	就是从这时开始， 他成了人们习惯称呼的“周文王”。
6	翦商	jiǎn shāng	concept	周人剪灭商朝的政治行动。	13	...余年后就灰飞烟灭？文王周昌和武王周发的翦商事业， 属于中国古史进入“信史”时代的开...
7	羌人	qiāng rén	concept	西方族群，常见于商代卜辞。	9	羌人盟军与太公阴谋
8	吕尚	lǚ shàng	person	姜太公名尚。	23	...位的继承人。他要执行父亲规划的翦商事业， 而吕尚的作用不可替代， 周族需要借助吕尚重新建...
9	殷都	yīn dū	place	商朝后期都城区域。	27	但吕尚如何离开殷都、返回西土是个难题。
10	羑里	yǒu lǐ	place	商代囚禁周文王之地。	1	周西伯昌之脱羑里归， 与吕尚阴谋修德以倾商政， 其事多兵权与奇计。
11	箕子	jī zǐ	person	商末贵族，明夷卦解释中的关键人物。	15	《帝王世纪》记载：“箕子为父师。
12	人祭	rén jì	concept	杀人用于祭祀。	3	...原“文王大宅”窖穴的甲骨上， 文王曾经记录商人祭祀先王的仪式， 但从传世的周人史诗来看，...
13	方伯	fāng bó	concept	受命统领一方的首领。	1	...裂的实力， 表面上， 周昌还要恪尽作为商朝附庸方伯的义务， 需要缴纳的俘虏也还要定期送往殷...
14	易经	yì jīng	text	文王卦爻辞体系。	12	《易经》的翦商谋略
15	卦爻辞	guà yáo cí	concept	《易经》中卦辞和爻辞的合称。	2	...设浮桥并不现实。《易经》六十四卦中有十卦的卦爻辞出现“利涉大川”或“不利涉大川”， 可...
16	髳	máo	rare_word	古代西南部族名，牧誓八国之一。	1	”到后来周武王灭商时， 盟军中确实有蜀、髳、微、卢、彭和濮等西南部族。
17	人牲	rén shēng	concept	被杀用于祭祀的人。	5	...， 所以在甲骨卜辞的记载中， 商王经常用牲畜及人牲向“鸟”献祭。而这显然会让心存翦商之念...
18	咷	táo	rare_word	大声哭；号咷。	1	...上九）就不一样了：“鸟焚其巢， 旅人先笑后号咷。丧牛于易。凶。”如前文所述，“丧牛于易...
19	明夷	míng yí	text	《易经》卦名。	17	明夷卦中的箕子
20	老牛坡	lǎo niú pō	site_or_culture	陕西西安商代遗址。	17	...要知道， 此时的周邦， 实力还不算强大， 远不如老牛坡的崇国， 或者晋南地区的商人侯国。...
21	崇国	chóng guó	place	商周之际西土方国。	18	...此时的周邦， 实力还不算强大， 远不如老牛坡的崇国， 或者晋南地区的商人侯国。所以， 这...
22	邘	yú	place	古国名，在今河南沁阳附近。	4	四， 受命第五年， 灭邘国。
23	麀	yōu	rare_word	母鹿。	2	王在灵囿， 麀鹿攸伏。
24	翯	hè	rare_word	羽毛洁白而有光泽。	2	麀鹿濯濯， 白鸟翯翯。
25	箧	qiè	rare_word	小箱子，繁体作“篋”。	1	静箧铭文拓片，《集成》4273[24] （图）
