term,pinyin,type,annotation
西土,xī tǔ,place,周族所在的西方地区。
羌人,qiāng rén,concept,西方族群，常见于商代卜辞。
姜太公,jiāng tài gōng,person,吕尚，周初重要政治军事人物。
吕尚,lǚ shàng,person,姜太公名尚。
周昌,zhōu chāng,person,周文王姬昌。
周文王,zhōu wén wáng,person,周族领袖姬昌。
明夷,míng yí,text,《易经》卦名。
箕子,jī zǐ,person,商末贵族，明夷卦解释中的关键人物。
易经,yì jīng,text,文王卦爻辞体系。
翦商,jiǎn shāng,concept,周人剪灭商朝的政治行动。
崇国,chóng guó,place,商周之际西土方国。
老牛坡,lǎo niú pō,site_or_culture,陕西西安商代遗址。
周原,zhōu yuán,site_or_culture,周族核心区域。
殷都,yīn dū,place,商朝后期都城区域。
上帝,shàng dì,concept,商周宗教中的最高神。
方伯,fāng bó,concept,受命统领一方的首领。
卦爻辞,guà yáo cí,concept,《易经》中卦辞和爻辞的合称。
人祭,rén jì,concept,杀人用于祭祀。
人牲,rén shēng,concept,被杀用于祭祀的人。
髳,máo,rare_word,古代西南部族名，牧誓八国之一。
咷,táo,rare_word,大声哭；号咷。
麀,yōu,rare_word,母鹿。
翯,hè,rare_word,羽毛洁白而有光泽。
箧,qiè,rare_word,小箱子，繁体作“篋”。
槃,pán,rare_word,用于人名“陈槃”。
羑里,yǒu lǐ,place,商代囚禁周文王之地。
邘,yú,place,古国名，在今河南沁阳附近。
