阅读词表
来源文件：chapter_21/chapter_21_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	殷都	yīn dū	place	商朝后期都城区域，今安阳殷墟一带。	26	第二十一章殷都民间的人祭
2	人祭	rén jì	concept	杀人用于祭祀。	16	第二十一章殷都民间的人祭
3	族邑	zú yì	concept	商代宗族聚落。	15	在不大的宫殿区外， 众多商人族邑如卫星城般错落分布。
4	人奠基	rén diàn jī	concept	以人牲用于建筑奠基。	4	在殷都存世的二百多年间， 商人族邑的人祭、人奠基和人殉坑越来越多。
5	人殉	rén xùn	concept	随墓主而死或被杀陪葬。	3	在殷都存世的二百多年间， 商人族邑的人祭、人奠基和人殉坑越来越多。
6	人牲	rén shēng	concept	被杀用于祭祀的人。	14	...比如， 多处人祭坑留有蓄意虐杀的迹象， 尤其当人牲数量不足， 献祭者还会尽量延缓人牲的死亡...
7	殷墟	yīn xū	site_or_culture	商代晚期都城遗址。	26	殷墟遗址群分布图（图）[1]
8	刘家庄北	liú jiā zhuāng běi	site_or_culture	殷墟南部商人聚落和制陶区。	17	这座制陶聚落是刘家庄北地， 在殷都王宫区以南1公里处的通向王宫的大道边。
9	祭祀坑	jì sì kēng	concept	用于祭祀埋牲或埋人的坑穴。	19	H77和H1050这两座祭祀坑属于殷墟二期， 此时， 陶器生产区刚建立不久。
10	大司空村	dà sī kōng cūn	site_or_culture	殷墟东侧重要商代聚落。	20	殷都王宫区向东数百米的洹河对岸， 是大司空村。
11	卜辞	bǔ cí	text	甲骨上记录占卜的文字。	4	“衣”， 就是殷， 甲骨卜辞中出现殷都地名的并不多， 这是很难得的一片。
12	铜戈	tóng gē	bronze_item	青铜戈，商周常见兵器。	2	...四座。二， 共发现93件随葬的主战兵器：铜戈57件， 铜戣（三角形戈）1件， 铜矛30...
13	戣	kuí	rare_word	古代一种长柄兵器；本章所称铜戣为三角形戈。	1	...共发现93件随葬的主战兵器：铜戈57件， 铜戣（三角形戈）1件， 铜矛30件， 铜钺1件，...
14	铜矛	tóng máo	bronze_item	青铜矛，刺击兵器。	2	...战兵器：铜戈57件， 铜戣（三角形戈）1件， 铜矛30件， 铜钺1件， 铜镞87枚， 铅戈3件...
15	铜镞	tóng zú	bronze_item	青铜箭头。	2	...戣（三角形戈）1件， 铜矛30件， 铜钺1件， 铜镞87枚， 铅戈3件， 铅矛1件。铅制的戈和...
16	车马坑	chē mǎ kēng	concept	埋葬车马的陪葬坑。	2	...“辛贞在衣”卜辞（图）四， 发现四座车马坑， 各有两座相距较近， 每座坑中都葬有一...
17	童牲	tóng shēng	concept	被用于祭祀或奠基的儿童人牲。	7	如F34地基， 有八具童牲；
18	大围沟	dà wéi gōu	site_or_culture	殷墟宫殿区外围大型沟壕。	2	大围沟内的抛尸
19	戚家庄东	qī jiā zhuāng dōng	site_or_culture	殷墟范围内少见少殉或无殉的商代墓地。	4	制陶聚落刘家庄北以西的戚家庄东， 是另一处殷商族墓地。
20	箙	fú	rare_word	古代盛放箭矢的器具，也用作族徽。	2	...和帝辛两朝埋下的， 随葬铜器上的族徽主要是“箙”和“爰”， 目前， 这片族邑聚落的生活区只...
