term,pinyin,type,annotation
殷都,yīn dū,place,商朝后期都城区域，今安阳殷墟一带。
殷墟,yīn xū,site_or_culture,商代晚期都城遗址。
族邑,zú yì,concept,商代宗族聚落。
人祭,rén jì,concept,杀人用于祭祀。
人牲,rén shēng,concept,被杀用于祭祀的人。
人殉,rén xùn,concept,随墓主而死或被杀陪葬。
人奠基,rén diàn jī,concept,以人牲用于建筑奠基。
刘家庄北,liú jiā zhuāng běi,site_or_culture,殷墟南部商人聚落和制陶区。
大司空村,dà sī kōng cūn,site_or_culture,殷墟东侧重要商代聚落。
祭祀坑,jì sì kēng,concept,用于祭祀埋牲或埋人的坑穴。
卜辞,bǔ cí,text,甲骨上记录占卜的文字。
铜戈,tóng gē,bronze_item,青铜戈，商周常见兵器。
戣,kuí,rare_word,古代一种长柄兵器；本章所称铜戣为三角形戈。
铜矛,tóng máo,bronze_item,青铜矛，刺击兵器。
铜钺,tóng yuè,bronze_item,青铜钺，常象征军事权力。
铜镞,tóng zú,bronze_item,青铜箭头。
车马坑,chē mǎ kēng,concept,埋葬车马的陪葬坑。
骨笄,gǔ jī,artifact,骨制发簪。
童牲,tóng shēng,concept,被用于祭祀或奠基的儿童人牲。
卯祭,mǎo jì,concept,甲骨文中一种斩杀或剖分人牲、牲畜的祭法。
大围沟,dà wéi gōu,site_or_culture,殷墟宫殿区外围大型沟壕。
戚家庄东,qī jiā zhuāng dōng,site_or_culture,殷墟范围内少见少殉或无殉的商代墓地。
方彝,fāng yí,bronze_item,青铜礼器名。
鬲,lì,rare_word,古代炊器。
爵,jué,bronze_item,古代饮酒器。
觚,gū,bronze_item,古代饮酒器。
箙,fú,rare_word,古代盛放箭矢的器具，也用作族徽。
