order	source_key	term	annotation
1	p2	银章付老翁	语出杜甫《春日江村五首》。银章，本指银印，隋唐以后官员已不佩印，只有随身鱼袋。杜甫作此诗时为唐代宗永泰元年
2	p3	大抵著绯宜老大	语出白居易《闻行简恩赐章服喜成长句寄之》。老大，年纪大。
3	p4	一片绯衫何足道	语出白居易《日渐长赠周殷二判官》。
4	p5	暗淡绯衫称我身	语出白居易《故衫》。称身，衣服长短合身。
5	p6	酒典绯花旧赐袍	语出白居易《初到洛下闲游》。酒典，典酒。典，抵押。
6	p7	假著绯袍君莫笑	语出白居易《行次夏口先寄李大夫》。
7	p8	腰间红绶系未稳	语出白居易《醉歌示伎人商玲珑》。绶，丝带，用以系佩玉或官印等。
8	p9	朱绂仙郎《白雪》歌	语出白居易《听水部吴员外新诗因赠绝句》。仙郎，唐人称尚书省各部郎中、员外郎为仙郎，此指水部（隶属工部）员外郎吴丹。《白雪》，乐曲名。相传为春秋时晋国师旷所制，后来代指高雅音乐或文艺作品。
9	p10	腰佩银龟朱两轮	语出白居易《对镜吟》。银龟，唐代五品以上官赐随身鱼符，盛以鱼袋，武则天天授元年
10	p11	便留朱绂还铃阁	语出《初除尚书郎脱刺史绯》。铃阁，州郡长官办公之所。
11	p12	映我绯衫浑不见	语出《重寄荔枝与杨使君时闻杨使君欲种植故有落句之戏》。
12	p13	白头俱未著绯衫	语出《重和元少尹》。
13	p14	绯袍著了好归田	语出《酬元郎中同制加朝散大夫书怀见赠》。
14	p15	银鱼金带绕腰光	语出《自叹二首》（其一）。
15	p16	银章暂假为专城	语出《又答贺客》。假，借用。专城，州郡长官。白居易作此诗时，自江州司马移忠州刺史，故云。
16	p17	新授铜符未著绯	语出《初除官蒙裴常侍赠鹘衔瑞草绯袍鱼袋因谢惠贶兼抒离情》。铜符，铜制鱼符。
17	p18	徒使花袍红似火	语出《初著刺史绯答友人见赠》。
18	p19	似挂绯袍衣架上	语出前引《又答贺客》。
19	p20	未换银青绶，唯添雪白须	语出《对酒吟》。银青绶，银印青绶，指代高级官阶。
20	p21	笑我青袍故，饶君茜绶新	语出《待漏入阁书事奉赠元九学士阁老》。青袍，唐代八九品低级官阶服青。茜绶，茜（红）袍紫绶。
21	p22	老逼教垂白，官科遣著绯	语出《赠沙鸥》。垂白，白发下垂。
22	p23	那知垂白日，始是著绯年	语出《初著绯戏赠元九》。
23	p24	晚遇何足言，白发映朱绂	语出《曲江感秋二首》（其一）。晚遇，晚年显达。
24	p25	衣鱼	紫服和鱼袋。唐代三品以上官服紫，用金饰鱼袋；五品以上服绯，用银饰鱼袋，内装鱼符，用作出入宫廷时证明身份用。未至三品、五品而特许服紫、服绯者，称借紫、借绯，同时赐以鱼袋则称为赏鱼袋。宋代则不再用鱼符，而是直接在袋上用金银饰为鱼形。
25	p26	鱼缀白金随步跃，鹄衔红绶绕身飞	语出前引《初除官蒙裴常侍赠鹘衔瑞草绯袍鱼袋因谢惠贶兼抒离情》。鹄衔红绶，《唐会要》卷三二：“大和六年六月敕，三品以上，许服鹘衔瑞草，雁衔绶带，及对孔雀绫袍襖。四品、五品，许服地黄交枝绫。”
26	p1	服章	表示官员身份品秩的服饰。《旧唐书·高宗本纪》：“（上元元年八月）敕文武官三品已上服紫，金玉带；四品深绯，五品浅绯，并金带；六品深绿，七品浅绿，并银带；八品深青，九品浅青，鍮石带。”
27	il_绂	绂	系印章或佩玉用的丝带
28	il_绯	绯	红色，深红色
