阅读词表
来源文件：chapter_19/chapter_19_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	2	...不过， 使用时间越短的遗址留下的痕迹越少， 在殷墟范围之外， 现代考古尚未发现纣王的新宫殿...
2	醢	hǎi	rare_word	肉酱；文中指商代传说中的酷刑。	1	...纪》载， 九侯和鄂侯触怒了纣王， 被制成肉酱（醢）和肉干（脯）， 周昌闻讯后“窃叹”（私下...
3	人祭	rén jì	concept	以人作为祭品的祭祀行为。	4	至于用大臣制作肉食， 则应该是后世对商代人祭宗教的一点残留记忆和改编。
4	窞	dàn	rare_word	深坑或坑中更深处；见《易经》“入于坎窞”。	5	初六：习坎， 入于坎窞。
5	牖	yǒu	rare_word	窗户；文中指从窗户向地牢递送酒食。	2	纳约自牖。
6	祗	zhī	rare_word	敬慎；此处见“祗既平”。	2	九五：坎不盈， 祗既平。
7	纆	mò	rare_word	绳索；“徽纆”指捆绑囚犯的绳索。	3	上六：系用徽纆， 置于丛棘， 三岁不得。
8	窖穴	jiào xué	concept	地下储藏坑穴。	2	...是很深的地穴。殷墟考古发现过很多较深的储藏窖穴， 往往宽一米多， 深五六米， 而关押犯人的...
9	屦	jù	rare_word	鞋；“屦校”指脚上戴着木制刑具。	3	初九：屦校， 灭趾， 无咎。
10	胏	zǐ	rare_word	带骨的干肉；见《易经》“噬干胏”。	3	九四：噬干胏得金矢。
11	觌	dí	rare_word	相见；“三岁不觌”指多年不能见到想见的人。	3	初六：臀困于株木， 入于幽谷， 三岁不觌。
12	绂	fú	rare_word	古代祭服或系印的丝带；文中见“朱绂”“赤绂”。	8	九二：困于酒食， 朱绂方来， 利用享祀。
13	刖	yuè	rare_word	古代砍足或断小腿的刑罚。	4	九五：劓刖， 困于赤绂， 乃徐有说， 利用祭祀。
14	藟	lěi	rare_word	藤蔓；“葛藟”在文中指起隔绝作用的荆棘藤蔓。	3	上六：困于葛藟， 于臲卼（nie4wu4）。
15	臲卼	niè wù	rare_word	动摇不安的样子；文中形容囚禁中的惊惶。	3	上六：困于葛藟， 于臲卼（nie4wu4）。
16	逋	bū	rare_word	逃亡；文中指邑人逃离。	2	还可以对照讼卦的九二爻：“不克讼， 归而逋其邑人三百户。
17	眚	shěng	rare_word	灾祸或过失；文中见“无眚”。	1	无眚。
18	矜	jīn	rare_word	夸耀、自负；文中见“矜人臣以能”。	1	矜人臣以能， 高天下以声， 以为皆出己之下。
19	奭	shì	person	召公之名，周初重要贵族与政治人物。	1	...虢叔， 以及长期为周族担任管家的“太保”召公奭家族， 他们足以保持周邦稳定。散宜生等外来...
20	稊	tí	rare_word	杨树新生的嫩芽；见《易经》“枯杨生稊”。	1	比如， 大过卦九二爻曰：“枯杨生稊， 老夫得其女妻。
