order	source_key	term	annotation
1	b1	吕相	晋大夫魏锜之子。
2	b2	昔逮	自从。
3	b3	昏姻	即婚姻。
4	b4	无禄	无福，不幸。
5	b5	即世	去世。
6	b6	韩之师	僖公十五年秦伐晋，战于韩原，秦国俘获晋惠公。
7	b7	躬	亲自。擐(huàn)：穿。
8	b8	疆场	边境。
9	b9	迭	通“轶”，突然侵犯。
10	b10	奸绝	拒绝。
11	b11	费滑	滑国的都城，在今河南偃师附近。
12	b12	殽之师	指僖公三十三年，晋败秦军于殽山一事。
13	b13	康公，我之自出	秦康公为晋献公的女儿所生。
14	b14	蟊贼	此指内奸。
15	b15	令狐之役	指文公七年，秦、晋令狐之战。
16	b16	悛	悔改。
17	b17	河曲	晋地名，在今山西芮城西风陵渡一带。
18	b18	涑川	水名，在今山西西南部。
19	b19	俘	掳掠
20	b20	羁马	晋地名，在今山西永济南。
21	b21	河曲之战	指文公十二年，秦晋两国在河曲一带发生战争，胜负未分。
22	b19x1	王官	晋地名，在今山西闻喜南
23	b22	芟夷	铲除，毁坏。
24	b23	虔刘	杀戮。
