term,pinyin,annotation,type
吕相,lǚ xiàng,晋大夫魏锜之子。,source_note
昔逮,xī dài,自从。,source_note
昏姻,hūn yīn,即婚姻。,source_note
无禄,wú lù,无福，不幸。,source_note
即世,jí shì,去世。,source_note
韩之师,hán zhī shī,僖公十五年秦伐晋，战于韩原，秦国俘获晋惠公。,source_note
躬,gōng,亲自。擐(huàn)：穿。,source_note
疆场,jiāng chǎng,边境。,source_note
迭,dié,通“轶”，突然侵犯。,source_note
奸绝,jiān jué,拒绝。,source_note
费滑,fèi huá,滑国的都城，在今河南偃师附近。,source_note
殽之师,xiáo zhī shī,指僖公三十三年，晋败秦军于殽山一事。,source_note
康公，我之自出,kāng gōng，wǒ zhī zì chū,秦康公为晋献公的女儿所生。,source_note
蟊贼,máo zéi,此指内奸。,source_note
令狐之役,líng hú zhī yì,指文公七年，秦、晋令狐之战。,source_note
悛,quān,悔改。,source_note
河曲,hé qū,晋地名，在今山西芮城西风陵渡一带。,source_note
涑川,sù chuān,水名，在今山西西南部。,source_note
俘,fú,掳掠,source_note
羁马,jī mǎ,晋地名，在今山西永济南。,source_note
河曲之战,hé qū zhī zhàn,指文公十二年，秦晋两国在河曲一带发生战争，胜负未分。,source_note
王官,wáng guān,晋地名，在今山西闻喜南,source_note
芟夷,shān yí,铲除，毁坏。,source_note
虔刘,qián liú,杀戮。,source_note
