term,pinyin,annotation,type
逆,nì,迎击。,source_note
种,zhǒng,即文种，越国大夫。,source_note
申胥,shēn xū,即伍子胥，楚国大夫伍奢之子,source_note
决拾,jué shí,决是射箭用的扳指，拾是射箭用的皮臂衣。,source_note
华登,huá dēng,吴国大夫,source_note
诸稽郢,zhū jī yǐng,越国大夫。,source_note
顿颡,dùn sǎng,即叩头。,source_note
鞭箠,biān chuí,鞭打。,source_note
解,jiě,通“懈”。,source_note
搰,hú,掘出。,source_note
封殖,fēng zhí,培植。,source_note
刈,yì,割除。,source_note
挫,cuò,折断,source_note
烬,jìn,物体燃烧后的剩余,source_note
陲,chuí,边疆,source_note
嫡,dí,奴隶社会、封建社会中的正妻,source_note
晐,gāi,本指日光兼覆，引申为赅备，兼容,source_note
谚,yàn,谚语,source_note
