阅读词表
来源文件：chapter_12/chapter_12_clean.txt
检出条目数：19

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	7	第十二章王后的社交圈游客走进安阳殷墟博物苑（宫殿宗庙区）的大门， 向左转， 能遥遥看...
2	铜钺	tóng yuè	bronze_item	青铜钺，常象征军事权力。	6	...向左转， 能遥遥看到一位女子的大理石像， 手执铜钺， 全身戎装， 站立在自己墓穴的展示厅旁边...
3	妇好	fù hǎo	person	商王武丁配偶，甲骨文中著名女性军事人物。	113	她就是武丁王的夫人妇好。
4	人殉	rén xùn	concept	以人随葬或陪葬的行为。	1	...很多随葬品和骨骸是从泥水中捞出的。共用16人殉葬， 墓穴底部的腰坑埋有一人， 椁内、棺外...
5	铜爵	tóng jué	bronze_item	青铜酒器爵。	1	...斤。至于商人最重视的酒器， 则有铜辄53件， 铜爵40件， 还有各种盉、觥、壶、斗、斝、卣...
6	铜戈	tóng gē	bronze_item	青铜戈，商周常见兵器。	6	部分铜戈体型轻薄， 是专门用以陪葬的低成本兵器。
7	殉人	xùn rén	concept	陪葬或随葬的人。	4	...）， 要小很多， 而且也没有墓道。王陵内发现的殉人动辄过百， 甚至数百（这还是被破坏之后的...
8	妌	jìng	manual	商王武丁夫人妇妌之名用字。	19	有学者据此推测， 它应当是武丁王的另一位王后“妇妌”的墓。
9	肩胛骨	jiān jiǎ gǔ	concept	动物或人的肩部骨骼，常被加工为卜骨。	1	...师为武丁王卜问：妇好能不能受孕生育？似乎牛肩胛骨烫出的裂纹不太理想， 占卜师不太敢写出...
10	盘庚	pán gēng	person	商王名，以迁都殷地著称。	3	据《史记・殷本纪》， 祖丁有四个儿子接连为王， 分别是阳甲、盘庚、小辛和小乙。
11	禦	yù	manual	古字，通“御”；文中见待核甲骨卜辞释文。	1	贞：（异体字）妇好呼（心典， 待查）（禦（御））伐。
12	人祭	rén jì	concept	以人作为祭品的祭祀行为。	2	...， 即用戈或钺等砍下人牲的头颅向神灵献祭， 是人祭中最为常见的杀人牲法， 不过， 现存卜辞并...
13	谧	mì	manual	安静；文中见西晋学者皇甫谧之名。	1	...过， 妇好有个儿子“孝己”曾经出现在西晋皇甫谧的《帝王世纪》：“初， 高宗有贤子孝己， 其...
14	铜镞	tóng zú	bronze_item	青铜箭头。	1	...中， 有两人肩部各扛铜戈一件， 一人的铜戈边有铜镞十枚， 显然， 这二人是墓主的卫士。M...
15	铜斝	tóng jiǎ	bronze_item	青铜斝，古代三足酒器。	1	由此， 这位“子渔”可能和M18墓主有亲戚关系， 所以赠送给她铜尊和铜斝各一件。
16	祭祀坑	jì sì kēng	concept	用于祭祀或埋藏祭品的坑穴。	4	...F31）， 上面没有柱洞等建筑遗迹， 但有多座祭祀坑， 应该是人们祭祀先祖的场地。妇好死后...
17	窖穴	jiào xué	concept	地下储藏坑穴。	2	到殷墟四期， 这里出现了一些窖穴， 发掘报告推测， 它们应该是王宫储存谷物的仓库。
18	族邑	zú yì	concept	以部族为单位聚居形成的城邑或聚落。	1	...很可能是搬走了， 去了稍远的某个地方重新建立族邑。而他们曾经生活过的这块小高地， 则成了...
19	絜	jié	manual	人名用字；文中为学者陈絜，音同“洁”。	2	...宾）〕且（祖）己祭，〔亡尤〕。”17陈絜（洁）：《小屯M18所出朱书玉戈与商人东...
