term,pinyin,annotation,type
符,,兵符。,source_note
岌岌,,危急。,source_note
纾,,解除。,source_note
侯生,,侯赢，信陵君的门客。,source_note
如姬,,魏王的宠妾。她的父亲被人杀害，信陵君为她报了仇。后秦围赵国邯郸，信陵君托她偷出了兵符。,source_note
穰侯,,即魏冉，秦昭襄王母宣太后之弟，他靠着宣太后的力量在秦国专权达二十五年。,source_note
虞卿,,战国时的游说之士，后为赵相。他的朋友魏齐因曾与秦相范雎结仇，范雎为相后向魏国索要魏齐，魏齐逃到赵国，但仍被缉拿。虞卿为了帮助魏齐脱险，抛弃相印，与魏齐一同出走。后魏齐见走投无路而自杀，虞卿也不知去向。,source_note
赘旒,,旗帜上的飘带。比喻虚居其位而无权。,source_note
履霜之渐,,《易经·坤》有“履霜坚冰至”，意思是踩到霜，就知道寒冬要来了。,source_note
原仲,,陈国大夫。他死后，旧友季友私自到秦国将他埋葬，孔子认为这是结党营私的表现。翚(huī)：鲁国大夫。宋、陈等国联合讨伐郑国，也请鲁国出兵，鲁隐公不答应，翚却执意请求，最后私自带兵前去，孔子认为这是目无君长的表现。,source_note
