term,pinyin,type,annotation
殷墟,yīn xū,site_or_culture,晚商都邑遗址，甲骨卜辞的重要出土地。
杀祭,shā jì,concept,以杀牲或杀人作为祭祀的仪式。
城邑,chéng yì,concept,古代有人群聚居、具有一定组织和防御功能的城镇聚落。
二元分立,èr yuán fēn lì,concept,两个系统或集团并列存在、相互分立。
宫殿区,gōng diàn qū,concept,都邑中宫殿和王室活动集中的区域。
偃师商城,yǎn shī shāng chéng,site_or_culture,商代早期城址，位于二里头以东。
下七垣文化,xià qī yuán wén huà,site_or_culture,豫北冀南一带商代早期前后的考古文化。
岳石文化,yuè shí wén huà,site_or_culture,山东地区龙山以后、商代以前的考古文化。
辉卫文化,huī wèi wén huà,site_or_culture,豫北地区与早商前后相关的考古文化。
凝结核,níng jié hé,concept,使不同群体凝聚起来的核心因素。
王朝商族,wáng cháo shāng zú,concept,文中指商王朝整合后形成的更大规模商族共同体。
蚕食,cán shí,rare_word,像蚕吃桑叶一样逐步侵占、吞并。
夯土,hāng tǔ,concept,把土层层夯实形成建筑基础或城墙的技术。
外郭城,wài guō chéng,concept,主城之外附加修筑的外层城垣。
揭竿而起,jiē gān ér qǐ,idiom,举起竹竿作旗帜起义，泛指反抗。
石峁,shí mǎo,site_or_culture,陕北大型史前城址，文中与郑州商城作比较。
族邑,zú yì,concept,以部族为单位聚居形成的城邑或聚落。
差役,chāi yì,concept,受差遣服劳役或执行事务的人。
卜骨,bǔ gǔ,text,用于占卜并刻写文字的兽骨。
占辞,zhān cí,text,占卜时刻写或记录的辞句。
乇,tuō,rare_word,古字，本义多释为草叶或草木萌生出土之形；此处出现在骨刻释文“乇土羊”中。
盘龙城,pán lóng chéng,site_or_culture,湖北武汉附近早商城址，是商朝南方重要据点。
黄陂,huáng pí,place,今武汉市黄陂区，文中涉及盘龙城所在地。
冶铸,yě zhù,concept,冶炼并铸造金属器物。
不敷使用,bù fū shǐ yòng,idiom,不够使用。
紫荆山,zǐ jīng shān,place,郑州地名，文中提到商代铸铜场。
人牲,rén shēng,concept,被用于祭祀的人。
铜镞,tóng zú,bronze_item,青铜箭头。
铜戈,tóng gē,bronze_item,青铜戈，古代横刃长柄兵器。
石范,shí fàn,artifact,用于铸造器物的石制模具。
浮选,fú xuǎn,concept,考古中用水分离土样里的植物种子等细小遗存的方法。
粟,sù,rare_word,古代重要旱作粮食，通常指小米。
黍,shǔ,rare_word,古代旱作粮食作物。
灌浆,guàn jiāng,concept,谷物籽粒形成并充实的生长阶段。
垣曲商城,yuán qū shāng chéng,site_or_culture,山西垣曲早商城址，位于黄河北岸交通要地。
东下冯商城,dōng xià féng shāng chéng,site_or_culture,山西夏县早商城址，文中讨论其仓储区。
西吴壁,xī wú bì,site_or_culture,山西绛县遗址，文中讨论为冶铜地点。
夯土地基,hāng tǔ dì jī,concept,夯土筑成的建筑基础。
柱洞,zhù dòng,concept,考古遗迹中柱子留下的洞穴痕迹。
扇形隔间,shàn xíng gé jiān,concept,被十字形墙基分隔成扇形的小空间。
直辖,zhí xiá,concept,由中心政权直接管辖。
府库,fǔ kù,concept,王朝储藏财物、粮食或物资的仓库系统。
解州盐池,xiè zhōu yán chí,place,山西运城盐池，古代重要食盐资源地。
钠离子,nà lí zǐ,concept,盐类检测指标之一，文中用于讨论仓储区可能存盐。
墙垣,qiáng yuán,rare_word,墙壁、围墙。
容积,róng jī,concept,容器或空间所能容纳的体积。
粮赋,liáng fù,concept,以粮食形式缴纳的赋税。
自然经济,zì rán jīng jì,concept,以自给自足为主的经济形态。
绰绰有余,chuò chuò yǒu yú,idiom,非常宽裕，用不完。
官僚机构,guān liáo jī gòu,concept,负责行政、管理的官员组织体系。
昙花一现,tán huā yī xiàn,idiom,比喻事物短暂出现后很快消失。
