阅读词表
来源文件：chapter_06/chapter_06_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	9	...其分成早、中、晚三期， 人们最熟悉的是晚商（殷墟阶段）。殷墟发掘最早， 有精致的青铜器、...
2	城邑	chéng yì	concept	古代有人群聚居、具有一定组织和防御功能的城镇聚落。	4	...王朝的气象。比如， 它拥有地跨千里的遥远殖民城邑， 有规模庞大到脱离当时人口总量和经济水...
3	偃师商城	yǎn shī shāng chéng	site_or_culture	商代早期城址，位于二里头以东。	20	...两个中心城市：一座是在二里头以东8公里处的偃师商城；另一座是在二里头以东100公里处...
4	宫殿区	gōng diàn qū	concept	都邑中宫殿和王室活动集中的区域。	3	...然繁华了数百年， 但内部一直是二元分立结构：宫殿区和铸铜作坊区长期保持共治， 而且彼此的...
5	辉卫文化	huī wèi wén huà	site_or_culture	豫北地区与早商前后相关的考古文化。	1	...个整体民族。当然， 旧有的下七垣、岳石和辉卫文化依然在各自故地延续着， 它们也许会被...
6	外郭城	wài guō chéng	concept	主城之外附加修筑的外层城垣。	2	...模后， 郑州商城和偃师商城的主城面积（不包括外郭城）分别约为3平方公里和2平方公里。其...
7	夯土	hāng tǔ	concept	把土层层夯实形成建筑基础或城墙的技术。	9	...和2平方公里。其共同点是， 都有宽约10米的夯土城墙， 城内有宫城， 有大型夯土宫殿区， 而...
8	石峁	shí mǎo	site_or_culture	陕北大型史前城址，文中与郑州商城作比较。	2	...地修筑了两座大城。更早的石家河、良渚和石峁古城， 虽然面积接近郑州商城， 但内部有很...
9	乇	tuō	rare_word	古字，本义多释为草叶或草木萌生出土之形；此处出现在骨刻释文“乇土羊”中。	4	又， 乇土羊， 乙丑贞， 比（及）孚， 七月[3]
10	卜骨	bǔ gǔ	text	用于占卜并刻写文字的兽骨。	2	...它的行文风格和殷墟甲骨卜辞很相似， 但这几片卜骨的原物和地层信息已经缺失， 无法判断更精...
11	黄陂	huáng pí	place	今武汉市黄陂区，文中涉及盘龙城所在地。	1	就连上千里外的长江边（今武汉市郊黄陂区）， 都出现了一座繁荣的城堡盘龙城；
12	盘龙城	pán lóng chéng	site_or_culture	湖北武汉附近早商城址，是商朝南方重要据点。	1	就连上千里外的长江边（今武汉市郊黄陂区）， 都出现了一座繁荣的城堡盘龙城；
13	冶铸	yě zhù	concept	冶炼并铸造金属器物。	5	...战同样重要的手段。商人很重视夏朝的青铜冶铸技术， 偃师和郑州商城初建时， 还没来得及...
14	浮选	fú xuǎn	concept	考古中用水分离土样里的植物种子等细小遗存的方法。	2	...陌生， 但他们的农业更为均衡。对郑州商城粮食浮选的一篇统计论文显示， 样本中， 粟、水稻和...
15	粟	sù	rare_word	古代重要旱作粮食，通常指小米。	6	...州商城粮食浮选的一篇统计论文显示， 样本中， 粟、水稻和小麦各有1576粒、191粒和9...
16	垣曲商城	yuán qū shāng chéng	site_or_culture	山西垣曲早商城址，位于黄河北岸交通要地。	3	...， 是沟通豫西和晋南的要塞， 考古学者称其为“垣曲商城”。从垣曲古城继续向西北， 翻越...
17	东下冯商城	dōng xià féng shāng chéng	site_or_culture	山西夏县早商城址，文中讨论其仓储区。	4	...运城盆地， 又出现了一座夯土小城， 这便是夏县东下冯商城。垣曲和东下冯商城都不大， 城墙边...
18	夯土地基	hāng tǔ dì jī	concept	夯土筑成的建筑基础。	2	...的大型仓库建筑：位于城内西南角， 每座建筑的夯土地基皆圆形， 直径10米左右， 中央有柱洞...
19	柱洞	zhù dòng	concept	考古遗迹中柱子留下的洞穴痕迹。	2	...筑的夯土地基皆圆形， 直径10米左右， 中央有柱洞， 十字形夯土墙基把建筑分成四个扇形隔间...
20	容积	róng jī	concept	容器或空间所能容纳的体积。	3	...时的粮储很难装满如此巨大的空间：以单个建筑容积长20米、宽5米、高3米统计， 这二百座...
