阅读词表
来源文件：chapter_11/chapter_11_clean.txt
检出条目数：18

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	16	...更加困难的工作。冷酷而暴力的世界观殷墟虽然出土了十多万片甲骨卜辞， 但它们都是...
2	盘庚	pán gēng	person	商王名，以迁都殷地著称。	8	相对而言，《尚书•盘庚》记载的盘庚王的迁都讲话在这方面有不可替代的价值。
3	妇好	fù hǎo	person	商王武丁配偶，甲骨文中著名女性军事人物。	10	武丁王最倚重夫人妇好， 但她不幸早逝， 于是武丁王占卜询问：“是上帝要娶妇好吗？
4	人祭	rén jì	concept	以人作为祭品的祭祀行为。	6	...首分离的尸骨， 大都是伐祭的遗留。殷商的人祭多用羌人， 可能是为书写方便， 占卜师甚至...
5	戠	zhí	manual	古文字，文中作为“職”的声符并解释为等待、待命。	3	职务的“职”， 甲骨文写作（甲骨文）， 隶定为戠， 繁体的“職”即从此来。
6	彐	jì	manual	汉字部件；另有xuě音，文中用于说明“帚”及“妇”的字形。	1	...好”和“妇井”。“妇”字的部件， 甲骨文写作彐， 一把扫地的笤帚， 即“帚”字， 由此可见商...
7	笤帚	tiáo zhou	manual	扫除尘土的用具，文中用于解释“妇”字相关字形。	2	...。“妇”字的部件， 甲骨文写作彐， 一把扫地的笤帚， 即“帚”字， 由此可见商人默认女性的职...
8	殉人	xùn rén	concept	陪葬或随葬的人。	1	在商代， 有些殉马坑中也有殉人， 有学者因此推论说， 商代已经有了骑马行为和骑兵。
9	斫	zhuó	manual	用刀斧砍削；“轮扁斫轮”出自《庄子》。	1	...夕能发展出来的。战国时期的《庄子》有“轮扁斫轮”的寓言， 说这位工匠制造的车轮可以用于...
10	水牛	shuǐ niú	concept	商人畜牧和祭祀中涉及的家畜。	3	...他们可以接受的足够靠北的地域， 这样， 传统的水牛以及新来的战马均可兼顾。由此， 在殷...
11	台西	tái xī	site_or_culture	河北藁城商代遗址，文中作为商朝北方军事聚落。	2	...战马均可兼顾。由此， 在殷商早期的石家庄台西商人据点发现的那块马骨， 也可以获得解释...
12	灰坑	huī kēng	concept	遗址中含灰土、废弃物或祭祀遗存的坑穴。	1	...以不排除个别马匹有可能病死在这里， 从而变成灰坑中的骨头。殷商阶段， 马车还不太多，...
13	兕	sì	manual	古书所称犀牛一类的大型兽，文中指武丁追猎的野生水牛。	2	武丁王还经常乘马车打猎， 比如“逐兕”， 也就是追猎野生水牛。
14	族邑	zú yì	concept	以部族为单位聚居形成的城邑或聚落。	8	相对而言， 在殷都范围内， 因为人多地少， 族邑很密集。
15	廪	lǐn	manual	粮仓，文中指商王邑中的粮库。	1	王家的邑设有粮库（廪）， 商王时常会派人视察。
16	窖穴	jiào xué	concept	地下储藏坑穴。	2	在甲九宫殿基址旁边的窖穴E181中， 出土收割用的石刀444件；
17	卜骨	bǔ gǔ	artifact	用于占卜的兽骨。	1	...窖穴的埋藏物极多， 除了石刀， 还有大量卜甲、卜骨、小件铜器、大量绿松石块， 以及金箔（原...
18	洹	huán	manual	洹水，即今河南安阳河。	2	...过九世之乱， 当盘庚迁都殷地， 开始建造庞大的洹北商城， 历史似乎要复制早商时代的循环。但...
