term,pinyin,annotation,type
分司,fēn sī,职官名。唐朝于东都洛阳分设略同于京师长安之官府，于此任官者称分司。长庆四年,source_note
《题新居呈王尹兼简府中三掾》,tí xīn jū chéng wáng yǐn jiān jiǎn fǔ zhōng sān yuàn,此诗于宝历元年,source_note
葺,qì,修补房屋。,source_note
羡财,xiàn cái,富余的钱财。,source_note
凭,píng,凭依，依靠,source_note
倩,qiàn,请人做事,source_note
红英,hóng yīng,红花。,source_note
槛,jiàn,"栏杆。槛 jiàn （檻）
〈文〉
①名 关牲畜、野兽的栅栏。
兽槛 | 樊槛
②名 押送犯人的囚笼。
槛车 | 槛送
③名 栏杆；栏板。
槛外长江空自流
另见 kǎn。槛 kǎn （檻）
名 门框下部贴近地面的横木。
门槛
另见 jiàn。",source_note
居闲,jū xián,平居无事。,source_note
郡守,jùn shǒu,郡的行政长官。宋朝以后郡改为府，知府也称郡守。,source_note
州守,zhōu shǒu,白诗原作“川守”，三川守，指河南尹王起,source_note
