term,pinyin,annotation,type
臧文仲,zāng wén zhòng,鲁国大夫。,source_note
展禽,zhǎn qín,鲁国大夫，名获，字禽，又叫柳下惠。,source_note
烈山氏,liè shān shì,即神农氏。,source_note
柱,zhù,在夏代以前已被祀为谷神。,source_note
周弃,zhōu qì,周族的始祖。,source_note
共工氏,gòng gōng shì,上古时代的部落首领。,source_note
黄帝,huáng dì,姬姓，号轩辕氏，中原各族的共同祖先。,source_note
颛顼,zhuān xū,传说中的上古帝王，黄帝之孙。,source_note
帝喾,dì kù | kù,传说中的古代帝王名，即五帝之一的高辛氏,source_note
殛,jí,诛杀。,source_note
契,xiè,传说中商族的始祖，帝喾的儿子。,source_note
冥,míng,传说是契的六世孙，夏代的水官。,source_note
禘、祖、郊、宗,dì、zǔ、jiāo、zōng,古代帝王对祖先的四种祭祀仪式。,source_note
幕,mù,传说是舜的后代。,source_note
杼,zhù,传说是禹的后代，少康的儿子。,source_note
上甲微,shàng jiǎ wēi,契的后代，商汤的六世祖。,source_note
太王,tài wáng,高圉的曾孙，文王的祖父。,source_note
三辰,sān chén,指日、月、星,source_note
兹,zī,年。,source_note
信,xìn,确实。,source_note
捍,hàn,抵御,source_note
稷,jì,稷谷,source_note
尧,yáo,高,source_note
舜,shùn,一种蔓,source_note
鲧,gǔn,鱼名,source_note
顼,xū,姓,source_note
喾,kù,传说中的古代帝王名，即五帝之一的高辛氏,source_note
圉,yǔ,圉，囹圉，所以拘罪人也,source_note
