阅读词表
来源文件：chapter_13/chapter_13_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	窖穴	jiào xué	concept	地下储藏坑穴。	3	...今花园庄东侧的农田里， 发掘出一座填满甲骨的窖穴， 编号H3。[1] 这些甲骨...
2	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	15	...建筑也被发掘出土。王族学生的训练课殷墟出土的甲骨卜辞绝大多数属于商王， 很少记...
3	铜钺	tóng yuè	bronze_item	青铜钺，常象征军事权力。	2	...“万”， 各位队员就是“多万”。为避免在操练铜钺的万舞中伤亡，“子”或其他人可能都曾占...
4	汭	ruì	manual	河流汇合或弯曲处；文中解释殷都大学所在地“入”的可能含义。	1	不过， 它可能还有“汭”之意， 即水滨。
5	羽箭	yǔ jiàn	artifact	带尾羽的箭。	2	而在甲骨文中，（异体字， 宝盖+束）字的造型， 上面是屋顶， 下面是捆束起来的羽箭。
6	盘庚	pán gēng	person	商王名，以迁都殷地著称。	7	...庙， 很可能， 里面还供奉着小乙王的两位兄弟（盘庚王和小辛王）的灵位。花园庄东地的那位“...
7	祭祀坑	jì sì kēng	concept	用于祭祀或埋藏祭品的坑穴。	10	丁一有一系列朝南的门， 门的两侧皆挖有祭祀坑， 共十座， 发掘者用墓葬M编号。
8	箭镞	jiàn zú	artifact	箭头，文中有青铜、石骨材质。	9	...比较特殊的现象是， 有一半的祭祀坑发现骨制的箭镞， 其中两坑分别埋有一枚和三枚， 另两坑则...
9	铜镞	tóng zú	bronze_item	青铜箭头。	3	商朝王室和“大学”不会缺乏青铜箭镞， 但为何不对人牲使用铜镞呢？
10	銎	qióng	manual	斧、锄等器具安柄的孔；文中见“管銎斧”。	5	...是商式风格， 而是燕山以北草原地带流行的“管銎斧”：顶端铸造出圆管形的銎， 銎管上还有一...
11	人祭	rén jì	concept	以人作为祭品的祭祀行为。	2	...有处理， 或者只有具有特殊纪念意义的才会被葬人祭祀坑。“子”的贵族人生在“子”...
12	鬯	chàng	manual	古代祭祀用的香酒。	1	...工作是向先祖先妣献祭。多数是用猪牛羊和酒（鬯）， 也有少数是用人， 如为了祭祀祖庚和祖辛...
13	妇好	fù hǎo	person	商王武丁配偶，甲骨文中著名女性军事人物。	11	“子”和武丁的夫人妇好关系密切， 他们应当是亲属， 后来成为妇好的侍卫官。
14	卜骨	bǔ gǔ	artifact	用于占卜的兽骨。	1	其中， 有龟甲一千五百多片， 刻辞的五百多片， 还有少量卜骨。
15	殉人	xùn rén	concept	陪葬或随葬的人。	6	由于从来没被盗墓贼光顾过， 大量随葬器物和殉人还保持着下葬时的布局。
16	夯筑	hāng zhù	concept	用夯打方式筑成墙体或台基。	3	...渐扩大， 深约6米。墓底四壁有高约1.8米的夯筑二层台， 中央是黑漆木板搭成的椁室， 里面...
17	二层台	èr céng tái	concept	墓室内用于放置随葬品或殉人的台阶状结构。	10	...大， 深约6米。墓底四壁有高约1.8米的夯筑二层台， 中央是黑漆木板搭成的椁室， 里面放着...
18	跽	jì	manual	长跪，臀部离开脚跟而挺身；文中见“跽坐”。	1	...略有女性特征， 俯身直肢而卧， 右脚掌骨有长期跽坐（臀部坐在脚上）形成的磨痕。这是上古人...
19	铜戈	tóng gē	bronze_item	青铜戈，商周常见兵器。	1	...有些木棍刷红或黑色漆。发掘者推测， 这是部分铜戈和铜矛的木柄， 因为太长难以放进椁室， 就...
20	禳	ráng	manual	祭祷消除灾祸；文中见“禳解”。	1	可能是因为墓主死于兵灾， 颇不吉利， 所以用这种方式来禳解。
