阅读词表
来源文件：chapter_10/chapter_10_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	人祭	rén jì	concept	以人作为祭品的祭祀行为。	22	第十章殷都王室的人祭
2	盘庚	pán gēng	person	商王名，以迁都殷地著称。	44	直到从第十九王盘庚迁都殷地， 这才算走出中商的低迷。
3	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	34	...， 约两个半世纪， 因此学界也称之为“晚商”。殷墟考古比较丰富， 出土有大量的商王占卜刻字...
4	族邑	zú yì	concept	以部族为单位聚居形成的城邑或聚落。	6	...占卜刻字甲骨， 发掘了王宫、王陵和多处商人的族邑及墓地， 有属于王族的， 也有普通商人族邑...
5	朕	zhèn	text	古文第一人称代词，后世专作皇帝自称。	7	...给你们降下惩罚， 他们会说：“为什么敢不服从朕的幼孙！”一旦先王们不开心， 从天上惩罚你...
6	丕	pī	text	古书常见虚词或副词，有“大”等义。	4	……先后丕降与汝罪疾日：“曷不暨朕幼孙有比！
7	汝	rǔ	text	古文第二人称代词，你、你们。	15	……先后丕降与汝罪疾日：“曷不暨朕幼孙有比！
8	乃	nǎi	text	古文代词或连词，文中多作你们的、于是等义。	21	古我先后， 既劳乃祖乃父， 汝共作我畜民。
9	高祖	gāo zǔ	person_or_deity	商人祭祀体系中的远祖称谓。	6	'这并不是我的意思， 而是上帝要回报我家高祖的好心， 帮我家振兴起来。
10	奠基	diàn jī	concept	建筑开始时的基础工程或相关仪式。	7	...会落到所有商人身上。宫殿正室内有埋狗的奠基坑， 有多座台阶通往庭院， 且多数台阶东侧...
11	祭祀坑	jì sì kēng	concept	用于祭祀或埋藏祭品的坑穴。	37	...内人的特征。其他的房屋和门房旁边也有奠基或祭祀坑， 坑内主要是羊， 或者是空坑， 发掘者推...
12	殉人	xùn rén	concept	陪葬或随葬的人。	14	它的祭祀坑内没有发现殉人。
13	墓道	mù dào	concept	大墓中通往墓穴的斜坡或通道。	17	...作就会变得很困难， 为此， 需要建造缓坡形的“墓道”以方便进出。王陵区的大墓中， 四墓道的...
14	椁室	guǒ shì	artifact	墓葬中放置棺木的木构外室。	10	...后在墓穴底部挖出方形的墓室， 里面用木料搭建椁室， 犹如一座木房子。椁木往往雕花， 刷红漆...
15	二层台	èr céng tái	concept	墓室内用于放置随葬品或殉人的台阶状结构。	7	...墓主入葬后， 椁室顶部会盖上木料， 接着在墓穴二层台继续放置随葬品和殉人， 然后填土， 逐层...
16	【它攴】	读音待考	manual	《翦商》用部件组合表示的未编码甲骨文字形；指一种肢解祭法。读音尚未可靠核定，不与“𢻫”混同。	1	甲骨卜辞中有【它攴】〔待核：未编码甲骨文字形；
17	嵗	suì	manual	“岁”的异体字，文中用于祭名；经手工校订确认保留。	1	...祀。[20] 此外， 还有“岁”（嵗）祭， 甲骨文字形是用斧钺剁开肉块， 也是一...
18	【奚戌】	xī	manual	无法用现有字符准确录入的古文字占位写法；文中指以钺砍首的杀祭字形，经手工校订确认保留。	4	这种杀祭方式在甲骨文中有专门的字， 除了“伐”， 还有一个字：【奚戌】（xī；
19	髋骨	kuān gǔ	rare_word	骨盆两侧的骨，文中指用于占卜的人体髋骨。	5	附录一：人髋骨占卜
20	铜甗	tóng yǎn	bronze_item	青铜甗，古代蒸食器。	5	...， 顺序摆放成年人头骨14枚， 其中一枚盛放在铜甗（蒸锅）内， 铜甗是躺倒的， 局部被压扁，...
