term,pinyin,type,annotation
【它攴】,读音待考,manual,《翦商》用部件组合表示的未编码甲骨文字形；指一种肢解祭法。读音尚未可靠核定，不与“𢻫”混同。
髋骨,kuān gǔ,rare_word,骨盆两侧的骨，文中指用于占卜的人体髋骨。
妇妌,fù jìng,person,武丁王的一位夫人，文中认为M260可能是其墓葬；妌读第四声jìng（ㄐㄧㄥˋ），传统反切为“疾政切”。
嵗,suì,manual,“岁”的异体字，文中用于祭名；经手工校订确认保留。
台西,tái xī,site_or_culture,河北藁城商代遗址，文中作为商朝北方军事聚落。
藁城,gǎo chéng,place,今河北石家庄藁城区，台西遗址所在地。
麋鹿,mí lù,rare_word,生活于湿地的鹿科动物。
芦苇荡,lú wěi dàng,rare_word,大片芦苇生长的水边湿地。
草莽,cǎo mǎng,rare_word,荒草丛生之地，也可指边远荒野。
半地穴式,bàn dì xué shì,concept,部分低于地面的房屋形式。
窖穴,jiào xué,concept,地下储藏坑穴。
陶鬲,táo lì,artifact,三足陶炊器。
盘庚,pán gēng,person,商王名，以迁都殷地著称。
北土,běi tǔ,place,文中指商朝北方边地。
基槽,jī cáo,concept,建筑墙基开挖的沟槽。
夯筑,hāng zhù,concept,用夯打方式筑成墙体或台基。
土坯,tǔ pī,artifact,未经烧制或低温处理的泥土砖块。
椽子,chuán zi,artifact,屋顶承托瓦草等材料的木构件。
奠基,diàn jī,concept,建筑开始时的基础工程或相关仪式。
人奠基,rén diàn jī,concept,建筑奠基时以人作为牺牲的行为。
祭祀坑,jì sì kēng,concept,用于祭祀或埋藏祭品的坑穴。
人祭,rén jì,concept,以人作为祭品的祭祀行为。
人殉,rén xùn,concept,以人随葬或陪葬的行为。
敞厦,chǎng shà,artifact,一面或多面敞开的房屋空间。
门楼,mén lóu,artifact,门上或门前的楼式建筑结构。
殉人,xùn rén,concept,陪葬或随葬的人。
腰坑殉狗,yāo kēng xùn gǒu,concept,墓穴腰部小坑中埋狗的商人葬俗。
二层台,èr céng tái,concept,墓室内用于放置随葬品或殉人的台阶状结构。
铜戟,tóng jǐ,bronze_item,青铜戟，戈与矛结合的兵器。
铜钺,tóng yuè,bronze_item,青铜钺，常象征军事权力。
铜戈,tóng gē,bronze_item,青铜戈，商周常见兵器。
石钺,shí yuè,artifact,石制钺，文中多作象征性随葬品。
卜骨,bǔ gǔ,artifact,用于占卜的兽骨。
肩胛骨,jiān jiǎ gǔ,concept,动物或人的肩部骨骼，常被加工为卜骨。
巫医,wū yī,concept,兼具巫术占卜和治疗职能的人。
石砭镰,shí biān lián,artifact,石制砭镰，文中推测为医用手术刀。
獠牙,liáo yá,rare_word,外露的长牙，文中形容铜钺纹饰。
刖,yuè,rare_word,古代砍足或断小腿的刑罚。
刖刑,yuè xíng,concept,砍足或断小腿的刑罚。
殷墟,yīn xū,site_or_culture,晚商都邑遗址，甲骨卜辞的重要出土地。
妇好,fù hǎo,person,商王武丁配偶，甲骨文中著名女性军事人物。
皱纹绢,zhòu wén juàn,artifact,带皱纹效果的丝织品。
铜爵,tóng jué,bronze_item,青铜酒器爵。
铜觚,tóng gū,bronze_item,青铜觚，古代饮酒器。
铜斝,tóng jiǎ,bronze_item,青铜斝，古代三足酒器。
铜镞,tóng zú,bronze_item,青铜箭头。
箭镞,jiàn zú,artifact,箭头，文中有青铜、石骨材质。
羽箭,yǔ jiàn,artifact,带尾羽的箭。
公共伙房,gōng gòng huǒ fáng,concept,供集体烹饪或酿酒的房屋。
草木樨,cǎo mù xī,rare_word,豆科植物，文中作为植物遗存。
水牛,shuǐ niú,concept,商人畜牧和祭祀中涉及的家畜。
三牲,sān shēng,concept,猪、牛、羊等祭祀牲畜组合。
陨铁,yǔn tiě,concept,来自陨石的铁。
熟铁,shú tiě,concept,含碳量较低、可锻造的铁。
铜瓿,tóng bù,bronze_item,青铜瓿，古代盛酒、水或酱料的器皿。
冶铁,yě tiě,concept,从铁矿石中冶炼铁的技术。
锻铁,duàn tiě,concept,锻打铁料或铁器的技术。
胫骨,jìng gǔ,concept,小腿内侧长骨。
族邑,zú yì,concept,以部族为单位聚居形成的城邑或聚落。
张营,zhāng yíng,site_or_culture,北京昌平商代遗址，文中涉及食人遗存。
瘪裆,biě dāng,rare_word,陶鬲等器物裆部低瘪的形态描述。
铸铜范,zhù tóng fàn,artifact,铸造铜器所用的范模。
石锛,shí bēn,artifact,石制锛，常见新石器和青铜时代木工工具。
铜锡合金,tóng xī hé jīn,concept,铜和锡组成的青铜合金。
骨锥,gǔ zhuī,artifact,用骨头制成的尖锥形工具。
敲骨吸髓,qiāo gǔ xī suǐ,concept,敲碎骨头吸食骨髓的行为。
灰坑,huī kēng,concept,遗址中含灰土、废弃物或祭祀遗存的坑穴。
商式陶器,shāng shì táo qì,artifact,具有商文化风格的陶器。
尚书,shàng shū,text,儒家经典之一，文中引用《盘庚》篇。
盘庚,pán gēng,person,商王名，以迁都殷地著称。
先后,xiān hòu,text,《盘庚》引文中指已故先王。
丕,pī,text,古书常见虚词或副词，有“大”等义。
汝,rǔ,text,古文第二人称代词，你、你们。
曷,hé,text,古文疑问词，为什么、何。
暨,jì,text,古文连词或动词，有与、及、到等义。
朕,zhèn,text,古文第一人称代词，后世专作皇帝自称。
罔,wǎng,text,古文否定词，无、不。
迪,dí,text,古文动词，有行、进用、遵循等义。
乃,nǎi,text,古文代词或连词，文中多作你们的、于是等义。
戕,qiāng,text,古文动词，伤害、残害。
绥,suí,text,古文动词，安抚、安定。
钦念,qīn niàn,text,古文词组，敬慎思虑。
忱,chén,text,诚心、真实心意。
胥,xū,text,古文副词或代词，有相互、皆等义。
猷,yóu,text,计谋、谋划，也可作道理。
殄灭,tiǎn miè,text,灭绝、消灭。
俾,bǐ,text,古文动词，使、让。
肆,sì,text,古文连词，于是、所以。
笃敬,dǔ jìng,text,诚笃恭敬。
王亥,wáng hài,person,商族先公，文中作为“高祖”的可能所指。
高祖,gāo zǔ,person_or_deity,商人祭祀体系中的远祖称谓。
先妣,xiān bǐ,person_or_deity,已故女性祖先。
契,xiè,person,商族传说中的始祖。
燎祭,liáo jì,concept,焚烧祭品以祭祀神灵的方式。
牲祭坑,shēng jì kēng,concept,埋葬动物牺牲的祭祀坑。
伐,fá,text,甲骨卜辞中常见的砍头献祭方式名称。
【奚戌】,xī,manual,无法用现有字符准确录入的古文字占位写法；文中指以钺砍首的杀祭字形，经手工校订确认保留。
岁祭,suì jì,concept,甲骨卜辞中与肢解献祭相关的祭祀方式。
沉祭,chén jì,concept,把祭品投入河水以祭祀河神的方式。
下颌骨,xià hé gǔ,concept,下颚骨，斩首痕迹常见部位。
上颌骨,shàng hé gǔ,concept,上颚骨，文中用于描述斩首痕迹。
颈椎骨,jǐng zhuī gǔ,concept,颈部椎骨，文中用于判断斩首方式。
斧钺,fǔ yuè,artifact,斧与钺，文中用于描述砍首祭祀的器具。
铜箧,tóng qiè,bronze_item,青铜箧，文中为王陵殉人随葬铜器。
铜鼎,tóng dǐng,bronze_item,青铜鼎，礼器或炊器。
铜甗,tóng yǎn,bronze_item,青铜甗，古代蒸食器。
椁室,guǒ shì,artifact,墓葬中放置棺木的木构外室。
墓道,mù dào,concept,大墓中通往墓穴的斜坡或通道。
四墓道,sì mù dào,concept,王陵中四条墓道的墓葬形制。
瘳,chōu,text,古文词，病愈、消除，文中见“曷瘳”。
宄,guǐ,text,古文词，内乱或作恶之人，文中见“奸宄”。
劓,yì,text,古代割鼻刑，文中对应盘庚威胁中的刑罚。
