order	source_key	term	annotation
1	b1	滥	下网捕鱼
2	b2	里革	鲁大夫。罟(ɡǔ)：渔网。
3	b3	土蛰	在地下冬眠的动物。
4	b4	水虞	掌管水产及有关政令的官。罛(ɡū)：大鱼网。罶(liǔ)：捕鱼的竹篓子。
5	b5	登	通“得”，求取。
6	b6	寝庙	宗庙，也特指宗庙中藏祖先衣冠的后殿。
7	b7	兽虞	掌管鸟兽及有关政令的官。罝(jū)：捉兔子的网。罗：捕鸟的网。
8	b8	矠	用叉矛刺取。
9	b9	罝	小鱼网。
10	b10	鄂	捕兽器。
11	b11	槎	用刀斧砍斫。蘖(niè)：树木经砍伐后再生的新枝。
12	b12	鲲	鱼苗。鲕(ér)：鱼子。
13	b13	麑	小鹿。?(yǎo)：小骆驼。
14	b14	鷇	初生的小鸟。
15	b15	蚳	蚁的幼虫。蝝(yuán)：蝗的幼虫。
16	b16	艺	限度。
17	b1x1	泗	泗水，在今山东境内
18	il_罟	罟	网
19	il_槁	槁	草木枯干
20	il_阱	阱	陷阱，为捕捉野兽的坑
21	il_蘖	蘖	被砍去或倒下的树木再生的枝芽
22	il_鲕	鲕	鱼苗，小
23	il_蝝	蝝	未生翅的幼蝗
24	il_谂	谂	规谏
