term,pinyin,type,annotation
台西,tái xī,site_or_culture,河北藁城商代遗址，文中作为商朝北方军事聚落。
藁城,gǎo chéng,place,今河北石家庄藁城区，台西遗址所在地。
麋鹿,mí lù,rare_word,生活于湿地的鹿科动物。
芦苇荡,lú wěi dàng,rare_word,大片芦苇生长的水边湿地。
草莽,cǎo mǎng,rare_word,荒草丛生之地，也可指边远荒野。
半地穴式,bàn dì xué shì,concept,部分低于地面的房屋形式。
窖穴,jiào xué,concept,地下储藏坑穴。
陶鬲,táo lì,artifact,三足陶炊器。
盘庚,pán gēng,person,商王名，以迁都殷地著称。
北土,běi tǔ,place,文中指商朝北方边地。
基槽,jī cáo,concept,建筑墙基开挖的沟槽。
夯筑,hāng zhù,concept,用夯打方式筑成墙体或台基。
土坯,tǔ pī,artifact,未经烧制或低温处理的泥土砖块。
椽子,chuán zi,artifact,屋顶承托瓦草等材料的木构件。
奠基,diàn jī,concept,建筑开始时的基础工程或相关仪式。
人奠基,rén diàn jī,concept,建筑奠基时以人作为牺牲的行为。
祭祀坑,jì sì kēng,concept,用于祭祀或埋藏祭品的坑穴。
人祭,rén jì,concept,以人作为祭品的祭祀行为。
人殉,rén xùn,concept,以人随葬或陪葬的行为。
敞厦,chǎng shà,artifact,一面或多面敞开的房屋空间。
门楼,mén lóu,artifact,门上或门前的楼式建筑结构。
殉人,xùn rén,concept,陪葬或随葬的人。
腰坑殉狗,yāo kēng xùn gǒu,concept,墓穴腰部小坑中埋狗的商人葬俗。
二层台,èr céng tái,concept,墓室内用于放置随葬品或殉人的台阶状结构。
铜戟,tóng jǐ,bronze_item,青铜戟，戈与矛结合的兵器。
铜钺,tóng yuè,bronze_item,青铜钺，常象征军事权力。
铜戈,tóng gē,bronze_item,青铜戈，商周常见兵器。
石钺,shí yuè,artifact,石制钺，文中多作象征性随葬品。
卜骨,bǔ gǔ,artifact,用于占卜的兽骨。
肩胛骨,jiān jiǎ gǔ,concept,动物或人的肩部骨骼，常被加工为卜骨。
巫医,wū yī,concept,兼具巫术占卜和治疗职能的人。
石砭镰,shí biān lián,artifact,石制砭镰，文中推测为医用手术刀。
獠牙,liáo yá,rare_word,外露的长牙，文中形容铜钺纹饰。
刖,yuè,rare_word,古代砍足或断小腿的刑罚。
刖刑,yuè xíng,concept,砍足或断小腿的刑罚。
殷墟,yīn xū,site_or_culture,晚商都邑遗址，甲骨卜辞的重要出土地。
妇好,fù hǎo,person,商王武丁配偶，甲骨文中著名女性军事人物。
皱纹绢,zhòu wén juàn,artifact,带皱纹效果的丝织品。
铜爵,tóng jué,bronze_item,青铜酒器爵。
铜觚,tóng gū,bronze_item,青铜觚，古代饮酒器。
铜斝,tóng jiǎ,bronze_item,青铜斝，古代三足酒器。
铜镞,tóng zú,bronze_item,青铜箭头。
