阅读词表
来源文件：chapter_16/chapter_16_clean.txt
检出条目数：34

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	瓜瓞	guā dié	manual	绵延生长的大小瓜；《绵》以瓜蔓比喻周族繁衍。	1	绵绵瓜瓞， 民之初生， 自土沮漆。
2	水浒	shuǐ hǔ	manual	水边；《绵》“率西水浒”中的古义。	1	率西水浒， 至于岐下。
3	爰	yuán	manual	于是、就；《绵》中多次使用的古代虚词。	6	爰及姜女， 聿来胥宇。
4	聿	yù	manual	于是、遂；《绵》“聿来胥宇”中的虚词。	1	爰及姜女， 聿来胥宇。
5	胥宇	xū yǔ	manual	察看可供居住的地方。	1	爰及姜女， 聿来胥宇。
6	膴膴	wǔ wǔ	manual	土地肥美的样子。	2	周原膴膴， 堇荼如饴。
7	堇荼	jǐn tú	manual	堇菜和苦菜；《绵》用来表现周原土地肥美。	2	周原膴膴， 堇荼如饴。
8	饴	yí	manual	麦芽糖；“堇荼如饴”形容苦菜也甜美。	2	周原膴膴， 堇荼如饴。
9	廼	nǎi	manual	同“乃”；《绵》中的古字写法。	11	廼慰廼止， 廼左廼右， 廼疆廼理， 廼宣廼亩。
10	徂	cú	manual	往、到；“自西徂东”即从西向东。	1	自西徂东， 周爰执事。
11	俾	bǐ	manual	使、让。	1	乃召司空， 乃召司徒， 俾立室家。
12	捄	jū	manual	聚集泥土；见《绵》“捄之陾陾”。	2	捄之陾陾， 度之薨薨， 筑之登登， 削屡冯冯。
13	陾陾	réng réng	manual	众多的样子；此处形容筑墙时聚土。	2	捄之陾陾， 度之薨薨， 筑之登登， 削屡冯冯。
14	薨薨	hōng hōng	manual	众人劳作或筑墙发出的声音。	2	捄之陾陾， 度之薨薨， 筑之登登， 削屡冯冯。
15	冯冯	píng píng	manual	墙体坚实或劳作声盛大的样子。	2	捄之陾陾， 度之薨薨， 筑之登登， 削屡冯冯。
16	鼛	gāo	manual	古代用于役事的大鼓。	2	百堵皆兴， 鼛鼓弗胜。
17	皋门	gāo mén	manual	古代王宫或城郭的外门。	3	廼立皋门， 皋门有伉。
18	伉	kàng	manual	高大；“皋门有伉”形容门高大。	1	廼立皋门， 皋门有伉。
19	将将	qiāng qiāng	manual	庄严盛大的样子。	1	廼立应门， 应门将将。
20	冢土	zhǒng tǔ	manual	大社；古代祭祀土地神的场所。	1	廼立冢土， 戎丑攸行。
21	殄	tiǎn	manual	消灭、断绝。	1	肆不殄厥愠， 亦不陨厥问。
22	愠	yùn	manual	怨恨。	1	肆不殄厥愠， 亦不陨厥问。
23	柞棫	zuò yù	manual	柞树和棫树。	1	柞棫拔矣， 行道兑矣。
24	駾	tuì	manual	迅速奔逃。	1	混夷駾矣， 维其喙矣！
25	喙	huì	manual	疲困喘息的样子。	1	混夷駾矣， 维其喙矣！
26	蹶	guì	manual	使动、改变；“文王蹶厥生”指文王改变其争端状态。	1	虞芮质厥成， 文王蹶厥生。
27	菑	zī	manual	直立的枯树；《皇矣》中指尚未清除的死树。	1	作之屏之， 其菑其翳。
28	翳	yì	manual	倒伏或遮蔽的树木。	2	作之屏之， 其菑其翳。
29	栵	lì	manual	成行生长的树木。	1	修之平之， 其灌其栵。
30	柽	chēng	manual	柽柳。	1	启之辟之， 其柽其椐。
31	椐	jū	manual	古代树名；一说即灵寿木。	1	启之辟之， 其柽其椐。
32	檿	yǎn	manual	山桑。	1	攘之剔之， 其檿其柘。
33	柘	zhè	manual	柘树。	1	攘之剔之， 其檿其柘。
34	閟	bì	manual	幽深、神秘；《诗经·鲁颂》篇名《閟宫》中的用字。	2	（《诗经•鲁颂•閟宫》）
