order	source_key	term	annotation
1	p2	开成	唐文宗李昂年号（836—840）。
2	p3	河南	初指黄河以南地区，古豫州。唐代有河南府（治今河南洛阳），属都畿道
3	p4	留守	官名。古时皇帝巡幸或出征，以亲王、重臣镇守京师，称留守。唐代以洛阳为东都，置留守
4	p5	太子少傅	东宫官名。太子太傅之副职。
5	p6	太子宾客	官名。唐代始置，为东宫属官，掌调护、侍从、规谏等职。刘禹锡（772—842）：字梦得，洛阳（今属河南）人。唐德宗贞元九年
6	p7	中书舍人	官名。唐时掌管诏令、侍从、宣旨、接纳上奏文表等事。
7	p8	十二韵	指白居易《三月三日祓禊洛滨》。
8	p9	上巳	汉代以前，定三月上旬巳日为上巳节，有修禊之俗。魏晋以后，这一祭礼固定于三月三日，用以祓除疾病和不祥，称为“春禊”。
9	p10	《裴公传》	指《旧唐书·裴度列传》。
10	p11	东都	隋唐实行两都制，长安为西京，洛阳为东都。
11	p12	文宗	唐文宗李昂
12	p13	薨	诸侯之死。后世也指显爵高官之死。
13	p14	《新史》	指《新唐书·裴度列传》。
14	p15	《宰相表》	指《新唐书·宰相世系表》，按，《旧唐书》无表
15	p16	帝纪	指《新唐书》诸帝本纪。按，裴度一生，历经唐代宗、德宗、顺宗、宪宗、穆宗、敬宗、文宗七朝。
16	p17	《旧史》	指《旧唐书》。
17	p3x1	尹	府尹，一府最高行政长官
18	p3x2	李待价	即李珏（784—853），字待价，淮阴（今属江苏）人
19	p6x1	刘禹锡	字梦得，洛阳（今属河南）人
20	p12x1	曲江	曲江池
21	p15x1	中书令	官名
