阅读词表
来源文件：chapter_09/chapter_09_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	台西	tái xī	site_or_culture	河北藁城商代遗址，文中作为商朝北方军事聚落。	46	第九章3300年前的军营：台西
2	麋鹿	mí lù	rare_word	生活于湿地的鹿科动物。	3	麋鹿在浅水草滩觅食， 一旦受到惊吓， 便会迅速藏身到芦苇荡中。
3	北土	běi tǔ	place	文中指商朝北方边地。	3	...北方的防御， 于是， 一批批商人部族从殷都迁往北土， 沿着太行山建立军事聚落。来到石家...
4	夯筑	hāng zhù	concept	用夯打方式筑成墙体或台基。	4	...出新居墙壁的轮廓， 接着平整土地， 开挖基槽， 夯筑起半米多厚的土墙， 墙体用土坯垒砌， 高2...
5	奠基	diàn jī	concept	建筑开始时的基础工程或相关仪式。	4	显然， 这是给新房奠基的巫术， 用幼儿向土地之神献祭， 以保佑家宅平安。
6	祭祀坑	jì sì kēng	concept	用于祭祀或埋藏祭品的坑穴。	6	...安。献祭的死者不止幼儿， 朝东的屋前还有四座祭祀坑， 其中三座各埋入一只猪、牛、羊， 第四...
7	人祭	rén jì	concept	以人作为祭品的祭祀行为。	4	在其他的商代遗址中， 人祭和人奠基很常见， 但都没有发现房屋上悬挂人头的。
8	敞厦	chǎng shà	artifact	一面或多面敞开的房屋空间。	3	...看，F2可能是座神庙：北屋有一面没有墙， 是敞厦， 适合安放某些被崇拜和献祭之物；有一面...
9	殉人	xùn rén	concept	陪葬或随葬的人。	7	有11座使用了殉人， 殉二人的有两座， 其余的殉一人， 共殉13人。
10	二层台	èr céng tái	concept	墓室内用于放置随葬品或殉人的台阶状结构。	5	这座墓穴比较简单， 没有二层台和殉人， 只在腰坑殉了一条狗。
11	陶鬲	táo lì	artifact	三足陶炊器。	6	...部和胸部的骨骼大都腐朽。随葬的用具只有一只陶鬲， 其他都是兵器：铜镞四枚， 铜匕首、铜凿...
12	铜镞	tóng zú	bronze_item	青铜箭头。	6	...朽。随葬的用具只有一只陶鬲， 其他都是兵器：铜镞四枚， 铜匕首、铜凿、铜戈和铜戟（矛和戈...
13	铜戈	tóng gē	bronze_item	青铜戈，商周常见兵器。	4	...鬲， 其他都是兵器：铜镞四枚， 铜匕首、铜凿、铜戈和铜戟（矛和戈的合体）各一件。难得...
14	铜钺	tóng yuè	bronze_item	青铜钺，常象征军事权力。	13	...17的墓主属于贵族统治阶层， 父亲可能是拥有铜钺的军事头领， 但这位墓主青年早逝， 还没来...
15	刖	yuè	rare_word	古代砍足或断小腿的刑罚。	3	...乎生前就已经残疾。在甲骨文中， 砍掉小腿是“刖”：对那些有可能逃跑的奴隶， 砍掉小腿是最...
16	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	3	...砍掉小腿是最好的预防手段， 但死亡率也高。据殷墟卜辞， 商王会一次对多名奴隶（仆）实施刖...
17	箭镞	jiàn zú	artifact	箭头，文中有青铜、石骨材质。	5	台西出土箭镞及复原图（图）
18	水牛	shuǐ niú	concept	商人畜牧和祭祀中涉及的家畜。	7	...前文所述， 在商族人崛起和建立商朝的过程中， 水牛一直伴随着他们， 甚至当青铜武士来到遥远...
19	张营	zhāng yíng	site_or_culture	北京昌平商代遗址，文中涉及食人遗存。	17	在燕山南麓， 有一个经常吃人的聚落， 这便是今北京昌平区的张营遗址。
20	灰坑	huī kēng	concept	遗址中含灰土、废弃物或祭祀遗存的坑穴。	4	...仍处在部落生活阶段。截至目前， 发掘122座灰坑（垃圾坑）， 其中， 有12座埋有零碎的和...
