阅读词表
来源文件：chapter_18/chapter_18_clean.txt
检出条目数：13

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	6	如殷墟甲骨占卜辞：“贞：我用罔孚？
2	羝	dī	rare_word	公羊；《大壮》卦中以羝羊比喻羌人。	5	...关于捕猎俘虏的， 而且爻辞中多次出现了公羊（羝）被捕获和逃脱的场景。大壮：利贞。...
3	羸	léi	rare_word	缠绕、牵制；此处指羊角被篱笆绊住。	4	羝羊触藩， 羸其角。
4	輹	fù	artifact	古代车舆构件，垫在车箱与车轴之间以承载车箱。	2	藩决不羸， 壮于大舆之輹。
5	人祭	rén jì	concept	以人作为祭品的祭祀行为。	4	从龙山时代到殷墟的各种人祭坑， 常见有绑起双腿活埋的尸骨， 可能也属于“交”。
6	夬	guài	text	《易经》卦名。	2	另， 夬卦九四爻也有“臀无肤， 其行次且“， 看来这种情况很常见。
7	屮	chè	rare_word	草木初生的象形字；此处保留甲骨释文字形。	2	王占〔曰〕……屮（又）二日癸酉……十羌系……十丙屮（又）……（图）
8	邅	zhān	rare_word	行走艰难、徘徊不前。	1	屯如、邅如， 乘马班如， 匪寇， 婚媾。
9	窖穴	jiào xué	concept	地下储藏坑穴。	1	...H11：3放大后的照片（图）在文王大宅窖穴里挖出的甲骨上， 刻写着三行细如蚊足的微...
10	斿	yóu	rare_word	旌旗上飘垂的带子；此处作地名用字，另可读 liú。	1	”接着， 周昌又在名“斿尔”的地方占卜：“让南宫邰负责吧？
11	阕	què	rare_word	乐曲终止或乐曲遍数，此处见“乐三阕”。	1	乐三阕， 然后出迎牲， 声音之号， 所以诏告于天地之间也。
12	颙	yóng	rare_word	头大的样子；文中释作翘首观望。	2	观卦曰：“盥而不荐， 有孚颙若。
13	禴	yuè	rare_word	古代祭名，文中指祭祀仪式。	4	六二爻曰：“孚， 乃利用禴。
