阅读词表
来源文件：chapter_07/chapter_07_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	人祭	rén jì	concept	以人作为祭品的祭祀行为。	69	第七章人祭繁荣与宗教改革运动
2	宫殿区	gōng diàn qū	concept	都邑中宫殿和王室活动集中的区域。	31	1974年， 当地水文站准备扩建一座办公楼， 院落正好位于商城宫殿区的中央。
3	头盖骨	tóu gài gǔ	concept	颅骨顶部，文中涉及加工成碗状器物。	12	...东侧发掘出一条人工壕沟：沟内堆积着近百颗人头盖骨， 被加工制成碗的造型， 边缘切割平整，...
4	郑州商城	zhèng zhōu shāng chéng	site_or_culture	商代早期大型城址。	41	...愿意和3000多年前的头盖骨做邻居， 从此， 郑州商城的考古工作者有了专用办公场地。当然...
5	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	8	...代人对商代文化的印象：以血腥著称， 到后来的殷墟更是登峰造极。不过综合来看， 考古提供的...
6	偃师商城	yǎn shī shāng chéng	site_or_culture	商代早期城址，位于二里头以东。	25	早商时期， 东西两都并存， 让我们先从西都偃师商城开始讲起。
7	献祭	xiàn jì	concept	向神灵、祖先等奉献祭品。	41	偃师：从猪到人的献祭
8	遗存	yí cún	concept	古代活动留下的遗物、遗迹或现象。	8	...城的人口数量和繁荣程度虽不如郑州商城， 祭祀遗存也不如郑州商城多， 但遗址整体保存较好，...
9	夯土	hāng tǔ	concept	把土层层夯实形成建筑基础或城墙的技术。	11	...的长方形， 面积均超过1000平方米， 四周有夯土围墙， 构成两座“祭祀大院”。这两处...
10	祭祀坑	jì sì kēng	concept	考古遗址中用于掩埋祭品或举行祭祀的坑穴。	32	...， 甚至和一些兔子的骨骼混在一起。还有的祭祀坑内埋的不是食物， 而是用具， 如H460...
11	壁龛	bì kān	added	墙壁或坑壁上凿出的供放置物品的小龛。	1	...坑壁， 然后在南北两壁上挖出很多放置祭品的“壁龛”。用来献祭的主要是人、牛和猪， 肢...
12	人牲	rén shēng	concept	被用于祭祀或献祭的人。	11	...献祭的主要是人、牛和猪， 肢解、腰斩或全尸的人牲被摆放在坑底， 与猪和牛的骨肉一起掩埋，...
13	夔	kuí	added	古代传说中的一足神兽或龙形怪物。	2	有一座狗坑还出土了一件黄金薄片夔纹饰物， 可能是目前发现的中国最早的黄金工艺品。
14	王权	wáng quán	concept	王的政治统治权力。	8	...， 其他地点的人祭活动则都比较零散， 看不出和王权有直接关系。也就是说， 夏朝尚未把人祭作...
15	铜器窖藏坑	tóng qì jiào cáng kēng	artifact	集中埋藏青铜器的坑穴。	8	...铜器。发掘者在城墙外侧发现了三处这一时期的铜器窖藏坑：张寨南街窖藏坑，1974年发现...
16	窖藏	jiào cáng	concept	将器物埋藏于地下的行为或遗迹。	23	...。发掘者在城墙外侧发现了三处这一时期的铜器窖藏坑：张寨南街窖藏坑，1974年发现， 有...
17	良渚	liáng zhǔ	site_or_culture	长江下游新石器时代重要考古文化和古城遗址。	8	...的商代有纹饰青铜重器， 铜鼎上的兽面饕餮纹和良渚古国玉器的神人兽面纹高度相似。郑州...
18	盘龙城	pán lóng chéng	site_or_culture	湖北武汉附近早商城址，是商朝南方重要据点。	7	埋设器物的献祭方式， 曾出现在商人遥远的南方据点盘龙城商城。
19	小双桥	xiǎo shuāng qiáo	site_or_culture	郑州西北中商时期重要遗址。	30	发生九世之乱的中商可能持续近百年时间， 这期间， 另一座疑似都城小双桥商邑出现。
20	穿孔	chuān kǒng	concept	贯穿形成孔洞，文中多指颅骨创口。	8	...击打伤痕， 有些是钝器造成的裂纹， 有些是锐器穿孔， 直径在1-3厘米间， 有各种形状。...
