term,pinyin,type,annotation
人祭,rén jì,concept,以人作为祭品的祭祀行为。
人殉,rén xùn,concept,以人随葬或陪葬的行为，常见于古代贵族墓葬。
人牲,rén shēng,concept,被用于祭祀或献祭的人。
杀祭,shā jì,concept,通过杀牲或杀人进行的祭祀。
牲祭,shēng jì,concept,以牛、羊、猪、狗等动物作为祭品的祭祀。
埋祭,mái jì,concept,将祭品埋入地下的祭祀方式。
燎祭,liáo jì,concept,焚烧祭品以祭神的仪式。
祭牲,jì shēng,concept,祭祀中所用的牲畜。
祭品,jì pǐn,concept,祭祀时献给神灵或祖先的物品。
献祭,xiàn jì,concept,向神灵、祖先等奉献祭品。
祭祀坑,jì sì kēng,concept,考古遗址中用于掩埋祭品或举行祭祀的坑穴。
丛葬坑,cóng zàng kēng,concept,集中埋入多人尸骨或遗骸的坑。
掷埋,zhì mái,concept,考古报告用语，指尸体或骨骼被抛掷式埋入坑中。
灰坑,huī kēng,concept,遗址中含灰土、废弃物或祭祀遗存的坑穴。
坑口,kēng kǒu,concept,坑穴在地表或开口处的形状和范围。
坑底,kēng dǐ,concept,坑穴底部，常用于描述考古遗迹。
地层,dì céng,concept,遗址中不同时期堆积形成的层次。
层位,céng wèi,concept,考古学中遗物或遗迹所在的地层位置。
遗存,yí cún,concept,古代活动留下的遗物、遗迹或现象。
基址,jī zhǐ,concept,建筑物遗留下来的基础位置。
夯土,hāng tǔ,concept,把土层层夯实形成建筑基础或城墙的技术。
夯土台基,hāng tǔ tái jī,concept,用夯土筑成的高台式建筑基础。
宫殿区,gōng diàn qū,concept,都邑中宫殿和王室活动集中的区域。
宫城,gōng chéng,concept,城邑内宫殿或王室建筑集中的城垣区域。
王陵区,wáng líng qū,concept,王室墓葬集中的区域。
偃师商城,yǎn shī shāng chéng,site_or_culture,商代早期城址，位于二里头以东。
郑州商城,zhèng zhōu shāng chéng,site_or_culture,商代早期大型城址。
二里冈,èr lǐ gāng,site_or_culture,郑州一带早商文化的重要遗址和文化命名地。
殷墟,yīn xū,site_or_culture,晚商都邑遗址，甲骨卜辞的重要出土地。
垣曲商城,yuán qū shāng chéng,site_or_culture,山西垣曲早商城址。
东下冯商城,dōng xià féng shāng chéng,site_or_culture,山西夏县早商城址。
老牛坡,lǎo niú pō,site_or_culture,西安附近商代遗址，文中涉及商人据点和人祭。
盘龙城,pán lóng chéng,site_or_culture,湖北武汉附近早商城址，是商朝南方重要据点。
小双桥,xiǎo shuāng qiáo,site_or_culture,郑州西北中商时期重要遗址。
良渚,liáng zhǔ,site_or_culture,长江下游新石器时代重要考古文化和古城遗址。
石峁,shí mǎo,site_or_culture,陕北大型史前城址。
陶寺,táo sì,site_or_culture,山西襄汾一带龙山时代重要遗址。
岳石文化,yuè shí wén huà,site_or_culture,山东地区龙山以后、商代以前的考古文化。
屈家岭文化,qū jiā lǐng wén huà,site_or_culture,长江中游新石器时代文化。
石家河文化,shí jiā hé wén huà,site_or_culture,长江中游新石器时代晚期文化。
北福地,běi fú dì,site_or_culture,河北易县史前遗址，文中涉及埋藏器物祭祀。
九世之乱,jiǔ shì zhī luàn,text,《史记》所记商代中期王室长期内乱。
仲丁,zhòng dīng,person,商王名，文中讨论中商迁都和内乱。
太戊,tài wù,person,商王名，文中推测与埋祭改革有关。
河亶甲,hé dǎn jiǎ,person,商王名，史书记载其迁都于相。
祖乙,zǔ yǐ,person,商王名，史书记载其迁都于邢。
卜辞,bǔ cí,text,甲骨占卜后刻写或记录的辞句。
甲骨卜辞,jiǎ gǔ bǔ cí,text,刻写在龟甲兽骨上的占卜文字。
神权,shén quán,concept,以神灵、祭祀权威支撑的统治权力。
王权,wáng quán,concept,王的政治统治权力。
巫术,wū shù,concept,古代借助神秘仪式影响现实的信仰行为。
