term,pinyin,type,annotation
许知远,xǔ zhī yuǎn,person,作家、媒体人，文中曾造访二里头。
许宏,xǔ hóng,person,考古学者，长期主持或研究二里头考古。
昙花一现,tán huā yī xiàn,idiom,比喻事物短暂出现后很快消失。
篡权,cuàn quán,rare_word,夺取权力。
车辙,chē zhé,rare_word,车轮压出的痕迹。
扉棱,fēi léng,rare_word,青铜器或陶器上突起的棱脊装饰。
钺,yuè,rare_word,古代大型斧形兵器或礼器。
局促,jú cù,rare_word,狭小、不舒展。
俨然,yǎn rán,rare_word,很像、宛然；也有庄重貌。
雏形,chú xíng,rare_word,初步形成的样子。
脱臼,tuō jiù,rare_word,关节脱离原位。
豢养,huàn yǎng,rare_word,饲养；多指养动物。
苑囿,yuàn yòu,rare_word,古代畜养禽兽、种植林木的园地。
卜骨,bǔ gǔ,rare_word,用于占卜的兽骨。
肩胛骨,jiān jiǎ gǔ,rare_word,肩部骨骼，古代常用于占卜。
爵,jué,rare_word,古代酒器；也引申为爵位。
觚,gū,rare_word,古代酒器。
斝,jiǎ,rare_word,古代温酒器或礼器。
盉,hé,rare_word,古代调酒或盛水器。
戈,gē,rare_word,古代横刃长柄兵器。
陶坩埚,táo gān guō,artifact,冶铸时使用的陶制坩埚。
后羿,hòu yì,person,古史传说人物，文中涉及夏朝早期动荡。
寒浞,hán zhuó,person,古史传说人物，曾取代后羿势力。
少康,shào kāng,person,夏朝传说中的中兴之君。
有鬲氏,yǒu gé shì,person,古部族名，少康母族相关势力之一。
黑曜石,hēi yào shí,rare_word,火山玻璃质岩石，断口锋利。
窖藏,jiào cáng,rare_word,埋藏于地下的储藏物或储藏方式。
