阅读词表
来源文件：chapter_03/chapter_03_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	许知远	xǔ zhī yuǎn	person	作家、媒体人，文中曾造访二里头。	2	...都二里头”遗址公园尚未兴建时， 作家兼媒体人许知远曾带着摄制组造访二里头， 由二里头考古...
2	许宏	xǔ hóng	person	考古学者，长期主持或研究二里头考古。	2	...曾带着摄制组造访二里头， 由二里头考古队队长许宏给他讲解古老的王宫基址以及3800年前...
3	昙花一现	tán huā yī xiàn	idiom	比喻事物短暂出现后很快消失。	1	那么， 二里头是如何走出昙花一现的旧循环的？
4	后羿	hòu yì	person	古史传说人物，文中涉及夏朝早期动荡。	5	...基本的时段特征， 古史中记载的夏朝往事， 诸如后羿篡权之类， 在考古中还找不到验证。而且，...
5	篡权	cuàn quán	rare_word	夺取权力。	2	...的时段特征， 古史中记载的夏朝往事， 诸如后羿篡权之类， 在考古中还找不到验证。而且， 二里...
6	车辙	chē zhé	rare_word	车轮压出的痕迹。	1	...大路， 残留700多米， 一段路面上还有清晰的车辙， 两轮间距1米左右， 应是人力推拉的双轮...
7	扉棱	fēi léng	rare_word	青铜器或陶器上突起的棱脊装饰。	1	[4] 这枚铜铃的造型， 与陶寺晚期墓葬中的一件红铜铃类似， 但侧面多了一道扉棱。
8	钺	yuè	rare_word	古代大型斧形兵器或礼器。	7	...是村落或部落社会的男丁也常常会随葬一把石斧钺或几枚箭镞。M3被后世破坏了一角， 也许有...
9	局促	jú cù	rare_word	狭小、不舒展。	1	...与二期的D3、D5相比，D1放弃了实用、局促的多排房屋结构， 改为空旷的庭院和大型单...
10	俨然	yǎn rán	rare_word	很像、宛然；也有庄重貌。	1	...头统治的疆域和能够调集的劳动力有显著增加， 俨然具有王朝气象——虽然还只是雏形期的王朝...
11	雏形	chú xíng	rare_word	初步形成的样子。	1	...有显著增加， 俨然具有王朝气象——虽然还只是雏形期的王朝。D1院落的具体功用又颇难...
12	戈	gē	rare_word	古代横刃长柄兵器。	9	...青铜兵器和礼器， 比如三期的VIKM3， 有铜戈、铜钺和玉戈各一件， 铜爵一件， 铜戈和玉戈...
13	爵	jué	rare_word	古代酒器；也引申为爵位。	9	...的VIKM3， 有铜戈、铜钺和玉戈各一件， 铜爵一件， 铜戈和玉戈比较大，30厘米左右。...
14	肩胛骨	jiān jiǎ gǔ	rare_word	肩部骨骼，古代常用于占卜。	4	...具和狗骨架一具， 距坑口3.5米深处有大量牛肩胛骨制作的卜骨， 上面有排列整齐的烧灼痕迹...
15	觚	gū	rare_word	古代酒器。	5	...套有礼仪色彩的酒器， 如三足的爵、大口束腰的觚、三袋足的斝和盉等。这套酒器被商、周继承...
16	斝	jiǎ	rare_word	古代温酒器或礼器。	2	...的酒器， 如三足的爵、大口束腰的觚、三袋足的斝和盉等。这套酒器被商、周继承， 是中国青铜...
17	盉	hé	rare_word	古代调酒或盛水器。	5	...器， 如三足的爵、大口束腰的觚、三袋足的斝和盉等。这套酒器被商、周继承， 是中国青铜时代...
18	寒浞	hán zhuó	person	古史传说人物，曾取代后羿势力。	4	...“相”被有穷氏的后羿取代， 后羿又被伯明氏的寒浞篡权， 寒浞屠灭了后羿和夏王相家族， 而相...
19	少康	shào kāng	person	夏朝传说中的中兴之君。	1	...， 寒浞屠灭了后羿和夏王相家族， 而相的遗腹子少康借助母族有仍氏和有鬲氏的势力， 灭掉了寒...
20	有鬲氏	yǒu gé shì	person	古部族名，少康母族相关势力之一。	2	...王相家族， 而相的遗腹子少康借助母族有仍氏和有鬲氏的势力， 灭掉了寒浞， 恢复了夏朝。[[...
