term,pinyin,annotation,type
《东坡志林》,,又名《东坡手泽》，是苏轼后人辑其所遗笔记而成，内容包括纪游志异、论人议物，以及幽冥梦幻、道果仙缘等。,source_note
王涯,,太原（今属山西）人。唐德宗贞元八年,source_note
江州,,西晋元康元年,source_note
甘露之祸,,唐文宗大和九年,source_note
当君白首同归日，是我青山独往时,,语出白居易《九年十一月二十一日感事而作》。白首同归，晋朝潘岳《金谷集作诗》：“春荣谁不慕，岁寒良独希。投分寄石友，白首同所归。”本义友谊坚贞，至老不变。另据《世说新语·仇隙》记载，孙秀为中书令，怀恨石崇不送与绿珠，又忌恨潘岳昔日对其多加挞辱，乃收捕石崇、潘岳,source_note
李斯,,楚国上蔡（今河南上蔡）人。助秦灭六国，始皇称帝，李斯为丞相，定郡县制，车同轨，书同文，焚书坑儒。始皇死，李斯与赵高谋，矫诏杀公子扶苏，立胡亥为帝。后来被赵高诬陷谋反，与其子皆腰斩于咸阳市中，灭三族。,source_note
郦其,,即郦食（yì）其（？—前203），陈留高阳（今河南杞县）人。刘邦至高阳，献计攻下陈留，因封为广野君。后劝说齐王田广归汉，已定议，而韩信袭齐，田广认为郦食其出卖自己，遂烹之。,source_note
黄绮入商洛,,汉初，东园公、绮里季、夏黄公、甪里先生四位隐士同隐商山，四人须眉皆白，故称“商山四皓”。黄绮，“商山四皓”之夏黄公、绮里季的合称。,source_note
紫芝,,“商山四皓”隐居时，作《采芝操》云：“晔晔紫芝，可以疗饥。”唐人称《紫芝曲》或《紫芝歌》。,source_note
菹醢,,把人剁成肉酱的酷刑。,source_note
