阅读词表
来源文件：chapter_14/chapter_14_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	人祭	rén jì	concept	以人作为祭品的祭祀行为。	2	今西安市西郊的客省庄（二期）就出现了大量杀戮、冲突甚至人祭的迹象。
2	灰坑	huī kēng	concept	遗址中含灰土、废弃物或祭祀遗存的坑穴。	10	...老牛坡二期的生活-作坊区布满了大大小小的灰坑， 考古工作者在里面发现了两块铜炼渣、两...
3	铜镞	tóng zú	bronze_item	青铜箭头。	4	...坑， 考古工作者在里面发现了两块铜炼渣、两枚铜镞和一枚铜锥， 还有铸造铜镞和铜戈的陶质残...
4	铜戈	tóng gē	bronze_item	青铜戈，商周常见兵器。	2	...铜炼渣、两枚铜镞和一枚铜锥， 还有铸造铜镞和铜戈的陶质残范各一块——是铸造小件铜器用的...
5	箭镞	jiàn zú	artifact	箭头，文中有青铜、石骨材质。	1	...可以多次使用。在半块砖头大小的镞范上， 五枚箭镞呈扇形分布， 其中四枚完整， 无倒刺， 两翼...
6	铸铜范	zhù tóng fàn	artifact	铸造铜器所用的范模。	1	没有发现任何稍大的铜器和铸铜范， 比如商族人常见的铜酒器。
7	商式陶器	shāng shì táo qì	artifact	具有商文化风格的陶器。	1	...珍坊没有发现大件铜容器（礼器）， 但出土有早商式陶器， 以及一些小件铜器， 如铜戈、小铜刀...
8	盘庚	pán gēng	person	商王名，以迁都殷地著称。	1	然后是盘庚王迁殷。
9	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	5	...5]]有窖藏， 也有墓葬。多数铜器造型属于殷墟前期， 恰和武丁时期的西进运动吻合， 但也...
10	妇好	fù hǎo	person	商王武丁配偶，甲骨文中著名女性军事人物。	1	[7] “妇某”的称呼专用于商族血统的后妃， 比如著名的妇好。
11	妲	dā	manual	人名用字；文中见商纣王妃妲己。	2	...， 也不会享有这种称呼， 比如末代商纣王宠爱的妲己， 她来自“己”姓的苏国， 而非“子”姓的...
12	窖穴	jiào xué	concept	地下储藏坑穴。	2	...商式铜器。它们被保存在一个“用圆石头砌成的窖穴”中， 村民挖掘时没有发现人骨， 说明这批...
13	谮	zèn	manual	诬陷，中伤；文中指崇侯虎诬告西伯。	1	崇侯虎谮（诬告）西伯于殷曰：“西伯积善累德， 诸侯皆向之， 将不利于帝。
14	髳	máo	manual	中国古代西南部族名；文中见髳方及《牧誓》盟军。	5	1.贞：令从崇侯虎伐髳方， 受有佑。
15	人奠基	rén diàn jī	concept	建筑奠基时以人作为牺牲的行为。	2	为保护房屋遗迹， 考古队没有发掘夯土地基， 所以无法确定是否有人奠基。
16	奠基	diàn jī	concept	建筑开始时的基础工程或相关仪式。	2	为保护房屋遗迹， 考古队没有发掘夯土地基， 所以无法确定是否有人奠基。
17	仡仡	yì yì	manual	勇猛强健的样子；文中出自《诗经·皇矣》。	2	后来的周人史诗说， 攻打崇国时， 他们面对的就是牢固的城墙， 正所谓“崇墉仡仡”。
18	殉人	xùn rén	concept	陪葬或随葬的人。	2	...fn:14]]崇国商人的墓葬还使用大量殉人， 等级稍高的殉人数量更是要十人左右， 比...
19	妘	yún	manual	古代姓氏，文中见金文族姓。	1	...。参见董珊《试论殷墟卜辞之“周”为金文中的妘姓之琱（雕）》，《中国国家博物馆馆刊》2...
20	琱	diāo	manual	同“雕”，雕刻；文中见金文族姓释读。	1	...董珊《试论殷墟卜辞之“周”为金文中的妘姓之琱（雕）》，《中国国家博物馆馆刊》2013...
