阅读词表
来源文件：chapter_17/chapter_17_clean.txt
检出条目数：12

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	5	比如， 殷墟发掘了很多宫殿基址， 但我们无法确定商王们到底居住在哪座建筑。
2	姒	sì	manual	古代姓氏用字；文中大姒及莘国为姒姓。	6	新娘来自姒姓的莘国， 后人称为“大姒”。
3	莘	shēn	place	古国名用字；文中莘国读shēn。	11	新娘来自姒姓的莘国， 后人称为“大姒”。
4	缵	zuǎn	manual	承接并继续；“缵女维莘”中指接连娶莘国女子。	2	莘国嫁来的有姐妹两个， 所谓“缵女维莘”。
5	奭	shì	person	召公名；召公奭是西周初年重要政治人物。	8	”（《易经》归妹卦六五）妹妹可能嫁给了周族另一个重要人物召公奭。
6	燮	xiè	manual	调和、协和；“燮伐大商”中读xiè。	1	保右命尔， 燮伐大商。
7	肩胛骨	jiān jiǎ gǔ	concept	动物或人的肩部骨骼，常被加工为卜骨。	2	...龙山文化开始， 华北地区就已经流行用牛或羊的肩胛骨占卜吉凶。而随着研究的深入， 周昌开始...
8	鬻	yù	person	人名用字；文中鬻子读yù。	2	...他的人逐渐多了起来， 有太颠、闳夭、散宜生、鬻子〔按语：鬻矛誉楯〕、辛甲大夫等人， 甚至...
9	窖穴	jiào xué	concept	地下储藏坑穴。	6	...深的秘密。从这间厢房的墙壁下挖出了两座窖穴， 较大的H11（1.55米×1米）在屋...
10	人祭	rén jì	concept	以人作为祭品的祭祀行为。	2	其二， 无论史书还是考古， 都没有发现周人有人祭的记录。
11	人奠基	rén diàn jī	concept	建筑奠基时以人作为牺牲的行为。	1	...现周人有人祭的记录。文王大宅内外从未发现有人奠基和人祭现象， 垃圾坑里也没有抛散的人骨...
12	奠基	diàn jī	concept	建筑开始时的基础工程或相关仪式。	1	...周人有人祭的记录。文王大宅内外从未发现有人奠基和人祭现象， 垃圾坑里也没有抛散的人骨，...
