term,pinyin,annotation,type
孟子,mèng zǐ,名轲，字子舆，战国邹（今山东邹城）人。继承孔子学说，提出仁政主张，认为人性本善，强调养气、存心之修养。被尊为“亚圣”，在儒家中的地位仅次于孔子。,source_note
《公刘》,gōng liú,见《诗经·大雅》。公刘，后稷的曾孙，周部族的先祖。,source_note
乃积乃仓,nǎi jī nǎi cāng,粮仓溢满。,source_note
糇粮,hóu liáng,干粮。,source_note
于橐于囊,yú tuó yú náng,装满口袋。橐，无底的口袋。囊，有底的口袋。,source_note
思辑用光,sī jí yòng guāng,和睦团结以为荣光。思，句首发语词。辑，和睦团结。,source_note
干,gān,盾牌,source_note
爰,yuán,于是。,source_note
“故居者有积仓”几句,gù jū zhě yǒu jī cāng jǐ jù,语出《孟子·梁惠王下》。,source_note
《烝民》,zhēng mín,"见《诗经·大雅》。烝民，众民。烝，众多。烝 zhēng
〈文〉
形 众；多。",source_note
有物有则,yǒu wù yǒu zé,有万物就有法则。,source_note
秉夷,bǐng yí,常理，常性。,source_note
懿德,yì dé,美德。,source_note
孔子,kǒng zǐ,名丘，字仲尼，春秋时鲁国人。创立儒家学派，对后世影响极为深远。唐朝时，孔子先后被追谥为先师、先圣、文宣王。,source_note
“故有物必有则”几句,gù yǒu wù bì yǒu zé jǐ jù,语出《孟子·告子上》,source_note
彼训“曰若稽古”三万言,bǐ xùn yuē ruò jī gǔ sān wàn yán,“曰若稽古”，《尚书·尧典》开篇的话，是古时的成语，常用作发语词以称述前代名人言行,source_note
覆酱瓿,fù jiàng bù,"盖住酱缸，比喻著述毫无价值，不被重视。《汉书·扬雄传》：“巨鹿侯芭常从雄居，受其《太玄》《法言》焉。瓿 1 bù
名 古代一种小瓮。
酱瓿
瓿 2 bù
见“安瓿”。",source_note
戈,gē,长矛,source_note
戚,qī,斧,source_note
扬,yáng,钺，大斧,source_note
三万言,sān wàn yán,《汉书·艺文志》：“说五字之文，至于二三万言,source_note
戢,jí,"戢 | jí | | 粵拼 cap1 輯 |
① 收斂；收藏
戢羽 | 戢怒 | 戢兵。
② 姓。",added
