term,pinyin,annotation,type
卦,,占卜的记号，相传为伏羲氏所作。《周易》有八卦（又称经卦），画卦的线条叫“爻（yáo）”，一横线“—”名阳爻，横线中断“--”名阴爻。八卦皆由三爻组成，八卦名为乾、兑、离、震、巽、坎、艮、坤，乾（天）与坤（地）、震（雷）与巽（风）、坎（水）与离（火）、艮（山）与兑（泽）是对立的。八卦两两重叠组合，则演为六十四卦（又称别卦）。《文言》：这里指专门阐释乾、坤二卦义理的文字，相传为孔子所作。,source_note
至柔,,乾刚坤柔，坤为纯阴之象，纯阴而和顺，故称至柔。,source_note
王弼,,三国魏山阳高平（今山东金乡）人。笃好老庄，注《周易》《老子》，开魏晋以后玄学之先声。引文为《周易》王弼注。,source_note
程伊川,,即程颐（1033—1107），洛阳（今属河南）人。世称伊川先生，与其兄程颢同为北宋理学奠基者，开程朱理学一派。,source_note
“坤道至柔”几句,,语出《周易程氏传》。乾，，八卦之一，象天。,source_note
张横渠,,即张载（1020—1077），凤翔郿县（今陕西眉县）横渠镇人。北宋理学家，仁宗嘉祐二年,source_note
“柔亦有刚”几句,,语出《横渠易说》。体，卦的本体。积爻成卦，三爻而成一经卦，六爻而成一别卦。,source_note
积大势成而然,,语出《正蒙·大易篇第十四》。,source_note
“夫物非刚者能刚”几句,,语出《东坡易传》。,source_note
张葆光,,即张弼，兴化军（今福建莆田）人。赐号葆光处士，宋哲宗绍圣年间为福州司户。《郡斋读书志》著录《张弼易》十卷，已佚,source_note
陈了翁,,即陈瓘（1057—1124），南剑州沙县（今福建沙县）人。号了翁、了斋。宋神宗元丰二年,source_note
至静,,阴静而阳动，坤既为纯阴之象，故称至静。,source_note
德,,卦德，卦的基本性质、品德和功用。,source_note
坤元,,与“乾元”相对。元，有伟大之义。,source_note
郭雍,,洛阳（今属河南）人。宋孝宗乾道年间，召之不赴，赐号冲晦处士。其父师事程颐，郭雍继承家学，有《郭氏传家易说》。,source_note
临安,,今浙江杭州。南宋都城,source_note
在初为《复》,,《复》，，《周易》别卦之二十四（震下坤上），第一爻为初九。九，阳爻。,source_note
在二为《师》,,《师》，，《周易》别卦之七（坎下坤上），第二爻为九二。,source_note
在三为《谦》,,《谦》，，《周易》别卦之十五（艮下坤上），第三爻为九三。,source_note
动也刚,,《坤》虽至阴，然动则生阳，既阳则刚，故初动则成（震），二动则成（坎），三动则成（艮），并动则成（乾）,source_note
六二之直,,《易》以奇数为阳，偶数为阴，九为“老阳”，六为“老阴”，故以“九”指称阳爻，以“六”指称阴爻,source_note
昙莹,,宋僧，号萝月，嘉兴（今属浙江）人,source_note
《坤》,,，《周易》八卦之一，象地,source_note
