阅读词表
来源文件：chapter_08/chapter_08_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	盘龙城	pán lóng chéng	site_or_culture	湖北武汉附近早商城址，文中作为商朝南方据点。	87	第八章武德沦丧南土：盘龙城
2	土著	tǔ zhù	concept	本地原有居民或族群。	12	...器， 如矛、戈、刀、钺、弓矢等， 而满身烟尘的土著却只能任由外来者安营扎寨， 发号施令。南...
3	长江流域	cháng jiāng liú yù	place	长江水系覆盖的广大地区。	12	南中国长江流域最早的冶铜基地和铜交易中心， 就这样出现了。
4	冶铜	yě tóng	concept	从铜矿石中冶炼铜料的技术。	5	南中国长江流域最早的冶铜基地和铜交易中心， 就这样出现了。
5	冶铸	yě zhù	concept	冶炼和铸造金属器物的工艺。	6	制陶和冶铸有相通之处， 便于商人利用当地居民发展冶铜产业。
6	江汉	jiāng hàn	place	长江与汉水流域一带。	4	...商路， 对商人来说， 这些经验很有价值。而江汉地区不仅有悠久的新石器文化， 有过大型水...
7	夯土城池	hāng tǔ chéng chí	concept	用夯土技术修筑的城墙和城邑。	3	...边地区扩张， 待冶铜产业初具规模， 便开始建设夯土城池和宫室。此时， 属于盘龙城文化第四期...
8	廊檐	láng yán	concept	建筑外围的廊和屋檐结构。	5	屋墙外有密集的木柱， 支撑起巨大的“四面坡”屋顶和廊檐；
9	陶缸	táo gāng	artifact	大型陶制缸器，文中兼具储藏和炼铜功能。	11	...， 有一条30多米长的灰烬沟， 内部有陶坦堤和陶缸， 还有残铜片、铜渣和孔雀石（铜矿石）；...
10	铜锭	tóng dìng	artifact	冶炼后铸成块状以便运输或再加工的铜料。	3	...， 应当是先从外地运来各种矿石， 在城外冶炼成铜锭， 或者继续浇铸成铜器， 然后销往中原的商...
11	李家嘴	lǐ jiā zuǐ	site_or_culture	盘龙城遗址中的墓葬地点。	5	...特征， 墓葬提供了很多信息。在已发掘墓葬中， 李家嘴PLZM2的规格最高， 和城墙建成时间...
12	殉人	xùn rén	concept	陪葬或随葬的人。	6	...墙建成时间接近， 随葬了较多青铜器， 还有三名殉人， 其中一名是儿童。这是一座非常典型的商...
13	饕餮纹	tāo tiè wén	artifact	青铜器上常见的兽面纹饰。	3	...葬品和殉人， 甚至棺椁木板上雕刻了经典的商式饕餮纹。李家嘴PLZM2椁板的夔龙饕餮...
14	铜钺	tóng yuè	bronze_item	青铜钺，常象征军事权力。	12	兵器则有铜钺两件， 铜矛和铜戈各一件， 长30厘米左右的铜刀四把；
15	玉戈	yù gē	artifact	玉制戈，多为礼仪性器物。	3	玉器， 除了装饰品， 还有玉戈四件。
16	人祭	rén jì	concept	以人作为祭品的祭祀行为。	11	...朝的差异之处也不容忽视， 尤其是， 这里没有杀人祭祀行为：城内和城外都没有发现人祭坑， 城...
17	人奠基	rén diàn jī	concept	建筑奠基时以人作为牺牲的行为。	3	...都没有发现人祭坑， 城墙和宫殿区也没有发现“人奠基”。在中原地区的商代遗址中， 人祭、人...
18	人殉	rén xùn	concept	以人随葬或陪葬的行为。	3	〔按语：人祭， 人殉。
19	祭祀坑	jì sì kēng	concept	用于祭祀或埋藏祭品的坑穴。	9	...玉器， 然后掩埋。盘龙城外的王家嘴有两座祭祀坑H6和H7， 属于盘龙城文化五期（此时...
20	张煜珧	zhāng yù yáo	person	《夏商周祭祀遗存研究》作者；“煜”读 yù，意为光耀、照耀；“珧”读 yáo，指江珧等贝类及其有光泽的贝壳；旧文本误作“张煜跳”或“张煜珠”。	3	9张煜珧已经注意到， 夏商时期的山川祭祀存在“南方用器、北方用牲”的差别。
