sequence,year,date_original,battle_title,battle_title_zh,state,cwsac,outcome,notes,category,source_url,source_url_zh
225,1864,"January 17, 1864",Battle of Dandridge,,Tennessee,C,Confederate,Union forces withdraw.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Dandridge,
226,1864,"January 26, 1864",Battle of Athens,,Alabama,D,Union,Union victory in Northern Alabama .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Athens_(1864),
227,1864,"January 27, 1864",Battle of Fair Garden,,Tennessee,C,Inconclusive,Union victory followed by withdrawal.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fair_Garden,
228,1864,"February 6 –7, 1864",Battle of Morton's Ford,,Virginia,D,Inconclusive,Diversionary Union attack.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Morton's_Ford,
229,1864,"February 13, 1864",Battle of Middle Boggy Depot,,Oklahoma ( Indian Territory at the time),D,Union,Union troops massacred Confederate forces as the Confederates burned their encampments.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Middle_Boggy_Depot,
230,1864,"February 14 –20, 1864",Battle of Meridian,,Mississippi,C,Union,Sherman occupies town.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Meridian,
231,1864,"February 20, 1864",Battle of Olustee,,Florida,B,Confederate,Union fails to take Florida.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Olustee,
232,1864,"February 22, 1864",Battle of Okolona,,Mississippi,B,Confederate,"Confederate cavalry, commanded by Maj. Gen. Nathan Bedford Forrest , routed 7,000 cavalry under the command of Brig. Gen. William Sooy Smith .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Okolona,
233,1864,"February 22 –27, 1864",First Battle of Dalton,,Georgia,C,Confederate,"After several days of intense skirmishing, Maj. Gen. George H. Thomas 's army withdrew upon realizing Gen. Joseph E. Johnston 's troops could repel any assault. However, the intelligence garnered from the Battle of Dalton helped pave the way for a Union victory in the summer.",CWSAC-rated,https://en.wikipedia.org/wiki/First_Battle_of_Dalton,
234,1864,"March 2, 1864",Battle of Walkerton,,Virginia,C,Confederate,controversy surrounding the Dahlgren Affair .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Walkerton,
235,1864,"March 12 –14, 1864",Battle of Fort DeRussy,,Louisiana,B,Union,Fort DeRussy fell and the Red River to Alexandria was open.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_DeRussy,
236,1864,"March 25, 1864",Battle of Paducah,,Kentucky,C,Confederate,Confederate raid by Forrest successful.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Paducah,
237,1864,"April 3 –4, 1864",Battle of Elkin's Ferry,,Arkansas,C,Union,Confederates unable to prevent Union river crossing.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Elkin's_Ferry,
238,1864,"April 8, 1864",Battle of Mansfield or Sabine Cross Roads,,Louisiana,A,Confederate,Banks Union Red River Campaign halted by the Confederates.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Mansfield,
239,1864,"April 9 –13, 1864",Battle of Prairie D'Ane,,Arkansas,B,Union,Frederick Steele defeats Sterling Price .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Prairie_D'Ane,
240,1864,"April 9, 1864",Battle of Pleasant Hill,,Louisiana,B,Union,Confederate attack fails.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Pleasant_Hill,
241,1864,"April 12, 1864",Battle of Fort Pillow,,Tennessee,B,Confederate,"N.B. Forrest takes fort, massacres black soldiers.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Fort_Pillow,
242,1864,"April 12 –13, 1864",Battle of Blair's Landing,,Louisiana,C,Union,Confederate forces retreated after constant Naval bombardments.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Blair's_Landing,
243,1864,"April 17, 1864",Battle of Plymouth,,North Carolina,C,Confederate,"Confederate land forces, supported by naval ram, retake two Union forts near Plymouth, North Carolina.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Plymouth_(1864),
244,1864,"April 18, 1864",Battle of Poison Spring,,Arkansas,C,Confederate,"Part of Red River Campaign in Arkansas, black troops massacred.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Poison_Spring,
245,1864,"April 23, 1864",Battle of Monett's Ferry,,Louisiana,C,Union,Confederate forces driven back.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Monett's_Ferry,
246,1864,"April 25, 1864",Battle of Marks' Mills,,Arkansas,D,Confederate,Part of Red River Campaign in Arkansas.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Marks'_Mills,
247,1864,"April 30, 1864",Battle of Jenkins' Ferry,,Arkansas,C,Union,Part of Red River Campaign in Arkansas.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Jenkins'_Ferry,
248,1864,"May 5, 1864",Battle of Albemarle Sound,,North Carolina,C,Inconclusive,Indecisive naval battle during U.S. Civil War.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Albemarle_Sound,
249,1864,"May 5 –7, 1864",Battle of the Wilderness,,Virginia,A,Inconclusive,Grant and Lee meet inconclusively.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_the_Wilderness,
250,1864,"May 6 –7, 1864",Battle of Port Walthall Junction,,Virginia,C,Union,Union forces destroy railroad,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Port_Walthall_Junction,
251,1864,"May 7 –13, 1864",Battle of Rocky Face Ridge,,Georgia,C,Union,"Due to a flanking movement by Union troops under Maj. Gen. William Tecumseh Sherman , Confederates led by Gen. Joseph E. Johnston were forced to evacuate their strong position near Atlanta .",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Rocky_Face_Ridge,
252,1864,"May 8 –21, 1864",Battle of Spotsylvania Court House,,Virginia,A,Inconclusive,"Grant and Lee meet inconclusively, Grant writes to Halleck ""I propose to fight it out on this line if it takes all summer"".",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Spotsylvania_Court_House,
253,1864,"May 9, 1864",Battle of Swift Creek,,Virginia,C,Inconclusive,"Union forces damage railroad, but are stopped by Confederate forces.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Swift_Creek,
254,1864,"May 9, 1864",Battle of Cloyd's Mountain,,Virginia,C,Union,"Union victory, Confederate General Albert G. Jenkins killed.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cloyd's_Mountain,
255,1864,"May 10, 1864",Battle of Chester Station,,Virginia,D,Inconclusive,Union forces under Benjamin Butler pushed back.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Chester_Station,
256,1864,"May 10, 1864",Battle of Cove Mountain,,Virginia,D,Inconclusive,Union forces under William W. Averell fought off Confederate attack and escaped under cover of the night.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Cove_Mountain,
257,1864,"May 11, 1864",Battle of Yellow Tavern,,Virginia,C,Union,"Union forces win cavalry battle, J.E.B. Stuart is mortally wounded.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Yellow_Tavern,
258,1864,"May 12 –16, 1864",Battle of Proctor's Creek,,Virginia,B,Confederate,Beauregard defeats Butler.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Proctor's_Creek,
259,1864,"May 13, 1864",Battle of Resaca,,Georgia,C,Inconclusive,Sherman defeats Johnston,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Resaca,
260,1864,"May 15, 1864",Battle of New Market,,Virginia,B,Confederate,Confederate forces halt Union army under Franz Sigel from advance up the Shenandoah Valley .,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_New_Market,
261,1864,"May 16, 1864",Battle of Mansura,,Louisiana,C,Union,Confederates are flanked and forced to retreat.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Mansura,
262,1864,"May 17, 1864",Battle of Adairsville,,Georgia,C,Union,Failed Confederate attempt to destroy part of the Union force approaching Atlanta.,CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Adairsville,
263,1864,"May 18, 1864",Battle of Yellow Bayou,,Louisiana,C,Union,"Union and Confederate forces traded ground until both sides retired, with no valuable gain from either side.",CWSAC-rated,https://en.wikipedia.org/wiki/Battle_of_Yellow_Bayou,
