term,pinyin,type,annotation
周公,zhōu gōng,person,周公旦，周初政治家。
改制,gǎi zhì,concept,周公对商周制度和宗教秩序的调整。
人殉,rén xùn,concept,随墓主而死或被杀陪葬。
人祭,rén jì,concept,杀人用于祭祀。
人牲,rén shēng,concept,被杀用于祭祀的人。
琉璃河,liú lí hé,site_or_culture,北京房山西周燕国遗址。
燕国,yān guó,place,西周诸侯国。
宋国,sòng guó,place,周初分封商王族后裔之国。
鹿邑,lù yì,place,河南地名，太清宫西周大墓所在地。
太清宫,tài qīng gōng,site_or_culture,河南鹿邑西周墓地所在。
长子口,zhǎng zǐ kǒu,person,鹿邑大墓铜器铭文所见名号。
亚长,yà zhǎng,person,殷墟花园庄东M54墓主。
西门豹,xī mén bào,person,战国魏国邺令，破除河伯娶妇习俗。
邺,yè,place,古地名，今河南安阳北一带。
河伯,hé bó,concept,黄河水神名。
左传,zuǒ zhuàn,text,春秋史传文献。
楚国,chǔ guó,place,春秋战国南方大国。
鲁国,lǔ guó,place,周公后裔封国。
阿兹特克,ā zī tè kè,site_or_culture,美洲古代文明，文中用于比较人祭。
玛雅,mǎ yǎ,site_or_culture,美洲古代文明，文中用于比较人祭。
