阅读词表
来源文件：chapter_27/chapter_27_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	周公	zhōu gōng	person	周公旦，周初政治家。	6	...顶峰已过， 地球正进入下一轮冰期的旅程。周公的“改制”恭敬地解除了上帝和诸神对世间...
2	改制	gǎi zhì	concept	周公对商周制度和宗教秩序的调整。	1	...， 地球正进入下一轮冰期的旅程。周公的“改制”恭敬地解除了上帝和诸神对世间的掌控，...
3	玛雅	mǎ yǎ	site_or_culture	美洲古代文明，文中用于比较人祭。	1	...是它们不再返回东亚， 而在此后的美洲大陆上， 玛雅和阿兹特克等文明将相继繁荣， 且伴随着盛...
4	阿兹特克	ā zī tè kè	site_or_culture	美洲古代文明，文中用于比较人祭。	1	...不再返回东亚， 而在此后的美洲大陆上， 玛雅和阿兹特克等文明将相继繁荣， 且伴随着盛大的人...
5	人祭	rén jì	concept	杀人用于祭祀。	29	...和阿兹特克等文明将相继繁荣， 且伴随着盛大的人祭仪式以及精美的图画文字、石雕和巍峨的金...
6	人殉	rén xùn	concept	随墓主而死或被杀陪葬。	16	人殉遗踪
7	宋国	sòng guó	place	周初分封商王族后裔之国。	11	...聚落， 人殉规模较小；商人大量聚居的地区（如宋国）， 以及未经过周朝征服的商人方国（如史...
8	燕国	yān guó	place	西周诸侯国。	5	...遗民墓。相比而言， 在西周诸侯国遗址中， 燕国都城琉璃河遗址（位于今北京房山）墓葬的...
9	琉璃河	liú lí hé	site_or_culture	北京房山西周燕国遗址。	5	...相比而言， 在西周诸侯国遗址中， 燕国都城琉璃河遗址（位于今北京房山）墓葬的殉人比例...
10	鹿邑	lù yì	place	河南地名，太清宫西周大墓所在地。	1	...比较特殊。在宋国都城商丘以南数十公里的鹿邑县太清宫镇， 有一座两条墓道的中字形大墓...
11	太清宫	tài qīng gōng	site_or_culture	河南鹿邑西周墓地所在。	1	...殊。在宋国都城商丘以南数十公里的鹿邑县太清宫镇， 有一座两条墓道的中字形大墓， 随葬...
12	长子口	zhǎng zǐ kǒu	person	鹿邑大墓铜器铭文所见名号。	2	...一座两条墓道的中字形大墓， 随葬铜器铭文有“长子口”字样， 墓主是一名六十岁左右男性， 棺...
13	亚长	yà zhǎng	person	殷墟花园庄东M54墓主。	1	5殷墟中期花园庄东M54的墓主是“亚长”， 这位“长子口”可能就是他的后裔。
14	鲁国	lǔ guó	place	周公后裔封国。	8	...国却重新出现， 并存续到春秋晚期， 且一直作为鲁国的附庸， 衷心归化于周人文化圈。可能在西...
15	左传	zuǒ zhuàn	text	春秋史传文献。	2	...做的目的， 是要震慑东夷， 使其臣服于宋国，《左传•僖公十九年》曰：“宋公使郝文公用部子...
16	人牲	rén shēng	concept	被杀用于祭祀的人。	1	公元前532年， 鲁国也出现了使用人牲的现象。
17	邺	yè	place	古地名，今河南安阳北一带。	6	...十年》对此事记载是：“秋七月， 平子伐莒， 取邺， 献俘， 始用人于亳社。”其中的“始”字，...
18	楚国	chǔ guó	place	春秋战国南方大国。	1	...蔡国， 用蔡国太子献祭岗山之神， 史书亦记下了楚国贵族申无宇对灵王的批评：“楚子灭蔡， 用...
19	西门豹	xī mén bào	person	战国魏国邺令，破除河伯娶妇习俗。	3	战国初期魏国西门豹治邺的史事， 呈现的就是新兴官僚政治和民间传统文化的碰撞。
20	河伯	hé bó	concept	黄河水神名。	1	当时邺县还有“为河伯娶妇”的风俗， 本质上是把少女奉献给漳河水神的人祭行为。
