term,pinyin,type,annotation
商族,shāng zú,concept,商王朝建立前后的族群共同体。
先商,xiān shāng,concept,商王朝建立以前的商族阶段。
王亥,wáng hài,person,先商重要首领，文献中与牧牛、有易事件相关。
上甲微,shàng jiǎ wēi,person,王亥之子，传说中为王亥复仇。
河伯,hé bó,person_or_deity,黄河水神或河伯部落首领，文中与商族早期活动相关。
有易,yǒu yì,place_or_group,文献中与王亥牧牛、遇害相关的部落或地域。
简狄,jiǎn dí,person,商族始祖传说中的女性始祖。
契,xiè,person,商族始祖名，读xiè；作“契约、契合”时常读qì。
玄鸟,xuán niǎo,concept,商族起源神话中的神鸟或天命媒介。
有娀,yǒu sōng,place_or_group,简狄所在的部族。
高辛氏,gāo xīn shì,person_or_deity,古史传说中的半神帝王。
阏伯,è bó,person,古史传说中主辰星、居商丘的人物。
实沈,shí shěn,person,古史传说中主参星、居大夏的人物。
参商,shēn shāng,concept,参星与商星一西一东，常比喻分离难聚。
辰星,chén xīng,concept,古人所说东方星宿，文中与商丘、商名来源相关。
夷夏东西说,yí xià dōng xī shuō,concept,傅斯年提出的古史文化分区观点。
下七垣文化,xià qī yuán wén huà,site_or_culture,豫北冀南一带商代早期前后的考古文化。
岳石文化,yuè shí wén huà,site_or_culture,山东地区龙山以后、商代以前的考古文化。
偃师商城,yǎn shī shāng chéng,site_or_culture,商代早期城址，位于二里头以东。
郑州商城,zhèng zhōu shāng chéng,site_or_culture,商代早期大型城址。
殷墟,yīn xū,site_or_culture,晚商都邑遗址，甲骨卜辞的重要出土地。
甲骨卜辞,jiǎ gǔ bǔ cí,text,商代刻写在甲骨上的占卜文字。
燎祭,liáo jì,concept,焚烧祭品以祭神的仪式。
始祖,shǐ zǔ,concept,一个族群传说中的最早祖先。
谱系,pǔ xì,concept,祖先和后代的世系排列。
迁徙,qiān xǐ,concept,群体从一地迁移到另一地。
游耕,yóu gēng,concept,迁移式或轮换式农耕生活。
舟筏,zhōu fá,rare_word,船和筏一类水上交通工具。
淤积,yū jī,rare_word,泥沙等沉积、堆积。
芦苇荡,lú wěi dàng,rare_word,大片生长芦苇的水边湿地。
驮载,tuó zài,rare_word,用牲畜背负运载。
拖曳,tuō yè,rare_word,拖拉、牵引。
惬意,qiè yì,rare_word,舒适满意。
妇孺,fù rú,rare_word,妇女和儿童。
艳遇,yàn yù,rare_word,偶然遇到的情爱机会。
扑朔迷离,pū shuò mí lí,idiom,形容事情错综复杂，难以辨清。
不共戴天,bù gòng dài tiān,idiom,仇恨极深，不能共同存在。
委实,wěi shí,rare_word,确实、实在。
生息之地,shēng xī zhī dì,concept,繁衍生活的地方。
碾子坡遗址,niǎn zi pō yí zhǐ,site_or_culture,陕北地区与周族早期活动相关的遗址。
新砦,xīn zhài,site_or_culture,河南新密遗址；“砦”同“寨”，网页可能误作“新碧”。
周原,zhōu yuán,site_or_culture,关中地区周族重要遗址和活动中心。
器型学,qì xíng xué,concept,按器物形制比较、分类和断代的考古方法。
无影无踪,wú yǐng wú zōng,idiom,完全没有踪迹。
掺入,chān rù,rare_word,混入、加入。
姜嫄,jiāng yuán,person,周族始祖传说中的女性始祖。
后稷,hòu jì,person,周族始祖传说中的农业神和祖先。
繁衍,fán yǎn,rare_word,逐渐增多、传续后代。
口耳相传,kǒu ěr xiāng chuán,idiom,通过口头代代传递。
相土,xiàng tǔ,person,传说中的商族早期首领。
斩获,zhǎn huò,rare_word,取得战果或收获。
辗转,zhǎn zhuǎn,rare_word,反复迁移或经过多处。
淫乱,yín luàn,rare_word,行为放纵失序。
生死攸关,shēng sǐ yōu guān,idiom,关系到生死存亡。
号咷,háo táo,rare_word,大声哭号。
机动性,jī dòng xìng,concept,快速移动和转换位置的能力。
藁城台西,gǎo chéng tái xī,site_or_culture,河北石家庄附近商代遗址。
两栖,liǎng qī,concept,这里指水陆两种环境都能行动。
肇牵车牛,zhào qiān chē niú,text,《尚书》语句，文中用来说明商人贸易生活。
远服贾,yuǎn fú gǔ,text,《尚书》语句，指到远方经商。
施肥,shī féi,concept,给土地添加肥料以恢复或提高肥力。
休耕,xiū gēng,concept,让土地暂时停止耕作以恢复肥力。
轮耕,lún gēng,concept,轮换土地耕种。
鸿沟,hóng gōu,place,古代沟通黄河、淮河水系的水道。
黄泛区,huáng fàn qū,place,黄河改道泛滥影响的地区。
泾渭分明,jīng wèi fēn míng,idiom,界限清楚，差别明显。
蛮荒,mán huāng,rare_word,荒远未开发。
同盟势力,tóng méng shì lì,concept,互相结盟形成的政治或军事力量。
有机可乘,yǒu jī kě chéng,idiom,有空子或机会可以利用。
征伐,zhēng fá,concept,出兵讨伐。
