阅读词表
来源文件：chapter_05/chapter_05_clean.txt
检出条目数：20

序号	字/词	拼音	类型	简注	出现次数	原文词例
1	商族	shāng zú	concept	商王朝建立前后的族群共同体。	54	第五章商族来源之谜
2	河伯	hé bó	person_or_deity	黄河水神或河伯部落首领，文中与商族早期活动相关。	11	这是近四千年前的古黄河下游， 传说中的河伯部落的领地。
3	王亥	wáng hài	person	先商重要首领，文献中与牧牛、有易事件相关。	34	当时的商族首领是王亥， 四十岁左右。
4	先商	xiān shāng	concept	商王朝建立以前的商族阶段。	10	...上帝与鸟蛋商王朝建立之前（学者称之为“先商”）， 商族人究竟生活在哪里， 是一群什么...
5	下七垣文化	xià qī yuán wén huà	site_or_culture	豫北冀南一带商代早期前后的考古文化。	3	...如前文所述， 有的属于河北和河南两省交界处的下七垣文化， 有的属于山东地区的岳石文化。之...
6	殷墟	yīn xū	site_or_culture	晚商都邑遗址，甲骨卜辞的重要出土地。	8	...， 学界曾有过两种猜测。其一， 受王国维及殷墟发掘的启发， 傅斯年提出了“夷夏东西说”...
7	始祖	shǐ zǔ	concept	一个族群传说中的最早祖先。	7	...藏着答案。《诗经》和《史记》里就有商族始祖起源的传说， 但也难免掺入一些周朝之后增...
8	简狄	jiǎn dí	person	商族始祖传说中的女性始祖。	4	...来看比较古老的。据说， 商人始祖是一名叫简狄的女子， 有次在野外洗澡时， 她见到玄鸟产...
9	玄鸟	xuán niǎo	concept	商族起源神话中的神鸟或天命媒介。	8	...一名叫简狄的女子， 有次在野外洗澡时， 她见到玄鸟产下一枚卵， 就吞了下去， 结果生下儿子契...
10	契	xiè	person	商族始祖名，读xiè；作“契约、契合”时常读qì。	9	...到玄鸟产下一枚卵， 就吞了下去， 结果生下儿子契， 繁衍出后来的商族。上古时代， 常有女子未...
11	有娀	yǒu sōng	place_or_group	简狄所在的部族。	5	”《诗经•商颂•长发》则是：“有娀方将， 帝立子生商。
12	高辛氏	gāo xīn shì	person_or_deity	古史传说中的半神帝王。	3	...晨）星之神有关。据说， 上古时代有一位叫高辛氏的半神帝王， 他的两个儿子不和睦， 整天...
13	迁徙	qiān xǐ	concept	群体从一地迁移到另一地。	10	...“天乙”）， 一共有过十四代首领， 共经历八次迁徙：“成汤， 自契至汤八迁。汤始居亳， 从先...
14	相土	xiàng tǔ	person	传说中的商族早期首领。	4	...商人史诗《诗经•长发》提到， 商族第三代首领相土功业卓著， 曾经到海外大有斩获：“相土烈...
15	有易	yǒu yì	place_or_group	文献中与王亥牧牛、遇害相关的部落或地域。	13	...曾带领族人赶着牛群北渡黄河， 借用河伯部落和有易部落的领地牧牛——有易可能是易水流域，...
16	上甲微	shàng jiǎ wēi	person	王亥之子，传说中为王亥复仇。	7	...兄弟被杀死， 牛群也被有易氏占有。王亥的儿子上甲微继承族长（第八代）后， 向河伯部落请求...
17	甲骨卜辞	jiǎ gǔ bǔ cí	text	商代刻写在甲骨上的占卜文字。	8	在殷墟甲骨卜辞中， 后世商王称王亥为“高祖王亥”， 经常单独祭祀他；
18	图腾	tú téng	concept	族群崇拜并作为象征的动物、植物或自然物。	4	...外， 还有鸟， 而这应该跟商族的创始神话和早期图腾有关。[10] 在上古时代...
19	帝字头	dì zì tóu	concept	文中指甲骨文字形中带有神圣意味的构件。	4	比如， 龙， 甲骨文写作（甲骨文）， 是顶着帝字头的龙形；
20	杼	zhù	manual	织布机上的梭子；亦为夏代帝王名。	2	还有记载说， 夏朝帝王少康、杼（zhù）委派冥去治理黄河， 结果殉职被淹死。
